dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime,variant_delta
94,505.0,1515.0,6.0,3.55,2021-06-07,3.55
69,537.0,1790.0,8.0,5.37,2021-06-07,5.37
89,188.0,299.0,0.0,0.0,2021-06-07,0.0
64,21.0,582.0,3.0,20.0,2021-06-07,20.0
47,44.0,193.0,1.0,6.67,2021-06-07,6.67
86,163.0,203.0,0.0,0.0,2021-06-07,0.0
10,84.0,127.0,0.0,0.0,2021-06-07,0.0
91,593.0,1371.0,12.0,3.17,2021-06-07,3.17
84,21.0,373.0,2.0,11.76,2021-06-07,11.76
36,58.0,162.0,0.0,0.0,2021-06-07,0.0
72,74.0,478.0,1.0,25.0,2021-06-07,25.0
04,11.0,82.0,1.0,20.0,2021-06-07,20.0
31,376.0,1242.0,0.0,0.0,2021-06-07,0.0
35,325.0,731.0,0.0,0.0,2021-06-07,0.0
2A,23.0,50.0,0.0,0.0,2021-06-07,0.0
37,92.0,346.0,3.0,4.05,2021-06-07,4.05
53,178.0,288.0,0.0,0.0,2021-06-07,0.0
09,21.0,64.0,0.0,0.0,2021-06-07,0.0
83,246.0,566.0,0.0,0.0,2021-06-07,0.0
30,38.0,562.0,1.0,50.0,2021-06-07,50.0
56,185.0,437.0,0.0,0.0,2021-06-07,0.0
41,39.0,172.0,0.0,0.0,2021-06-07,0.0
49,228.0,486.0,0.0,0.0,2021-06-07,0.0
06,151.0,396.0,1.0,14.29,2021-06-07,14.29
12,3.0,146.0,0.0,0.0,2021-06-07,0.0
11,70.0,198.0,0.0,0.0,2021-06-07,0.0
45,272.0,817.0,0.0,0.0,2021-06-07,0.0
44,167.0,1050.0,2.0,3.85,2021-06-07,3.85
05,20.0,114.0,0.0,0.0,2021-06-07,0.0
25,207.0,429.0,0.0,0.0,2021-06-07,0.0
32,27.0,128.0,0.0,0.0,2021-06-07,0.0
2B,13.0,46.0,0.0,0.0,2021-06-07,0.0
68,379.0,717.0,0.0,0.0,2021-06-07,0.0
02,126.0,398.0,0.0,0.0,2021-06-07,0.0
48,1.0,22.0,0.0,0.0,2021-06-07,0.0
87,5.0,198.0,0.0,0.0,2021-06-07,0.0
78,729.0,1524.0,4.0,1.17,2021-06-07,1.17
22,45.0,325.0,0.0,0.0,2021-06-07,0.0
59,1007.0,2656.0,8.0,1.1,2021-06-07,1.1
46,10.0,91.0,0.0,0.0,2021-06-07,0.0
21,280.0,654.0,0.0,0.0,2021-06-07,0.0
80,202.0,381.0,0.0,0.0,2021-06-07,0.0
18,119.0,174.0,0.0,0.0,2021-06-07,0.0
88,96.0,256.0,0.0,0.0,2021-06-07,0.0
55,74.0,94.0,0.0,0.0,2021-06-07,0.0
34,163.0,952.0,0.0,0.0,2021-06-07,0.0
08,30.0,232.0,0.0,0.0,2021-06-07,0.0
75,694.0,2438.0,9.0,3.6,2021-06-07,3.6
62,516.0,1230.0,0.0,0.0,2021-06-07,0.0
29,344.0,562.0,0.0,0.0,2021-06-07,0.0
28,30.0,322.0,0.0,0.0,2021-06-07,0.0
85,70.0,308.0,0.0,0.0,2021-06-07,0.0
77,545.0,1368.0,7.0,3.89,2021-06-07,3.89
972,19.0,81.0,0.0,0.0,2021-06-07,0.0
60,334.0,724.0,0.0,0.0,2021-06-07,0.0
27,250.0,606.0,0.0,0.0,2021-06-07,0.0
33,128.0,1177.0,3.0,6.67,2021-06-07,6.67
976,1.0,38.0,0.0,0.0,2021-06-07,0.0
15,9.0,61.0,0.0,0.0,2021-06-07,0.0
07,68.0,188.0,0.0,0.0,2021-06-07,0.0
23,0.0,26.0,0.0,0.0,2021-06-07,0.0
19,42.0,160.0,0.0,0.0,2021-06-07,0.0
76,427.0,975.0,0.0,0.0,2021-06-07,0.0
974,187.0,1497.0,0.0,0.0,2021-06-07,0.0
26,112.0,236.0,0.0,0.0,2021-06-07,0.0
03,24.0,249.0,0.0,0.0,2021-06-07,0.0
50,145.0,369.0,1.0,0.74,2021-06-07,0.74
61,95.0,251.0,0.0,0.0,2021-06-07,0.0
17,41.0,212.0,3.0,9.38,2021-06-07,9.38
16,47.0,108.0,0.0,0.0,2021-06-07,0.0
38,158.0,714.0,8.0,16.0,2021-06-07,16.0
973,367.0,1088.0,0.0,0.0,2021-06-07,0.0
24,51.0,223.0,0.0,0.0,2021-06-07,0.0
01,55.0,375.0,0.0,0.0,2021-06-07,0.0
972,17.0,83.0,0.0,0.0,2021-06-08,0.0
23,1.0,27.0,0.0,0.0,2021-06-08,0.0
74,24.0,551.0,0.0,0.0,2021-06-08,0.0
80,178.0,347.0,3.0,2.19,2021-06-08,2.19
92,557.0,1539.0,13.0,8.9,2021-06-08,8.9
79,107.0,145.0,0.0,0.0,2021-06-08,0.0
32,31.0,120.0,2.0,10.53,2021-06-08,10.53
15,12.0,67.0,0.0,0.0,2021-06-08,0.0
72,72.0,429.0,0.0,0.0,2021-06-08,0.0
85,76.0,287.0,0.0,0.0,2021-06-08,0.0
37,96.0,351.0,2.0,2.7,2021-06-08,2.7
31,359.0,1132.0,0.0,0.0,2021-06-08,0.0
04,9.0,60.0,2.0,33.33,2021-06-08,33.33
66,7.0,356.0,1.0,50.0,2021-06-08,50.0
36,61.0,141.0,0.0,0.0,2021-06-08,0.0
28,33.0,305.0,0.0,0.0,2021-06-08,0.0
65,27.0,98.0,1.0,6.25,2021-06-08,6.25
91,574.0,1296.0,14.0,3.87,2021-06-08,3.87
50,135.0,337.0,0.0,0.0,2021-06-08,0.0
02,145.0,358.0,1.0,2.78,2021-06-08,2.78
48,4.0,25.0,0.0,0.0,2021-06-08,0.0
26,100.0,219.0,0.0,0.0,2021-06-08,0.0
86,147.0,184.0,0.0,0.0,2021-06-08,0.0
87,18.0,176.0,0.0,0.0,2021-06-08,0.0
78,680.0,1391.0,4.0,1.17,2021-06-08,1.17
62,475.0,1137.0,1.0,0.33,2021-06-08,0.33
974,276.0,1504.0,0.0,0.0,2021-06-08,0.0
53,163.0,259.0,0.0,0.0,2021-06-08,0.0
18,107.0,160.0,0.0,0.0,2021-06-08,0.0
77,498.0,1242.0,11.0,5.88,2021-06-08,5.88
60,333.0,663.0,0.0,0.0,2021-06-08,0.0
34,223.0,864.0,0.0,0.0,2021-06-08,0.0
75,673.0,2296.0,14.0,5.13,2021-06-08,5.13
24,51.0,199.0,0.0,0.0,2021-06-08,0.0
59,929.0,2401.0,10.0,1.54,2021-06-08,1.54
46,8.0,82.0,0.0,0.0,2021-06-08,0.0
976,0.0,36.0,0.0,0.0,2021-06-08,0.0
05,18.0,109.0,0.0,0.0,2021-06-08,0.0
22,47.0,294.0,0.0,0.0,2021-06-08,0.0
03,34.0,224.0,0.0,0.0,2021-06-08,0.0
10,72.0,118.0,0.0,0.0,2021-06-08,0.0
68,364.0,671.0,1.0,50.0,2021-06-08,50.0
25,196.0,403.0,0.0,0.0,2021-06-08,0.0
90,4.0,100.0,0.0,0.0,2021-06-08,0.0
51,137.0,338.0,1.0,1.35,2021-06-08,1.35
67,484.0,1041.0,21.0,42.0,2021-06-08,42.0
21,263.0,581.0,0.0,0.0,2021-06-08,0.0
17,59.0,202.0,4.0,8.0,2021-06-08,8.0
89,169.0,274.0,0.0,0.0,2021-06-08,0.0
16,46.0,95.0,0.0,0.0,2021-06-08,0.0
52,41.0,101.0,0.0,0.0,2021-06-08,0.0
57,516.0,646.0,0.0,0.0,2021-06-08,0.0
71,170.0,362.0,2.0,2.22,2021-06-08,2.22
54,315.0,427.0,0.0,0.0,2021-06-08,0.0
58,21.0,79.0,0.0,0.0,2021-06-08,0.0
70,84.0,139.0,0.0,0.0,2021-06-08,0.0
01,58.0,341.0,0.0,0.0,2021-06-08,0.0
39,131.0,195.0,0.0,0.0,2021-06-08,0.0
88,93.0,222.0,0.0,0.0,2021-06-08,0.0
08,40.0,220.0,0.0,0.0,2021-06-08,0.0
29,326.0,540.0,0.0,0.0,2021-06-08,0.0
30,52.0,483.0,1.0,100.0,2021-06-08,100.0
41,39.0,136.0,0.0,0.0,2021-06-08,0.0
49,212.0,454.0,0.0,0.0,2021-06-08,0.0
73,115.0,242.0,2.0,6.25,2021-06-08,6.25
06,149.0,363.0,1.0,9.09,2021-06-08,9.09
12,2.0,145.0,0.0,0.0,2021-06-08,0.0
45,249.0,769.0,3.0,25.0,2021-06-08,25.0
44,176.0,987.0,2.0,2.67,2021-06-08,2.67
07,74.0,175.0,0.0,0.0,2021-06-08,0.0
13,504.0,1917.0,16.0,8.04,2021-06-08,8.04
11,66.0,186.0,0.0,0.0,2021-06-08,0.0
56,189.0,419.0,0.0,0.0,2021-06-08,0.0
83,236.0,542.0,0.0,0.0,2021-06-08,0.0
2A,18.0,50.0,0.0,0.0,2021-06-08,0.0
35,298.0,678.0,0.0,0.0,2021-06-08,0.0
19,57.0,170.0,0.0,0.0,2021-06-08,0.0
76,417.0,901.0,0.0,0.0,2021-06-08,0.0
84,19.0,333.0,2.0,11.76,2021-06-08,11.76
09,20.0,60.0,0.0,0.0,2021-06-08,0.0
2B,11.0,44.0,0.0,0.0,2021-06-08,0.0
61,87.0,245.0,0.0,0.0,2021-06-08,0.0
93,506.0,2012.0,15.0,5.45,2021-06-08,5.45
55,82.0,99.0,0.0,0.0,2021-06-08,0.0
63,44.0,408.0,1.0,3.23,2021-06-08,3.23
973,400.0,1126.0,1.0,0.41,2021-06-08,0.41
43,77.0,188.0,0.0,0.0,2021-06-08,0.0
64,33.0,564.0,5.0,17.86,2021-06-08,17.86
14,163.0,437.0,4.0,3.05,2021-06-08,3.05
82,15.0,178.0,0.0,0.0,2021-06-08,0.0
971,34.0,214.0,0.0,0.0,2021-06-08,0.0
81,154.0,267.0,0.0,0.0,2021-06-08,0.0
69,621.0,1706.0,10.0,5.85,2021-06-08,5.85
95,469.0,1471.0,5.0,2.34,2021-06-08,2.34
33,151.0,1113.0,4.0,5.19,2021-06-08,5.19
38,152.0,688.0,9.0,14.75,2021-06-08,14.75
94,481.0,1391.0,6.0,3.03,2021-06-08,3.03
40,21.0,357.0,11.0,84.62,2021-06-08,84.62
42,401.0,880.0,0.0,0.0,2021-06-08,0.0
27,225.0,551.0,1.0,0.6,2021-06-08,0.6
47,54.0,195.0,1.0,3.85,2021-06-08,3.85
2B,10.0,36.0,0.0,0.0,2021-06-09,0.0
88,86.0,206.0,0.0,0.0,2021-06-09,0.0
33,167.0,1038.0,5.0,5.21,2021-06-09,5.21
50,130.0,301.0,0.0,0.0,2021-06-09,0.0
60,325.0,578.0,0.0,0.0,2021-06-09,0.0
75,656.0,2170.0,21.0,7.05,2021-06-09,7.05
971,32.0,202.0,0.0,0.0,2021-06-09,0.0
84,20.0,317.0,2.0,11.11,2021-06-09,11.11
76,413.0,850.0,0.0,0.0,2021-06-09,0.0
18,96.0,143.0,1.0,7.14,2021-06-09,7.14
34,258.0,759.0,0.0,0.0,2021-06-09,0.0
08,51.0,197.0,0.0,0.0,2021-06-09,0.0
29,323.0,515.0,1.0,0.72,2021-06-09,0.72
972,18.0,85.0,0.0,0.0,2021-06-09,0.0
46,7.0,67.0,0.0,0.0,2021-06-09,0.0
22,36.0,263.0,0.0,0.0,2021-06-09,0.0
03,38.0,215.0,1.0,2.7,2021-06-09,2.7
10,60.0,106.0,0.0,0.0,2021-06-09,0.0
59,867.0,2162.0,10.0,1.77,2021-06-09,1.77
81,131.0,232.0,0.0,0.0,2021-06-09,0.0
974,367.0,1460.0,0.0,0.0,2021-06-09,0.0
68,345.0,617.0,4.0,57.14,2021-06-09,57.14
78,631.0,1266.0,8.0,2.28,2021-06-09,2.28
40,21.0,308.0,12.0,85.71,2021-06-09,85.71
87,22.0,161.0,0.0,0.0,2021-06-09,0.0
25,185.0,376.0,0.0,0.0,2021-06-09,0.0
26,91.0,195.0,0.0,0.0,2021-06-09,0.0
21,245.0,468.0,0.0,0.0,2021-06-09,0.0
43,74.0,168.0,1.0,33.33,2021-06-09,33.33
28,29.0,274.0,0.0,0.0,2021-06-09,0.0
62,444.0,1027.0,1.0,0.37,2021-06-09,0.37
63,34.0,378.0,2.0,9.09,2021-06-09,9.09
19,58.0,164.0,0.0,0.0,2021-06-09,0.0
976,0.0,32.0,0.0,0.0,2021-06-09,0.0
04,8.0,56.0,2.0,40.0,2021-06-09,40.0
12,7.0,130.0,0.0,0.0,2021-06-09,0.0
31,332.0,1000.0,1.0,6.25,2021-06-09,6.25
27,215.0,494.0,6.0,3.57,2021-06-09,3.57
72,85.0,403.0,2.0,50.0,2021-06-09,50.0
06,142.0,344.0,1.0,7.69,2021-06-09,7.69
49,219.0,432.0,0.0,0.0,2021-06-09,0.0
53,152.0,224.0,2.0,6.45,2021-06-09,6.45
95,459.0,1343.0,5.0,2.16,2021-06-09,2.16
61,91.0,231.0,0.0,0.0,2021-06-09,0.0
05,12.0,93.0,0.0,0.0,2021-06-09,0.0
41,26.0,106.0,0.0,0.0,2021-06-09,0.0
30,68.0,398.0,2.0,66.67,2021-06-09,66.67
37,93.0,337.0,2.0,2.82,2021-06-09,2.82
35,294.0,630.0,0.0,0.0,2021-06-09,0.0
82,12.0,159.0,0.0,0.0,2021-06-09,0.0
07,72.0,151.0,0.0,0.0,2021-06-09,0.0
09,17.0,56.0,0.0,0.0,2021-06-09,0.0
23,2.0,26.0,0.0,0.0,2021-06-09,0.0
48,4.0,23.0,0.0,0.0,2021-06-09,0.0
2A,15.0,46.0,0.0,0.0,2021-06-09,0.0
83,234.0,508.0,0.0,0.0,2021-06-09,0.0
32,36.0,112.0,3.0,12.0,2021-06-09,12.0
44,180.0,854.0,2.0,2.3,2021-06-09,2.3
56,178.0,370.0,0.0,0.0,2021-06-09,0.0
47,55.0,197.0,1.0,3.12,2021-06-09,3.12
11,60.0,170.0,0.0,0.0,2021-06-09,0.0
80,165.0,304.0,4.0,2.99,2021-06-09,2.99
45,210.0,677.0,3.0,25.0,2021-06-09,25.0
15,18.0,64.0,1.0,25.0,2021-06-09,25.0
36,55.0,110.0,0.0,0.0,2021-06-09,0.0
13,480.0,1746.0,16.0,8.33,2021-06-09,8.33
85,82.0,273.0,0.0,0.0,2021-06-09,0.0
90,3.0,93.0,0.0,0.0,2021-06-09,0.0
77,479.0,1168.0,11.0,5.95,2021-06-09,5.95
42,396.0,822.0,0.0,0.0,2021-06-09,0.0
70,79.0,138.0,0.0,0.0,2021-06-09,0.0
17,75.0,195.0,7.0,10.61,2021-06-09,10.61
14,164.0,399.0,8.0,5.76,2021-06-09,5.76
71,152.0,332.0,2.0,2.27,2021-06-09,2.27
57,495.0,588.0,0.0,0.0,2021-06-09,0.0
86,133.0,167.0,0.0,0.0,2021-06-09,0.0
973,418.0,1176.0,1.0,0.31,2021-06-09,0.31
69,680.0,1574.0,12.0,6.67,2021-06-09,6.67
64,42.0,536.0,5.0,13.89,2021-06-09,13.89
24,50.0,184.0,0.0,0.0,2021-06-09,0.0
93,496.0,1884.0,17.0,6.39,2021-06-09,6.39
65,25.0,95.0,1.0,7.69,2021-06-09,7.69
92,561.0,1414.0,15.0,10.14,2021-06-09,10.14
39,116.0,175.0,3.0,18.75,2021-06-09,18.75
66,5.0,318.0,0.0,0.0,2021-06-09,0.0
52,46.0,94.0,0.0,0.0,2021-06-09,0.0
89,163.0,272.0,0.0,0.0,2021-06-09,0.0
16,34.0,75.0,0.0,0.0,2021-06-09,0.0
55,83.0,95.0,0.0,0.0,2021-06-09,0.0
67,458.0,939.0,25.0,33.78,2021-06-09,33.78
79,102.0,136.0,0.0,0.0,2021-06-09,0.0
74,38.0,526.0,0.0,0.0,2021-06-09,0.0
91,535.0,1165.0,19.0,5.38,2021-06-09,5.38
51,138.0,312.0,1.0,1.41,2021-06-09,1.41
02,149.0,314.0,1.0,2.86,2021-06-09,2.86
38,163.0,660.0,10.0,12.5,2021-06-09,12.5
58,31.0,70.0,1.0,3.7,2021-06-09,3.7
94,443.0,1267.0,7.0,3.41,2021-06-09,3.41
73,101.0,207.0,3.0,8.33,2021-06-09,8.33
01,58.0,307.0,0.0,0.0,2021-06-09,0.0
54,297.0,420.0,0.0,0.0,2021-06-09,0.0
15,18.0,61.0,2.0,40.0,2021-06-10,40.0
23,2.0,24.0,0.0,0.0,2021-06-10,0.0
39,124.0,183.0,3.0,20.0,2021-06-10,20.0
09,12.0,50.0,0.0,0.0,2021-06-10,0.0
82,17.0,153.0,0.0,0.0,2021-06-10,0.0
28,26.0,238.0,0.0,0.0,2021-06-10,0.0
93,477.0,1775.0,19.0,7.12,2021-06-10,7.12
35,294.0,573.0,0.0,0.0,2021-06-10,0.0
37,90.0,313.0,3.0,4.35,2021-06-10,4.35
19,63.0,161.0,0.0,0.0,2021-06-10,0.0
07,69.0,127.0,1.0,9.09,2021-06-10,9.09
55,65.0,75.0,0.0,0.0,2021-06-10,0.0
43,73.0,156.0,1.0,33.33,2021-06-10,33.33
52,44.0,83.0,0.0,0.0,2021-06-10,0.0
44,215.0,762.0,2.0,1.68,2021-06-10,1.68
73,92.0,190.0,3.0,7.32,2021-06-10,7.32
16,35.0,71.0,0.0,0.0,2021-06-10,0.0
72,101.0,362.0,2.0,50.0,2021-06-10,50.0
75,587.0,1992.0,24.0,8.16,2021-06-10,8.16
62,390.0,938.0,1.0,0.44,2021-06-10,0.44
06,123.0,317.0,1.0,7.69,2021-06-10,7.69
83,217.0,473.0,0.0,0.0,2021-06-10,0.0
54,271.0,405.0,0.0,0.0,2021-06-10,0.0
58,34.0,58.0,1.0,3.7,2021-06-10,3.7
79,100.0,125.0,1.0,3.23,2021-06-10,3.23
45,176.0,621.0,5.0,35.71,2021-06-10,35.71
04,8.0,57.0,2.0,33.33,2021-06-10,33.33
63,38.0,363.0,2.0,8.33,2021-06-10,8.33
80,143.0,280.0,5.0,4.03,2021-06-10,4.03
973,345.0,1010.0,1.0,0.32,2021-06-10,0.32
42,369.0,738.0,0.0,0.0,2021-06-10,0.0
11,59.0,154.0,0.0,0.0,2021-06-10,0.0
12,17.0,127.0,0.0,0.0,2021-06-10,0.0
2A,12.0,45.0,0.0,0.0,2021-06-10,0.0
71,139.0,314.0,2.0,2.33,2021-06-10,2.33
33,178.0,947.0,6.0,5.26,2021-06-10,5.26
85,88.0,234.0,0.0,0.0,2021-06-10,0.0
31,300.0,876.0,2.0,5.0,2021-06-10,5.0
36,42.0,92.0,1.0,4.35,2021-06-10,4.35
57,480.0,569.0,0.0,0.0,2021-06-10,0.0
32,38.0,99.0,3.0,10.71,2021-06-10,10.71
27,188.0,419.0,6.0,3.92,2021-06-10,3.92
13,456.0,1622.0,16.0,8.42,2021-06-10,8.42
976,0.0,35.0,0.0,0.0,2021-06-10,0.0
47,54.0,190.0,1.0,2.5,2021-06-10,2.5
56,156.0,316.0,0.0,0.0,2021-06-10,0.0
92,521.0,1292.0,13.0,8.28,2021-06-10,8.28
34,251.0,655.0,0.0,0.0,2021-06-10,0.0
70,73.0,118.0,1.0,7.14,2021-06-10,7.14
974,457.0,1405.0,0.0,0.0,2021-06-10,0.0
81,122.0,221.0,0.0,0.0,2021-06-10,0.0
84,21.0,270.0,2.0,10.53,2021-06-10,10.53
86,122.0,149.0,0.0,0.0,2021-06-10,0.0
46,4.0,59.0,0.0,0.0,2021-06-10,0.0
61,90.0,204.0,0.0,0.0,2021-06-10,0.0
22,33.0,230.0,0.0,0.0,2021-06-10,0.0
14,172.0,373.0,8.0,5.41,2021-06-10,5.41
03,45.0,206.0,1.0,2.27,2021-06-10,2.27
41,24.0,93.0,0.0,0.0,2021-06-10,0.0
21,240.0,419.0,0.0,0.0,2021-06-10,0.0
40,20.0,289.0,10.0,71.43,2021-06-10,71.43
59,800.0,1951.0,12.0,2.21,2021-06-10,2.21
17,88.0,168.0,7.0,8.86,2021-06-10,8.86
67,430.0,844.0,29.0,31.87,2021-06-10,31.87
91,488.0,1054.0,20.0,5.83,2021-06-10,5.83
05,13.0,72.0,0.0,0.0,2021-06-10,0.0
68,315.0,554.0,4.0,50.0,2021-06-10,50.0
78,562.0,1131.0,9.0,2.43,2021-06-10,2.43
38,167.0,619.0,10.0,11.11,2021-06-10,11.11
26,78.0,162.0,0.0,0.0,2021-06-10,0.0
87,26.0,159.0,0.0,0.0,2021-06-10,0.0
