dep,datetime,hosp,rea,rad,dc,population,hosp_pour_100k,rea_pour_100k,nbre_pass_corona
83,2020-09-04,49,3,1087,145,1058740,4.6,0.3,122.0
84,2020-09-04,27,6,280,43,559479,4.8,1.1,82.0
85,2020-09-04,6,0,286,44,675247,0.9,0.0,18.0
86,2020-09-04,1,0,155,40,436876,0.2,0.0,12.0
87,2020-09-04,3,1,139,25,374426,0.8,0.3,20.0
88,2020-09-04,15,0,751,267,367673,4.1,0.0,16.0
89,2020-09-04,7,1,417,95,338291,2.1,0.3,70.0
90,2020-09-04,3,1,567,200,142622,2.1,0.7,4.0
91,2020-09-04,214,15,2597,558,1296130,16.5,1.2,180.0
92,2020-09-04,513,33,4809,1118,1609306,31.9,2.1,170.0
93,2020-09-04,366,26,4229,1025,1623111,22.5,1.6,440.0
94,2020-09-04,299,15,4658,1236,1387926,21.5,1.1,246.0
95,2020-09-04,216,12,2813,735,1228618,17.6,1.0,326.0
971,2020-09-04,33,8,116,27,390253,8.5,2.0,230.0
972,2020-09-04,13,5,108,18,372594,3.5,1.3,0.0
973,2020-09-04,54,7,1581,58,268700,20.1,2.6,72.0
974,2020-09-04,62,19,246,10,853659,7.3,2.2,54.0
976,2020-09-04,4,2,449,28,256518,1.6,0.8,8.0
01,2020-09-05,27,2,464,107,643350,4.2,0.3,44.0
02,2020-09-05,36,1,1137,288,534490,6.7,0.2,82.0
03,2020-09-05,3,0,213,41,337988,0.9,0.0,16.0
04,2020-09-05,6,0,138,14,163915,3.7,0.0,16.0
05,2020-09-05,4,1,141,20,141284,2.8,0.7,10.0
06,2020-09-05,82,9,924,197,1083310,7.6,0.8,154.0
07,2020-09-05,12,1,449,116,325712,3.7,0.3,18.0
08,2020-09-05,3,0,222,60,273579,1.1,0.0,2.0
09,2020-09-05,1,1,34,2,153153,0.7,0.7,4.0
10,2020-09-05,11,0,657,137,310020,3.5,0.0,18.0
11,2020-09-05,9,2,240,59,370260,2.4,0.5,12.0
12,2020-09-05,5,0,154,24,279206,1.8,0.0,2.0
