id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
44300021,,Rupture totale,,,,,,,,,,,,,,
44320003,,Rupture totale,,,,,,,,,,,,,,
44360009,,Rupture partielle,,,,,,,,,,,,,,
44400005,,Rupture totale,,,,,,,,,,,,,,
44470006,,Rupture partielle,,,,,,,,,,,,,,
44580001,,Rupture partielle,,,,,,,,,,,,,,
45430006,,Rupture partielle,,,,,,,,,,,,,,
45700002,,Rupture totale,,,,,,,,,,,,,,
46000012,,Rupture partielle,,,,,,,,,,,,,,
47250001,,Rupture partielle,,,,,,,,,,,,,,
47300002,,Rupture partielle,,,,,,,,,,,,,,
49000012,,Rupture partielle,,,,,,,,,,,,,,
49000013,,Rupture partielle,,,,,,,,,,,,,,
49000015,,Rupture partielle,,,,,,,,,,,,,,
49300015,,Rupture partielle,,,,,,,,,,,,,,
49400007,,Rupture partielle,,,,,,,,,,,,,,
49710001,,Rupture partielle,,,,,,,,,,,,,,
50480001,,Rupture partielle,,,,,,,,,,,,,,
50700002,,Rupture partielle,,,,,,,,,,,,,,
51100045,,Rupture partielle,,,,,,,,,,,,,,
51100047,,Rupture partielle,,,,,,,,,,,,,,
51170002,,Rupture partielle,,,,,,,,,,,,,,
51210005,,Rupture partielle,,,,,,,,,,,,,,
51320003,,Rupture partielle,,,,,,,,,,,,,,
52000001,,Rupture partielle,,,,,,,,,,,,,,
53100007,,Rupture partielle,,,,,,,,,,,,,,
53400002,,Rupture totale,,,,,,,,,,,,,,
54000013,,Rupture partielle,,,,,,,,,,,,,,
54200012,,Rupture partielle,,,,,,,,,,,,,,
54200013,,Rupture partielle,,,,,,,,,,,,,,
54260003,,Rupture partielle,,,,,,,,,,,,,,
54280003,,Rupture partielle,,,,,,,,,,,,,,
54300002,,Rupture partielle,,,,,,,,,,,,,,
55000010,,Rupture totale,,,,,,,,,,,,,,
55100007,,Rupture partielle,,,,,,,,,,,,,,
56100003,,Rupture partielle,,,,,,,,,,,,,,
56100012,,Rupture partielle,,,,,,,,,,,,,,
56270007,,Rupture totale,,,,,,,,,,,,,,
56320001,,Rupture totale,,,,,,,,,,,,,,
56440003,,Rupture partielle,,,,,,,,,,,,,,
56450005,,Rupture partielle,,,,,,,,,,,,,,
56550002,,Rupture partielle,,,,,,,,,,,,,,
57000005,,Rupture totale,,,,,,,,,,,,,,
57130004,,Rupture totale,,,,,,,,,,,,,,
57200001,,Rupture partielle,,,,,,,,,,,,,,
57280001,,Rupture partielle,,,,,,,,,,,,,,
57400003,,Rupture totale,,,,,,,,,,,,,,
57430004,,Rupture totale,,,,,,,,,,,,,,
57500001,,Rupture totale,,,,,,,,,,,,,,
57660001,,Rupture totale,,,,,,,,,,,,,,
58160002,,Rupture totale,,,,,,,,,,,,,,
58240003,,Rupture partielle,,,,,,,,,,,,,,
59000018,,Rupture totale,,,,,,,,,,,,,,
59120002,,Rupture totale,,,,,,,,,,,,,,
59157002,,Rupture partielle,,,,,,,,,,,,,,
59163002,,Rupture totale,,,,,,,,,,,,,,
59210006,,Rupture totale,,,,,,,,,,,,,,
59223004,,Rupture totale,,,,,,,,,,,,,,
59260007,,Rupture partielle,,,,,,,,,,,,,,
59300015,,Rupture totale,,,,,,,,,,,,,,
59300016,,Rupture totale,,,,,,,,,,,,,,
59400008,,Rupture partielle,,,,,,,,,,,,,,
