dep,datetime,tx_incidence,tx_positivite
56,2021-10-09,26.037598291933552,1.06
56,2021-10-10,23.433838462740198,0.96
56,2021-10-11,24.735718377336873,1.1
56,2021-10-12,24.735718377336873,1.37
56,2021-10-13,20.83007863354684,1.19
56,2021-10-14,22.13195854814352,1.5
56,2021-10-15,19.528198718950165,1.54
56,2021-10-16,20.83007863354684,1.74
56,2021-10-17,20.83007863354684,1.76
56,2021-10-18,16.924438889756807,1.82
56,2021-10-19,11.716919231370099,1.37
56,2021-10-20,20.83007863354684,2.33
56,2021-10-21,48.16955684007707,4.93
56,2021-10-22,53.37707649846378,5.18
56,2021-10-23,53.37707649846378,4.76
56,2021-10-24,53.37707649846378,4.72
56,2021-10-25,61.188355986043845,5.57
56,2021-10-26,63.7921158152372,6.09
56,2021-10-27,57.28271624225381,5.49
56,2021-10-28,31.245117950320264,3.51
56,2021-10-29,31.245117950320264,3.66
56,2021-10-30,32.54699786491694,4.19
56,2021-10-31,32.54699786491694,4.23
56,2021-11-01,23.433838462740198,3.28
56,2021-11-02,26.037598291933552,3.73
56,2021-11-03,45.56579701088371,6.92
56,2021-11-04,55.98083632765714,9.47
56,2021-11-05,58.584596156850495,11.31
56,2021-11-06,66.39587564443056,12.41
56,2021-11-07,67.69775555902723,12.56
56,2021-11-08,84.62219444878404,13.71
56,2021-11-09,97.64099359475082,13.97
56,2021-11-10,101.54663333854086,13.95
56,2021-11-11,91.13159402176743,13.04
56,2021-11-12,110.65979274071759,9.99
56,2021-11-13,117.16919231370099,9.32
56,2021-11-14,118.47107222829766,9.24
56,2021-11-15,153.62182992240795,8.57
56,2021-11-16,191.37634744571162,8.25
56,2021-11-17,195.28198718950165,6.82
56,2021-11-18,233.03650471280528,6.41
56,2021-11-19,239.54590428578868,6.03
56,2021-11-20,259.07410300473884,6.18
56,2021-11-21,261.6778628339322,6.19
56,2021-11-22,279.9041816382857,5.88
57,2021-09-01,146.39184516592573,10.08
57,2021-09-02,136.51264089092462,9.88
57,2021-09-03,151.78050204319908,11.37
57,2021-09-04,153.57672100229018,10.85
57,2021-09-05,153.57672100229018,10.75
57,2021-09-06,165.2521442363824,9.42
57,2021-09-07,167.04836319547354,8.52
57,2021-09-08,157.1691589204724,7.87
57,2021-09-09,164.35403475683685,7.02
57,2021-09-10,168.84458215456465,5.6
57,2021-09-11,178.72378642956576,5.43
57,2021-09-12,176.92756747047466,5.34
57,2021-09-13,176.92756747047466,4.09
57,2021-09-14,175.13134851138355,3.03
57,2021-09-15,178.72378642956576,2.89
57,2021-09-16,174.23323903183797,2.39
57,2021-09-17,145.49373568638018,1.82
57,2021-09-18,128.4296555750146,1.63
57,2021-09-19,131.12398401365127,1.67
57,2021-09-20,139.20696932956128,1.65
57,2021-09-21,142.7994072477435,1.76
57,2021-09-22,144.59562620683462,1.83
57,2021-09-23,137.41075037047017,1.8
57,2021-09-24,138.30885985001572,1.77
57,2021-09-25,136.51264089092462,1.76
57,2021-09-26,133.81831245228793,1.73
57,2021-09-27,114.95801338183125,1.55
57,2021-09-28,101.4863711886479,1.35
57,2021-09-29,91.60716691364678,1.22
57,2021-09-30,83.52418159773677,1.1
57,2021-10-01,72.74686784319009,1.0
57,2021-10-02,65.56199200682563,0.92
57,2021-10-03,65.56199200682563,0.92
57,2021-10-04,47.5998024159145,0.7
57,2021-10-05,46.70169293636894,0.7
57,2021-10-06,47.5998024159145,0.73
57,2021-10-07,45.80358345682339,0.7
57,2021-10-08,51.192240334096724,0.81
57,2021-10-09,51.192240334096724,0.81
57,2021-10-10,51.192240334096724,0.81
57,2021-10-11,54.78467825227895,0.85
57,2021-10-12,54.78467825227895,0.87
57,2021-10-13,48.49791189546006,0.78
57,2021-10-14,50.29413085455117,0.81
57,2021-10-15,48.49791189546006,0.82
57,2021-10-16,44.007364497732276,0.75
57,2021-10-17,44.007364497732276,0.75
57,2021-10-18,40.41492657955005,0.74
57,2021-10-19,34.128160222731154,0.67
57,2021-10-20,40.41492657955005,0.8
57,2021-10-21,52.98845929318784,1.12
57,2021-10-22,53.8865687727334,1.16
57,2021-10-23,63.76577304773452,1.35
57,2021-10-24,65.56199200682563,1.39
57,2021-10-25,67.35821096591674,1.77
57,2021-10-26,65.56199200682563,2.27
57,2021-10-27,61.969554088643406,2.19
57,2021-10-28,45.80358345682339,2.27
57,2021-10-29,44.90547397727783,3.51
57,2021-10-30,44.007364497732276,3.48
57,2021-10-31,43.109255018186715,3.39
57,2021-11-01,37.720598140913374,3.57
57,2021-11-02,46.70169293636894,4.55
57,2021-11-03,52.090349813642284,5.2
57,2021-11-04,56.580897211370065,6.04
57,2021-11-05,63.76577304773452,6.83
57,2021-11-06,63.76577304773452,7.31
57,2021-11-07,62.86766356818896,7.44
57,2021-11-08,85.32040055682788,7.4
57,2021-11-09,79.93174367955454,4.81
57,2021-11-10,86.21851003637343,5.03
57,2021-11-11,84.42229107728232,5.22
