antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
RMC-BFM TV,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.107059964510984,2020-09-18
LCP,Roger Karoutchi,Sénateur des Hauts-de-Seine,Les Républicains,DROITE,8.16486002868259,2020-09-18
Le Figaro,Esther Benbassa,Sénatrice du Val-de-Marne,Europe écologie - Les Verts,GAUCHE,2.3440782803668854,2020-09-18
LCI,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.737669405627865,2020-09-18
France Inter,Najat Vallaud-Belkacem,Ancienne ministre,Parti socialiste,GAUCHE,2.2450247962867222,2020-09-18
RFI,Jean-Christophe Cambadélis,Ancien Premier secrétaire du Parti socialiste,Parti socialiste,GAUCHE,2.5205927192751125,2020-09-18
France Inter,Louis Aliot,Député européen,Rassemblement national,EXT D,9.535424004568082,2020-09-19
LCI,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.193273321011339,2020-09-20
Europe 1,Cédric Villani,Député de l'Essonne,La République en marche !,CENTRE (majorité),4.244117428765248,2020-09-20
BFM TV,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.6787645404331981,2020-09-20
Radio Classique,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.586609951370272,2020-09-21
France Inter,Fabien Roussel,Membre du PCF,PCF,EXT G,1.1172349444765188,2020-09-21
France Inter,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.387506174560235,2020-09-21
Sud Radio,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.209068932059218,2020-09-21
RTL,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.237553015358006,2020-09-21
Public Sénat,Vincent Delahaye,Sénateur de l'Essonne,UDI,CENTRE DROIT,7.362424932296926,2020-09-21
RMC-BFM TV,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.327214709153878,2020-09-21
RFI,Hervé Berville,Député des Côtes-d'Armor,La République en marche !,CENTRE (majorité),4.373754411671318,2020-09-21
LCP,Annie Genevard,Députée du Doubs,Les Républicains,DROITE,8.406486810170657,2020-09-21
LCI,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.747233186196401,2020-09-21
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.541329146747513,2020-09-21
Public Sénat,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.31646827458345,2020-09-21
Public Sénat,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.670853217159117,2020-09-22
LCI,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.754459670567076,2020-09-22
CNews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.344929189169573,2020-09-22
Sud Radio,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.517336240897926,2020-09-22
Radio Classique,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.3355368550473448,2020-09-22
LCI,Gérard Collomb,"Maire de Lyon, ancien ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.687338813943805,2020-09-22
France Inter,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.133831162685029,2020-09-22
RMC-BFM TV,Eric Piolle,Maire de Grenoble,Europe écologie - Les Verts,GAUCHE,2.2828908673585873,2020-09-22
Le Figaro,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.4284276629471355,2020-09-22
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.63067002943844,2020-09-23
