antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
LCP,Alain Joyandet,Sénateur de la Haute-Saône,Les Républicains,DROITE,8.799466337119267,2021-02-12
CNews,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.7320961788880727,2021-02-12
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.217408860569869,2021-02-12
Europe 1,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.441614326071024,2021-02-12
France 2,Patrick Mignola,"Député de Savoie, Président du groupe MoDem à l'Assemblée nationale",MoDem,CENTRE,5.186795605240885,2021-02-12
Sud Radio,Elisabeth Moreno,"Ministre déléguée chargée de lÉgalité entre les femmes et les hommes, de la Diversité et de lÉgalité des chances",Divers,DIV,6.387980037581524,2021-02-12
RFI,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.709114978979283,2021-02-12
France Info,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.580764344481922,2021-02-13
France Inter,Thierry Mariani,Député européen,Divers droite,DROITE,8.12631349479085,2021-02-13
BFM TV,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.3243945438417994,2021-02-14
LCI,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.609802107068207,2021-02-14
France Info,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.390498211906346,2021-02-14
LCI,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.579275742694298,2021-02-15
Radio Classique,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.65773572862983,2021-02-15
LCP,laurianne Rossi,Députée des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.4740080165946505,2021-02-15
France Info,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.564204171876465,2021-02-15
France Info,Laurence Rossignol,Sénatrice de l'Oise,Parti socialiste,GAUCHE,2.700976169529871,2021-02-15
France Inter,Mathieu Klein,Maire de Nancy,Parti socialiste,GAUCHE,2.3111485477352183,2021-02-15
France Inter,Audrey Pulvar,Adjointe au maire de Paris,Divers gauche,GAUCHE,2.414758131827329,2021-02-15
RFI,François Grosdidier,Sénateur de Moselle,Les Républicains,DROITE,8.11129617166468,2021-02-15
France 2,Thierry Mariani,Député européen,Divers droite,DROITE,8.393133410228957,2021-02-15
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.237062688682752,2021-02-15
Public Sénat,Valérie Rabault,Députée du Tarn-et-Garonne,Parti socialiste,GAUCHE,2.73216131850045,2021-02-15
LCP,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.5749826628197154,2021-02-15
France Inter,Pieyre-Alexandre Anglade,Député des Français établis hors de France,La République en marche !,CENTRE (majorité),4.333262837301731,2021-02-16
Public Sénat,André Reichardt,Sénateur du Bas-Rhin,Les Républicains,DROITE,8.549146425387464,2021-02-16
RMC,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.136134687370655,2021-02-16
Sud Radio,Guillaume Garot,Député de la Mayenne,Parti socialiste,GAUCHE,2.1988805978424666,2021-02-16
France 2,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.2286821370831573,2021-02-16
CNews,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.78562641684031,2021-02-16
France Info,Roxana Maracineanu,Ministre des Sports,Divers,DIV,6.50809254435456,2021-02-16
RFI,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.123271452022424,2021-02-16
Le Figaro,Nadia Hai,Ministre déléguée chargée de la Ville,La République en marche !,CENTRE (majorité),4.225238261754954,2021-02-16
France Info,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.4464789857569813,2021-02-16
RMC-BFM TV,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.2861528585096238,2021-02-16
Public Sénat,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.780038048279675,2021-02-16
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.239355854697957,2021-02-17
LCI,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.0209569260101325,2021-02-17
BFM TV,Othman Nasrou,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.431141208794253,2021-02-17
Europe 1,Pierre Morel-A-L'Huissier,Député de Lozère et maire de Fournels,Les Républicains,DROITE,8.312495216346804,2021-02-17
France Info,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.485779633517783,2021-02-17
France Inter,Mathilde Panot,Députée du Val-de-Marne,La France insoumise,EXT G,1.238744190210923,2021-02-17
Radio Classique,Frédéric Valletoux,Maire de Fontainebleau,Les Républicains,DROITE,8.25586333910566,2021-02-17
CNews,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.7770299192538954,2021-02-17
Sud Radio,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.612919772661902,2021-02-17
RFI,Hervé Berville,Député des Côtes-d'Armor,La République en marche !,CENTRE (majorité),4.405773796077203,2021-02-17
RTL,Fabien Roussel,Membre du PCF,PCF,EXT G,1.1231730869314387,2021-02-17
France 2,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.462426919663329,2021-02-17
Public Sénat,Alain Richard,Sénateur du Val-d'Oise,Parti socialiste,GAUCHE,2.3842186218204318,2021-02-17
RMC-BFM TV,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.303217846294837,2021-02-17
Public Sénat,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.175577911940243,2021-02-17
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.769471523696886,2021-02-18
Le Figaro,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.151449523990916,2021-02-18
France Inter,François Cornut-Gentille,Député de la Haute-Marne et maire de Saint-Dizier,Les Républicains,DROITE,8.644135783467554,2021-02-18
Radio Classique,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.046409180622504,2021-02-18
BFM TV,Maud Bregeon,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.771832067454354,2021-02-18
France Info,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.548227748519231,2021-02-18
RTL,Bruno Questel,Député de l'Eure,La République en marche !,CENTRE (majorité),4.267553936301474,2021-02-18
Public Sénat,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.393329868625594,2021-02-18
LCI,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.249545857553339,2021-02-18
France Inter,Jean-Yves Le Drian,Ministre de l'Europe et des Affaires étrangères,Divers,DIV,6.417945414193377,2021-02-18
RMC,Florian Bachelier,Député d'Ille-et-Vilaine,La République en marche !,CENTRE (majorité),4.338718202770405,2021-02-18
France 2,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.23396794327428,2021-02-18
Sud Radio,Manuel Bompard,Député européen,La France insoumise,EXT G,1.1576338388522285,2021-02-18
RMC-BFM TV,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.129165298088354,2021-02-18
RMC,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.648684534292961,2021-02-19
France Info,Gregory Doucet,Maire de Lyon,Europe écologie - Les Verts,GAUCHE,2.0885386521484897,2021-02-19
CNews,Maud Bregeon,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.039435701045846,2021-02-19
LCP,Elsa Faucillon,Députée des Hauts-de-Seine,PCF,EXT G,1.2326720044400172,2021-02-19
LCP,Aurore Lalucq,Députée européenne,Place publique,GAUCHE,2.5216879326652446,2021-02-19
France Info,Roxana Maracineanu,Ministre des Sports,Divers,DIV,6.100728235685557,2021-02-19
Europe 1,Florence Parly,Ministre des Armées,La République en marche !,CENTRE (majorité),4.0437663815855815,2021-02-19
RFI,François Jolivet,Député de l'Indre,La République en marche !,CENTRE (majorité),4.096882127866908,2021-02-19
France 2,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.467887052269319,2021-02-19
Public Sénat,Julien Bargeton,Sénateur de Paris,La République en marche !,CENTRE (majorité),4.384260352644942,2021-02-19
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.17050025730088,2021-02-19
Public Sénat,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.734462031793534,2021-02-19
CNews,Jean-François Copé,Maire de Meaux,Les Républicains,DROITE,8.008560103341887,2021-02-19
CNews,Nelly Garnier,Directrice de campagne de Rachida Dati et tête de liste dans le 11e arrondissement de Paris,Les Républicains,DROITE,8.243321416432282,2021-02-20
CNews,Karine Franclet,Maire d'Aubervilliers,UDI,CENTRE DROIT,7.449910502177502,2021-02-20
CNews,Samia Ghali,2e adjointe à la mairie de Marseille,Parti socialiste,GAUCHE,2.114215804974643,2021-02-20
France Info,Elisabeth Moreno,"Ministre déléguée chargée de lÉgalité entre les femmes et les hommes, de la Diversité et de lÉgalité des chances",Divers,DIV,6.075849383261916,2021-02-20
CNews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.487346939449282,2021-02-20
Europe 1,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.301603254714753,2021-02-20
Europe 1,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.244918489061082,2021-02-21
France Info,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.059301397584036,2021-02-21
BFM TV,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.427632386667844,2021-02-21
CNews,Agnès Evren,Députée européenne,Les Républicains,DROITE,8.5652367696777,2021-02-21
CNews,Céline Hervieu,Secrétaire nationale du Parti socialiste et conseillère de Paris,Parti socialiste,GAUCHE,2.474982795567745,2021-02-21
CNews,Sandro Gozi,Député européen,La République en marche !,CENTRE (majorité),4.0681087204177215,2021-02-21
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.222578453891018,2021-02-22
Le Figaro,Saïd Ahamada,Député des Bouches-du-Rhône,La République en marche !,CENTRE (majorité),4.380091360553691,2021-02-22
BFM TV,Sandra Regol,Secrétaire national adjointe d'EELV,Europe écologie - Les Verts,GAUCHE,2.376125159223429,2021-02-22
LCP,Isabelle Santiago,Députée du Val-de-Marne,Parti socialiste,GAUCHE,2.371463049249605,2021-02-22
France Inter,Caroline Janvier,Députée du Loiret,La République en marche !,CENTRE (majorité),4.632997745601017,2021-02-22
France Info,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.300329877668725,2021-02-22
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.4680631947875393,2021-02-22
CNews,Philippe Douste-Blazy,Ancien ministre des Affaires étrangères et de la Santé,Les Républicains,DROITE,8.187369699863453,2021-02-22
CNews,Philippe Doucet,Ancien député du Val-d'Oise,Parti socialiste,GAUCHE,2.127758270353899,2021-02-22
LCP,Jean-Noël Barrot,Député des Yvelines,La République en marche !,CENTRE (majorité),4.138767099260919,2021-02-22
RMC-BFM TV,Clément Beaune,Secrétaire d'État chargé des Affaires européennes,La République en marche !,CENTRE (majorité),4.475708537452407,2021-02-22
CNews,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.092333393895286,2021-02-22
Public Sénat,Stéphane Troussel,Président du Conseil Départemental de la Seine-Saint-Denis,Parti socialiste,GAUCHE,2.682242567587473,2021-02-22
Sud Radio,Karl Olive,Maire de Poissy,Les Républicains,DROITE,8.181823141204728,2021-02-22
RFI,Yaël  Braun-Pivet,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.731383032349437,2021-02-22
RTL,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.240192595198425,2021-02-22
Public Sénat,Sophie Primas,Sénatrice des Yvelines,Les Républicains,DROITE,8.276047846931371,2021-02-22
LCP,Stéphanie Atger,Députée de l'Essonne,La République en marche !,CENTRE (majorité),4.688373399411649,2021-02-22
Radio Classique,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.69001045197129,2021-02-22
France Info,Jean-Baptiste Moreau,Député de la Creuse,La République en marche !,CENTRE (majorité),4.71113172093642,2021-02-23
CNews,Louis Aliot,Député européen,Rassemblement national,EXT D,9.37650013211217,2021-02-23
Public Sénat,Franck Menonville,Sénateur de la Meuse,Mouvement radical,CENTRE GAUCHE,3.7659264187473376,2021-02-23
Sud Radio,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.360632043261403,2021-02-23
RTL,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.517947634002503,2021-02-23
Europe 1,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.753756681743993,2021-02-23
Le Figaro,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.420985525134617,2021-02-23
LCI,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.718167388907448,2021-02-23
RMC-BFM TV,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.319625736533009,2021-02-23
France Info,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.17343252038665,2021-02-23
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.179369852472702,2021-02-24
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.424310398824879,2021-02-24
RFI,Elisabeth Moreno,"Ministre déléguée chargée de lÉgalité entre les femmes et les hommes, de la Diversité et de lÉgalité des chances",Divers,DIV,6.618804326694025,2021-02-24
Public Sénat,Stéphane Le Foll,Ancien ministre,Parti socialiste,GAUCHE,2.5352435964444267,2021-02-24
Sud Radio,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.390956858879207,2021-02-24
Public Sénat,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.757137620295024,2021-02-24
Radio Classique,Hubert Védrine,Ancien ministre des Affaires étrangères,Parti socialiste,GAUCHE,2.5555685367803243,2021-02-24
LCI,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.689178357616174,2021-02-24
RMC-BFM TV,Louis Aliot,Député européen,Rassemblement national,EXT D,9.211277396472045,2021-02-24
France Info,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3415157428330002,2021-02-24
CNews,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.457767431585864,2021-02-24
LCI,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.256077918412606,2021-02-25
Public Sénat,Joël Giraud,Secrétaire d'État chargé de la Ruralité,La République en marche !,CENTRE (majorité),4.753513491182259,2021-02-25
France Inter,Hubert Védrine,Ancien ministre des Affaires étrangères,Parti socialiste,GAUCHE,2.503163189693785,2021-02-25
CNews,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.492154713266001,2021-02-25
France Info,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.553497604173121,2021-02-25
Europe 1,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.0498709238147,2021-02-25
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.159190994063499,2021-02-25
RTL,Stéphane Troussel,Président du Conseil Départemental de la Seine-Saint-Denis,Parti socialiste,GAUCHE,2.547005983675647,2021-02-25
RMC,Gérard Collomb,"Maire de Lyon, ancien ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.589895935280242,2021-02-25
France 2,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.021859464211488,2021-02-25
Public Sénat,François Patriat,Sénateur de Côte-d'Or,La République en marche !,CENTRE (majorité),4.190170271465821,2021-02-25
RFI,Cécile Muschotti,Membre de la République en Marche !,La République en marche !,CENTRE (majorité),4.65210924281426,2021-02-25
France Inter,Jean Rottner,Président de la région Grand Est,Les Républicains,DROITE,8.38474088557584,2021-02-25
CNews,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.693802839201758,2021-02-26
CNews,Andréa Kotarac,Secrétaire général du parti localiste,Rassemblement national,EXT D,9.063687527219642,2021-02-26
France Info,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.191875807836052,2021-02-26
RMC-BFM TV,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.217094638828257,2021-02-26
LCI,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.392186234929624,2021-02-26
CNews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.3437759420974942,2021-02-26
Sud Radio,Gilles Platret,Maire de Chalon-su-Saône et porte-parole des Républicains,Les Républicains,DROITE,8.234472163212942,2021-02-26
Public Sénat,André Gattolin,Sénateur des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.084367400979956,2021-02-26
France Inter,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.632229596394811,2021-02-26
Europe 1,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.7640575959726417,2021-02-26
RMC,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.208060944644121,2021-02-26
CNews,Igor Zamichiei,Secrétaire départemental du PCF Paris,PCF,EXT G,1.5405366238193123,2021-02-27
France Inter,Jean Leonetti,Maire d'Antibes,Les Républicains,DROITE,8.254370503360864,2021-02-27
CNews,Agnès Evren,Députée européenne,Les Républicains,DROITE,8.395968404003877,2021-02-27
France 2,Arnaud Montebourg,Ancien ministre,Parti socialiste,GAUCHE,2.7325548663079133,2021-02-27
CNews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.2589471794495226,2021-02-27
CNews,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.795117012118997,2021-02-27
CNews,Paul Vannier,Porte-parole de la France insoumise,La France insoumise,EXT G,1.7945241729439227,2021-02-27
France Info,Alain Griset,Ministre délégué chargé des Petites et Moyennes entreprises,Divers,DIV,6.598185620160118,2021-02-27
Europe 1,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.260264663224975,2021-02-27
CNews,Romain Colas,Secrétaire national du Parti socialiste et maire de Boussy-Saint-Antoine,Parti socialiste,GAUCHE,2.6194994690069993,2021-02-27
CNews,Zartoshte Bakhtiari,Maire de Neuilly sur Marne,Divers droite,DROITE,8.54639696361665,2021-02-27
CNews,Eric Piolle,Maire de Grenoble,Europe écologie - Les Verts,GAUCHE,2.0266831734754214,2021-02-28
France Info,Jean Rottner,Président de la région Grand Est,Les Républicains,DROITE,8.56131236083826,2021-02-28
BFM TV,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.202268437450832,2021-02-28
Europe 1,Roxana Maracineanu,Ministre des Sports,Divers,DIV,6.641371270473674,2021-02-28
France Info,Gilbert Collard,Député européen,Rassemblement national,EXT D,9.466179065394671,2021-03-01
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.62373426500794,2021-03-01
LCP,Dominique Potier,Député de la Meurthe-et-Moselle,Parti socialiste,GAUCHE,2.40996974982587,2021-03-01
CNews,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.108395144603557,2021-03-01
BFM TV,Valérie Boyer,Sénatrice des Bouches-du-Rhône,Les Républicains,DROITE,8.43953516801007,2021-03-01
Radio Classique,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.3882532524970004,2021-03-01
Public Sénat,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.140386639871736,2021-03-01
Sud Radio,Stéphane Troussel,Président du Conseil Départemental de la Seine-Saint-Denis,Parti socialiste,GAUCHE,2.5389668095689566,2021-03-01
RFI,David Belliard,Président du groupe EELV au conseil de Paris,Europe écologie - Les Verts,GAUCHE,2.548676222437511,2021-03-01
Public Sénat,Philippe Dallier,Sénateur de Seine-Saint-Denis,Les Républicains,DROITE,8.539807598196486,2021-03-01
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.383717219421778,2021-03-01
LCI,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.230599392028354,2021-03-02
BFM TV,Bruno Bonnell,Député du Rhône,La République en marche !,CENTRE (majorité),4.396728498790569,2021-03-02
France Info,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.2821377901490876,2021-03-02
BFM TV,Alexandra Dublanche,Vice-présidente de la région Ile-de-France et porte-parole de Libres !,Libres,DROITE,8.760554799965476,2021-03-02
France Info,Richard Ramos,Député du Loiret,MoDem,CENTRE,5.643717967968394,2021-03-02
France Info,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.183525882160152,2021-03-02
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.192952345154268,2021-03-02
Europe 1,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.371155069533145,2021-03-02
Radio Classique,Eric Woerth,Député de l'Oise,Les Républicains,DROITE,8.234114571373176,2021-03-02
Public Sénat,François-Xavier Bellamy,Député européen,Les Républicains,DROITE,8.715130045473309,2021-03-02
Sud Radio,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.515878104512232,2021-03-02
RFI,Gilles Platret,Maire de Chalon-su-Saône et porte-parole des Républicains,Les Républicains,DROITE,8.323280797981552,2021-03-02
RTL,Florian Bachelier,Député d'Ille-et-Vilaine,La République en marche !,CENTRE (majorité),4.141249142306351,2021-03-02
France 2,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.55630524052475,2021-03-02
Public Sénat,Véronique Guillotin,Sénatrice de Meurthe-et-Moselle,Mouvement radical,CENTRE GAUCHE,3.5677089626457366,2021-03-02
CNews,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.717625229477731,2021-03-02
France Inter,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.458100686359241,2021-03-02
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.726501700890198,2021-03-03
Public Sénat,Dominique Vérien,SÃ©natrice de l'Yonne,UDI,CENTRE DROIT,7.028829745651934,2021-03-03
Sud Radio,Carole Delga,Présidente du conseil régional d'Occitanie,Parti socialiste,GAUCHE,2.510058171531754,2021-03-03
France Info,Henri Guaino,Ancien député des Yvelines,Les Républicains,DROITE,8.159112545595942,2021-03-03
RFI,Sabine Thillaye,Députée d'Indre-et-Loire,La République en marche !,CENTRE (majorité),4.770432373769347,2021-03-03
Europe 1,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.333306220491749,2021-03-03
Radio Classique,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.524972740959006,2021-03-03
LCI,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.7335561772729795,2021-03-03
RMC-BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.471144730226,2021-03-03
France Info,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.0646174974310543,2021-03-03
Le Figaro,Laurence Maillart-Méhaignerie,Députée d'Ille-et-Vilaine,La République en marche !,CENTRE (majorité),4.5902777200867995,2021-03-03
France Info,Laurent Pietraszewski,Secrétaire d'État chargé des Retraites et de la Santé au travail,La République en marche !,CENTRE (majorité),4.024013401380518,2021-03-03
LCI,Valérie Debord,Conseillère régionale du Grand Est,Les Républicains,DROITE,8.40752540891997,2021-03-03
France Inter,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.5548408200138235,2021-03-03
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.212175199701868,2021-03-04
France Info,Jean-Christophe Lagarde,"Président de l'UDI, député de Seine-Saint-Denis",UDI,CENTRE DROIT,7.571482971144119,2021-03-04
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.603737056773213,2021-03-04
France Info,Olivier Becht,Président du groupe Agir ensemble à l'Assemblée nationale,Agir,CENTRE DROIT,7.67462308943479,2021-03-04
CNews,Constance Le Grip,Députée des Hauts-de-Seine,Les Républicains,DROITE,8.30247993243536,2021-03-04
Le Figaro,Sophie Cluzel,Secrétaire d'État chargée des Personnes handicapées,Divers,DIV,6.437935824188224,2021-03-04
France 2,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.747871599755278,2021-03-04
Radio Classique,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.751323348622272,2021-03-04
Public Sénat,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.4442037023196015,2021-03-04
Sud Radio,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.038174930678775,2021-03-04
Public Sénat,Jean-Pierre Sueur,Sénateur du Loiret,Parti socialiste,GAUCHE,2.7871926955578354,2021-03-04
RMC-BFM TV,Fabien Roussel,Membre du PCF,PCF,EXT G,1.3128313776453362,2021-03-04
France Info,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.609510042577433,2021-03-04
RTL,Clément Beaune,Secrétaire d'État chargé des Affaires européennes,La République en marche !,CENTRE (majorité),4.646141487235896,2021-03-05
LCP,Marie-Pierre Vedrenne,Députée européenne,MoDem,CENTRE,5.074986960848041,2021-03-05
France Info,Caroline Fiat,Députée de la Meurthe-et-Moselle,La France insoumise,EXT G,1.2143081091491161,2021-03-05
Le Figaro,Florence Portelli,Conseillère régionale d'Ile-de-France et maire de Taverny,Les Républicains,DROITE,8.124983146513776,2021-03-05
LCP,Marie-Pierre de la Gontrie,Sénatrice de Paris,Parti socialiste,GAUCHE,2.4974795851621483,2021-03-05
