id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
3727,068-06,14,RITZ,Christelle,Mme,RN,Rassemblement National,Ritz,non
3728,068-06,15,FUCHS,Bruno,M.,ENS,Ensemble ! (Majorité présidentielle),Fuchs,oui
3729,068-06,16,BREINER,Dimitri,M.,DIV,Parti Pirate,Breiner,non
3730,069-01,1,PROST,Anne,Mme,LR,Les Républicains,Prost,non
3731,069-01,2,DAYME,Grégory,M.,RDG,Parti radical de gauche,Dayme,non
3732,069-01,3,RUDIGOZ,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),Rudigoz,oui
3733,069-01,4,GAGARINE,Voliaria,Mme,RN,Rassemblement National,Gagarine,non
3734,069-01,5,VUARIN--APPA PLAZA,Celina,Mme,DVD,Divers droite,Vuarin--Appa Plaza,non
3735,069-01,6,BONFILS,Sixtine,Mme,REC,Reconquête !,Bonfils,non
3736,069-01,7,GRIES,Aurélie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Gries,non
3737,069-01,8,COLOMBIER,Fanny,Mme,DIV,Divers,Colombier,non
3738,069-01,9,CHARRON,Patrick,M.,ECO,Ecologistes,Charron,non
3739,069-01,10,BUGNI,Jim,M.,DXG,Divers extrême gauche,Bugni,non
3740,069-02,1,SIMON,Pierre,M.,REC,Reconquête !,Simon,non
3741,069-02,2,PRIETO,Philippe,M.,SOC,Parti socialiste,Prieto,non
3742,069-02,3,JULIEN-LAFERRIERE,Hubert,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Julien-Laferriere,oui
3743,069-02,4,VELICITAT,Claire,Mme,ECO,Ecologistes,Velicitat,non
3744,069-02,5,BÖHNKE,Laurent,M.,ECO,Ecologistes,Böhnke,non
3745,069-02,6,DRIOLI,Adrien,M.,DVG,Divers gauche,Drioli,non
3746,069-02,7,TERRENES,Loic,M.,ENS,Ensemble ! (Majorité présidentielle),Terrenes,non
3747,069-02,8,SINTÈS,Sylvine,Mme,RN,Rassemblement National,Sintès,non
3748,069-02,9,COULAN,Pascal,M.,DIV,Divers,Coulan,non
3749,069-02,10,BRIDAY,Delphine,Mme,DXG,Divers extrême gauche,Briday,non
3750,069-02,11,FOGEL-JEDIDI,Myriam,Mme,LR,Les Républicains,Fogel-Jedidi,non
3751,069-02,12,ARNAULT,Raphaël,M.,REG,Régionaliste,Arnault,non
3752,069-02,13,AISSOU,Karima,Mme,ECO,Ecologistes,Aissou,non
3753,069-02,14,ALI,Muhammad,M.,DIV,Divers,Ali,non
3754,069-02,15,RANNOU,Delphine,Mme,DXG,Divers extrême gauche,Rannou,non
3755,069-03,1,DE MONTILLE,Béatrice,Mme,LR,Les Républicains,De Montille,non
3756,069-03,2,CHINAL,Marc,M.,DIV,Divers,Chinal,non
3757,069-03,3,PEILLON,Sarah,Mme,ENS,Ensemble ! (Majorité présidentielle),Peillon,non
3758,069-03,4,DUDUKDJIAN,Jean-Noël,M.,DXG,Divers extrême gauche,Dudukdjian,non
3759,069-03,5,VOLLORY,Gérard,M.,RN,Rassemblement National,Vollory,non
3760,069-03,6,BARRALLON,Anaïs,Mme,DXG,Divers extrême gauche,Barrallon,non
3761,069-03,7,GUILLAUMONT,Nadège,Mme,ECO,Ecologistes,Guillaumont,non
3762,069-03,8,GEFFRAULT,Alexis,M.,DIV,Divers,Geffrault,non
3763,069-03,9,RAMOS,Valérie,Mme,ECO,Ecologistes,Ramos,non
3764,069-03,10,DELUCENAY,Olivier,M.,REC,Reconquête !,Delucenay,non
3765,069-03,11,GARIN,Marie-Charlotte,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Garin,non
3766,069-03,12,AUZAL,Jean-François,M.,RDG,Parti radical de gauche,Auzal,non
3767,069-03,13,TODOROVIC,Nicolas,M.,ECO,Ecologistes,Todorovic,non
3768,069-04,1,DARBON,Florence,Mme,REC,Reconquête !,Darbon,non
3769,069-04,2,LAURENT,Coralie,Mme,DXG,Divers extrême gauche,Laurent,non
3770,069-04,3,KEBIR,Nadia,Mme,ECO,Ecologistes,Kebir,non
3771,069-04,4,BLACHE,Pascal,M.,LR,Les Républicains,Blache,non
3772,069-04,5,COULAIS,Véronique,Mme,RN,Rassemblement National,Coulais,non
3773,069-04,6,BRUGNERA,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),Brugnera,oui
3774,069-04,7,VEL,Juliette,Mme,DIV,Divers,Vel,non
3775,069-04,8,BENRAMDANE,Malik,M.,DIV,Divers,Benramdane,non
3776,069-04,9,BADOUARD,Benjamin,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Badouard,non
3777,069-05,1,DUIGOU,Yves,M.,RN,Rassemblement National,Duigou,non
3778,069-05,2,JOINT,Bastien,M.,LR,Les Républicains,Joint,non
3779,069-05,3,LE BEL,Cédric,M.,REC,Reconquête !,Le Bel,non
