id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
1250,029-05,3,CAJEAN,Christian,M.,DXG,Divers extrême gauche,Cajean,non
1251,029-05,4,SARRABEZOLLES,Nathalie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Sarrabezolles,non
1252,029-05,5,MURIOT,Stéphanie,Mme,ECO,Ecologistes,Muriot,non
1253,029-05,6,LOLLIÉROU,Thierry-Hubert,M.,REC,Reconquête !,Lolliérou,non
1254,029-05,7,THOMAÏDIS,Renée,Mme,RN,Rassemblement National,Thomaïdis,non
1255,029-05,8,MELCHIOR,Graziella,Mme,ENS,Ensemble ! (Majorité présidentielle),Melchior,oui
1256,029-05,9,LE NY,Brigitte,Mme,REG,Régionaliste,Le Ny,non
1257,029-06,1,FABRE,Valérie,Mme,DIV,Parti Pirate,Fabre,non
1258,029-06,2,LE FUR,Patrick,M.,RN,Rassemblement National,Le Fur,non
1259,029-06,3,BROUSTAUT,Sophie,Mme,REC,Reconquête !,Broustaut,non
1260,029-06,4,THOMIN,Mélanie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Thomin,non
1261,029-06,5,PLOUZANÉ,Philippe,M.,REG,Régionaliste,Plouzané,non
1262,029-06,6,FERRAND,Richard,M.,ENS,Ensemble ! (Majorité présidentielle),Ferrand,oui
1263,029-06,7,PASQUET,Alan,M.,REG,Régionaliste,Pasquet,non
1264,029-06,8,PFLIEGER,Mathilde Maria,Mme,DIV,Divers,Pflieger,non
1265,029-06,9,NICOLAS,Gaëlle,Mme,LR,Les Républicains,Nicolas,non
1266,029-06,10,FEHRINGER,Bernard,M.,ECO,Ecologistes,Fehringer,non
1267,029-06,11,PERENNEC,Tugdual,M.,DIV,Divers,Perennec,non
1268,029-06,12,CORDIER,Philippe,M.,DXG,Divers extrême gauche,Cordier,non
1269,029-06,13,BEAULIEU,Tiphaine,Mme,DIV,Divers,Beaulieu,non
1270,029-07,1,TANGUY,Liliana,Mme,ENS,Ensemble ! (Majorité présidentielle),Tanguy,oui
1271,029-07,2,TANGUY,Jacques,M.,DIV,Divers,Tanguy,oui
1272,029-07,3,BOUIN,Yolande,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bouin,non
1273,029-07,4,PEREZ,Alain,M.,DIV,Divers,Perez,non
1274,029-07,5,LE GUEN,Eric,M.,LR,Les Républicains,Le Guen,non
1275,029-07,6,MALET,Aela,Mme,REG,Régionaliste,Malet,non
1276,029-07,7,CRIQUET,Patrik,M.,DIV,Divers,Criquet,non
1277,029-07,8,LERICHE,Yann,M.,REC,Reconquête !,Leriche,non
1278,029-07,9,NICOLAS,Franck,M.,RN,Rassemblement National,Nicolas,non
1279,029-07,10,DJOBO,Abbas,M.,ECO,Ecologistes,Djobo,non
1280,029-07,11,DEBLIQUI,Régis,M.,DXG,Divers extrême gauche,Debliqui,non
1281,029-07,12,TOUZÉ,Maxime,M.,REG,Régionaliste,Touzé,non
1282,029-08,1,GOURLAOUEN,Claire,Mme,LR,Les Républicains,Gourlaouen,non
1283,029-08,2,DRAN,Laurent,M.,ECO,Ecologistes,Dran,non
1284,029-08,3,CUCINIELLO,Manon,Mme,DSV,Droite souverainiste,Cuciniello,non
1285,029-08,4,LE FLAO,Youenn,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Le Flao,non
1286,029-08,5,BALANANT,Erwan,M.,ENS,Ensemble ! (Majorité présidentielle),Balanant,oui
1287,029-08,6,PEREZ,Christian,M.,RN,Rassemblement National,Perez,non
1288,029-08,7,MOREL,Anne,Mme,DXG,Divers extrême gauche,Morel,non
1289,029-08,8,COUËDELO,Pierre,M.,REC,Reconquête !,Couëdelo,non
1290,029-08,9,PAINGAULT,Claire,Mme,REG,Régionaliste,Paingault,non
1291,02A-01,1,QUINTELA,David,M.,REC,Reconquête !,Quintela,non
1292,02A-01,2,LIPPLER,Walter,M.,DSV,Droite souverainiste,Lippler,non
1293,02A-01,3,MOZZICONACCI,Michel,M.,DVC,Divers centre,Mozziconacci,non
1294,02A-01,4,DE MARI,Robin,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,De Mari,non
1295,02A-01,5,CARROLAGGI,Jean-Paul,M.,REG,Régionaliste,Carrolaggi,non
1296,02A-01,6,SUSINI,Angélique,Mme,SOC,Parti socialiste,Susini,non
1297,02A-01,7,MARCANGELI,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle),Marcangeli,non
1298,02A-01,8,AMZIANE,Anissa-Flore,Mme,COM,Parti communiste français,Amziane,non
1299,02A-01,9,COLONNA,Romain,M.,REG,Régionaliste,Colonna,non
1300,02A-01,10,ANTONA,Nathaly,Mme,RN,Rassemblement National,Antona,non
1301,02A-01,11,BIZZARI,Pascale,Mme,ECO,Ecologistes,Bizzari,non
1302,02A-01,12,LAINEZ,Claire,Mme,DXG,Divers extrême gauche,Lainez,non
1303,02A-02,1,NICOLAI,Yves,M.,ECO,Ecologistes,Nicolai,non
1304,02A-02,2,DAÏEN,Yves,M.,DXG,Divers extrême gauche,Daïen,non
1305,02A-02,3,BATTISTINI,Olivier,M.,REC,Reconquête !,Battistini,non
1306,02A-02,4,COLOMBANI,Paul-André,M.,REG,Régionaliste,Colombani,oui
1307,02A-02,5,SALMAT,Ghislaine,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Salmat,non
1308,02A-02,6,MUSELLI-COLONNA,Pierre-Ange,M.,COM,Parti communiste français,Muselli-Colonna,non
1309,02A-02,7,FILONI,François,M.,RN,Rassemblement National,Filoni,non
1310,02A-02,8,ETTORI,Vincent Louis,M.,DSV,Droite souverainiste,Ettori,non
1311,02A-02,9,CHAMPEAU,Dylan,M.,DVG,Divers gauche,Champeau,non
1312,02A-02,10,BOZZI,Valérie,Mme,DVD,Divers droite,Bozzi,non
1313,02A-02,11,PUCCINELLI,Pierre-Paul,M.,REG,Régionaliste,Puccinelli,non
1314,02B-01,1,MORGANTI,Julien,M.,DVC,Divers centre,Morganti,non
1315,02B-01,2,MAQUET,Gaël,M.,DIV,Divers,Maquet,non
1316,02B-01,3,LAMBERTI,Jean,M.,REC,Reconquête !,Lamberti,non
1317,02B-01,4,PAOLI,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),Paoli,non
1318,02B-01,5,CASTELLANI,Michel,M.,REG,Régionaliste,Castellani,oui
1319,02B-01,6,MAUNY,Dominique,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Mauny,non
1320,02B-01,7,JOSUÉ,Olivier,M.,DXG,Divers extrême gauche,Josué,non
1321,02B-01,8,STAELENS,Michel,M.,ECO,Ecologistes,Staelens,non
1322,02B-01,9,FERNANDEZ,Alexis,M.,RN,Rassemblement National,Fernandez,non
1323,02B-01,10,STEFANI,Michel,M.,COM,Parti communiste français,Stefani,non
1324,02B-01,11,CETTOUR-LEONI,Christine,Mme,DSV,Droite souverainiste,Cettour-Leoni,non
1325,02B-01,12,TOMASI,Petru Antone,M.,REG,Régionaliste,Tomasi,non
1326,02B-02,1,ACQUAVIVA,Jean-Félix,M.,REG,Régionaliste,Acquaviva,oui
1327,02B-02,2,CECCOLI,François-Xavier,M.,DVD,Divers droite,Ceccoli,non
1328,02B-02,3,SALDUCCI,Marie Dominique,Mme,DSV,Droite souverainiste,Salducci,non
1329,02B-02,4,RAFFAELLI - FRANCESCHI,Amélie,Mme,COM,Parti communiste français,Raffaelli - Franceschi,non
1330,02B-02,5,BARONNE ML MARIANI,.,Mme,DIV,Parti Pirate,Baronne Ml Mariani,non
1331,02B-02,6,MORTINI,Lionel,M.,REG,Régionaliste,Mortini,non
1332,02B-02,7,RONGIONE,Viviane,Mme,DXG,Divers extrême gauche,Rongione,non
1333,02B-02,8,CARDI,Jean,M.,RN,Rassemblement National,Cardi,non
1334,030-01,1,DUMAS,Françoise,Mme,ENS,Ensemble ! (Majorité présidentielle),Dumas,oui
1335,030-01,2,GILLET,Yoann,M.,RN,Rassemblement National,Gillet,non
1336,030-01,3,AUSSEIL,Sarah,Mme,DVD,Divers droite,Ausseil,non
1337,030-01,4,CAVAGLIA,Erick,M.,REC,Reconquête !,Cavaglia,non
1338,030-01,5,ZAOUCHE,Evrard,M.,DIV,Divers,Zaouche,non
1339,030-01,6,GARDEUR-BANCEL,Véronique,Mme,LR,Les Républicains,Gardeur-Bancel,non
1340,030-01,7,LECLERC,Isabelle,Mme,DXG,Divers extrême gauche,Leclerc,non
1341,030-01,8,COGO,Yannick,M.,ECO,Ecologistes,Cogo,non
1342,030-01,9,OUATELI,Naïma,Mme,DIV,Divers,Ouateli,non
1343,030-01,10,MENARD,Charles,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Menard,non
1344,030-01,11,MOULA,Alain,M.,DIV,Divers,Moula,non
1345,030-01,12,DANJOU,Sylvie,Mme,ECO,Ecologistes,Danjou,non
1346,030-02,1,GHIRARDI,Coralie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Ghirardi,non
1347,030-02,2,LACHAUD,Yvan,M.,ENS,Ensemble ! (Majorité présidentielle),Lachaud,non
1348,030-02,3,BOURRELY,Geneviève,Mme,DSV,Droite souverainiste,Bourrely,non
1349,030-02,4,MANSON,Stéphane,M.,DXG,Divers extrême gauche,Manson,non
1350,030-02,5,TOUZELLIER,Frédéric,M.,LR,Les Républicains,Touzellier,non
1351,030-02,6,VOIRON,Julien,M.,DIV,Parti Pirate,Voiron,non
1352,030-02,7,MEIZONNET,Nicolas,M.,RN,Rassemblement National,Meizonnet,oui
1353,030-02,8,MOUKITE,Zakaria,M.,ECO,Ecologistes,Moukite,non
1354,030-02,9,LEROY,Anthony,M.,REC,Reconquête !,Leroy,non
1355,030-02,10,SEVILLA,Pierre-Jean,M.,ECO,Ecologistes,Sevilla,non
1356,030-03,1,SCARAMOZZINO,Joëlle,Mme,ECO,Ecologistes,Scaramozzino,non
1357,030-03,2,MICHON,Catherine,Mme,ECO,Ecologistes,Michon,non
1358,030-03,3,NOVARETTI,Monique,Mme,RDG,Parti radical de gauche,Novaretti,non
1359,030-03,4,GUICHARD,Anne,Mme,DIV,Divers,Guichard,non
1360,030-03,5,BORDES,Pascale,Mme,RN,Rassemblement National,Bordes,non
1361,030-03,6,EGÉA,Jean,M.,DXG,Divers extrême gauche,Egéa,non
1362,030-03,7,PRÉVOST,Christophe,M.,REG,Régionaliste,Prévost,non
1363,030-03,8,CELLIER,Anthony,M.,ENS,Ensemble ! (Majorité présidentielle),Cellier,oui
1364,030-03,9,ARNAUD,Blandine,Mme,LR,Les Républicains,Arnaud,non
1365,030-03,10,OROMI,Sabine,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Oromi,non
1366,030-03,11,MOULIN,Jean-Marie,M.,REC,Reconquête !,Moulin,non
1367,030-04,1,MEURIN,Pierre,M.,RN,Rassemblement National,Meurin,non
1368,030-04,2,WAGNER,Aurélie,Mme,REC,Reconquête !,Wagner,non
1369,030-04,3,SCHUSTER,Nadine,Mme,ECO,Ecologistes,Schuster,non
1370,030-04,4,GIRARD,Gaël,M.,DVD,Divers droite,Girard,non
1371,030-04,5,BIENKOWSKI,Stéphanie,Mme,ECO,Ecologistes,Bienkowski,non
1372,030-04,6,PASSIEU,Dominique Richard,M.,DVC,Divers centre,Passieu,non
1373,030-04,7,BORD,Arnaud,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bord,non
1374,030-04,8,BIAIS,Denis,M.,DSV,Droite souverainiste,Biais,non
1375,030-04,9,DE FARIA,Jean-Pierre,M.,DVD,Divers droite,De Faria,non
1376,030-04,10,RIBOT,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),Ribot,non
1377,030-04,11,NAPOLI,Stéphane,M.,DIV,Divers,Napoli,non
1378,030-04,12,MARTRE,Valérie,Mme,UDI,Union des Démocrates et des Indépendants,Martre,non
1379,030-04,13,GARCIA,Jérôme,M.,DXG,Divers extrême gauche,Garcia,non
1380,030-05,1,MERAND,Didier,M.,DIV,Divers,Merand,non
1381,030-05,2,BOZEC,Frédérique,Mme,REC,Reconquête !,Bozec,non
1382,030-05,3,OLINET,Agnès,Mme,DXG,Divers extrême gauche,Olinet,non
1383,030-05,4,SALA,Michel,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Sala,non
1384,030-05,5,ROCCO,Catherine,Mme,ECO,Ecologistes,Rocco,non
1385,030-05,6,LAUNAY,Jean-Marie,M.,RN,Rassemblement National,Launay,non
1386,030-05,7,CASANO,Nathan,M.,DVC,Divers centre,Casano,non
1387,030-05,8,CAPALDI,Antoine,M.,REG,Régionaliste,Capaldi,non
1388,030-05,9,BRASSELET,Annie,Mme,DSV,Droite souverainiste,Brasselet,non
1389,030-05,10,DAUFÈS-ROUX,Catherine,Mme,ENS,Ensemble ! (Majorité présidentielle),Daufès-Roux,oui
1390,030-05,11,BOYER,Léa,Mme,LR,Les Républicains,Boyer,non
1391,030-06,1,GUILLOT,Sophie,Mme,DVC,Divers centre,Guillot,non
1392,030-06,2,MAURIN,Jean-Claude,M.,DVG,Divers gauche,Maurin,non
1393,030-06,3,GARDET,Laurence,Mme,RN,Rassemblement National,Gardet,non
1394,030-06,4,CADÈNE,Nicolas,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Cadène,non
1395,030-06,5,TERBECHE,Aïcha,Mme,DXG,Divers extrême gauche,Terbeche,non
1396,030-06,6,STIVAL,Nicolas,M.,DSV,Droite souverainiste,Stival,non
1397,030-06,7,GUILLEMIN,Stéphane,M.,REC,Reconquête !,Guillemin,non
1398,030-06,8,GILLI,Stephane,M.,ECO,Ecologistes,Gilli,non
1399,030-06,9,COURDIL,François,M.,LR,Les Républicains,Courdil,non
1400,030-06,10,BENSLIMA,Mounir,M.,ECO,Ecologistes,Benslima,non
1401,030-06,11,BERTA,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),Berta,oui
1402,031-01,1,BAUDIS,Pierre,M.,ENS,Ensemble ! (Majorité présidentielle),Baudis,non
1403,031-01,2,COMBES,Benjamin,M.,ECO,Ecologistes,Combes,non
1404,031-01,3,LE PENVEN,Olivier,M.,DXG,Divers extrême gauche,Le Penven,non
1405,031-01,4,MARSAL,Cathy,Mme,RN,Rassemblement National,Marsal,non
1406,031-01,5,CASTILLO-MENDEGRIS,Oscar,M.,LR,Les Républicains,Castillo-Mendegris,non
1407,031-01,6,ROCCA,Jacques,M.,DVC,Divers centre,Rocca,non
1408,031-01,7,BAPT,Pierre Nicolas,M.,RDG,Parti radical de gauche,Bapt,non
1409,031-01,8,BOUJAT,Evelyne,Mme,REG,Régionaliste,Boujat,non
1410,031-01,9,CLOUET,Hadrien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Clouet,non
1411,031-01,10,BATTISTELLA,Aude,Mme,REC,Reconquête !,Battistella,non
1412,031-01,11,PICARD,Georges,M.,DXG,Divers extrême gauche,Picard,non
1413,031-02,1,JOVIADO,Gilles,M.,DVG,Divers gauche,Joviado,non
1414,031-02,2,BARTHÉLÉMY,Clotilde,Mme,DXG,Divers extrême gauche,Barthélémy,non
1415,031-02,3,GUIBERT,Adeline,Mme,DVG,Divers gauche,Guibert,non
1416,031-02,4,CAMPO,Charles,M.,DSV,Droite souverainiste,Campo,non
1417,031-02,5,LAGLEIZE,Jean-Luc,M.,ENS,Ensemble ! (Majorité présidentielle),Lagleize,oui
1418,031-02,6,DE TOURNADRE,Estelle,Mme,DIV,Divers,De Tournadre,non
1419,031-02,7,GENNARO-SAINT,Christine,Mme,LR,Les Républicains,Gennaro-Saint,non
1420,031-02,8,CATHALA,Catherine,Mme,ECO,Ecologistes,Cathala,non
1421,031-02,9,MARTIN,Pierre,M.,DIV,Parti Pirate,Martin,non
1422,031-02,10,TEYCHENE,Sonia,Mme,RN,Rassemblement National,Teychene,non
1423,031-02,11,BALES,Laurent,M.,REG,Régionaliste,Bales,non
1424,031-02,12,KARASIAK,Nicolas,M.,ECO,Ecologistes,Karasiak,non
1425,031-02,13,STAMBACH-TERRENOIR,Anne,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Stambach-Terrenoir,non
1426,031-02,14,LORANS,Pauline,Mme,REC,Reconquête !,Lorans,non
1427,031-03,1,ALARCON,Stéphanie,Mme,RN,Rassemblement National,Alarcon,non
1428,031-03,2,CALMELS,Benoît,M.,ECO,Ecologistes,Calmels,non
1429,031-03,3,ROBY,Agathe,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Roby,non
1430,031-03,4,VIGNON,Corinne,Mme,ENS,Ensemble ! (Majorité présidentielle),Vignon,oui
1431,031-03,5,SAFORCADA,David,M.,DVG,Divers gauche,Saforcada,non
1432,031-03,6,ADRADA,Malena,Mme,DXG,Divers extrême gauche,Adrada,non
1433,031-03,7,ARRIBAGÉ,Laurence,Mme,LR,Les Républicains,Arribagé,non
1434,031-03,8,DE GUYENRO,Olivier,M.,DVD,Divers droite,De Guyenro,non
1435,031-03,9,SANVISENS,Clément,M.,ECO,Ecologistes,Sanvisens,non
1436,031-03,10,DULON,Camille,Mme,REC,Reconquête !,Dulon,non
1437,031-03,11,MUR,Patrice,M.,RDG,Parti radical de gauche,Mur,non
1438,031-03,12,LIGNIER,André Michel,M.,DVG,Divers gauche,Lignier,non
1439,031-04,1,SADOWSKI,Ewa,Mme,RN,Rassemblement National,Sadowski,non
1440,031-04,2,MARCIREAU,Patrick,M.,DXG,Divers extrême gauche,Marcireau,non
1441,031-04,3,COTTREL,Arthur,M.,REC,Reconquête !,Cottrel,non
1442,031-04,4,SABATER,Raimon,M.,ECO,Ecologistes,Sabater,non
1443,031-04,5,LAFARGE,Sandrine,Mme,DVG,Divers gauche,Lafarge,non
1444,031-04,6,DELMAS,Jacme,M.,REG,Régionaliste,Delmas,non
1445,031-04,7,SY,Khady-Alberte,Mme,DVG,Divers gauche,Sy,non
1446,031-04,8,PIQUEMAL,François,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Piquemal,non
1447,031-04,9,BRANDELY,Cécile,Mme,DXG,Divers extrême gauche,Brandely,non
1448,031-04,10,SERP,Bertrand,M.,LR,Les Républicains,Serp,non
1449,031-04,11,JALOUNEIX,Anaïs,Mme,DVG,Divers gauche,Jalouneix,non
1450,031-04,12,CARSALADE,Jean-Pierre,M.,DVC,Divers centre,Carsalade,non
1451,031-04,13,CONSTANS,Marie-Claire,Mme,ENS,Ensemble ! (Majorité présidentielle),Constans,non
1452,031-04,14,AGAG-BOUDJAHLAT,Fatiha,Mme,DVG,Divers gauche,Agag-Boudjahlat,non
1453,031-05,1,VIRGOS,Pascal,M.,DSV,Droite souverainiste,Virgos,non
1454,031-05,2,HONTANS,Bruno,M.,REC,Reconquête !,Hontans,non
1455,031-05,3,CHERONNET,Jean-Christophe,M.,LR,Les Républicains,Cheronnet,non
1456,031-05,4,PIQUES,Jérôme,M.,REG,Régionaliste,Piques,non
1457,031-05,5,ESPAGNOLLE,Sylvie,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Espagnolle,non
1458,031-05,6,LASERGE,Michel,M.,DXG,Divers extrême gauche,Laserge,non
1459,031-05,7,LEONARDELLI,Julien,M.,RN,Rassemblement National,Leonardelli,non
1460,031-05,8,PORTARRIEU,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),Portarrieu,oui
1461,031-05,9,VELO,Johanna,Mme,ECO,Ecologistes,Velo,non
1462,031-05,10,MOSDIER,Alizée,Mme,RDG,Parti radical de gauche,Mosdier,non
1463,031-05,11,GRIEU,Anne,Mme,DIV,Parti Pirate,Grieu,non
1464,031-05,12,GOMBERT,Laurence,Mme,DVG,Divers gauche,Gombert,non
1465,031-06,1,HELMAN,Christelle,Mme,DVG,Divers gauche,Helman,non
1466,031-06,2,PUEL,Michele,Mme,DXG,Divers extrême gauche,Puel,non
1467,031-06,3,JOUVE,Fabien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Jouve,non
1468,031-06,4,TARANTO,Thierry,M.,DVD,Divers droite,Taranto,non
1469,031-06,5,PIUSSAN,Dominique,Mme,REC,Reconquête !,Piussan,non
1470,031-06,6,MARTIN,Tristan,M.,DVG,Divers gauche,Martin,non
1471,031-06,7,IBORRA,Monique,Mme,ENS,Ensemble ! (Majorité présidentielle),Iborra,oui
1472,031-06,8,LAPORTE,Sandra,Mme,ECO,Ecologistes,Laporte,non
1473,031-06,9,QUINTON,Marc,M.,DIV,Parti Pirate,Quinton,non
1474,031-06,10,AIELLO,Lydia,Mme,RN,Rassemblement National,Aiello,non
1475,031-06,11,BONNEMAISON,Sylvie,Mme,DVD,Divers droite,Bonnemaison,non
1476,031-06,12,ALVES,Christophe,M.,LR,Les Républicains,Alves,non
1477,031-06,13,PATER,Servane,Mme,ECO,Ecologistes,Pater,non
1478,031-06,14,LANOIX,Delphine,Mme,DSV,Droite souverainiste,Lanoix,non
1479,031-07,1,ALBERT,Stéphane,M.,REG,Régionaliste,Albert,non
1480,031-07,2,TOUTUT-PICARD,Elisabeth,Mme,ENS,Ensemble ! (Majorité présidentielle),Toutut-Picard,oui
1481,031-07,3,TESSEREAU,Georges-Henri,M.,REC,Reconquête !,Tessereau,non
1482,031-07,4,BEX,Christophe,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bex,non
1483,031-07,5,VON DEYEN,Romain,M.,ECO,Ecologistes,Von Deyen,non
1484,031-07,6,BERGNES,Hervé,M.,DXG,Divers extrême gauche,Bergnes,non
1485,031-07,7,THUARD,Florent,M.,DSV,Droite souverainiste,Thuard,non
1486,031-07,8,PINATEL,Emmanuelle,Mme,RN,Rassemblement National,Pinatel,non
1487,031-07,9,MIDALI,Julien,M.,DVG,Divers gauche,Midali,non
1488,031-07,10,ETCHEVERRY,Sophie,Mme,DIV,Parti Pirate,Etcheverry,non
1489,031-07,11,EYMOND,Angelique,Mme,DVD,Divers droite,Eymond,non
1490,031-07,12,BANCHERIT,Christophe,M.,LR,Les Républicains,Bancherit,non
1491,031-08,1,AVIRAGNET,Joël,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Aviragnet,oui
1492,031-08,2,FAUVERNIER,Annabelle,Mme,DVG,Divers gauche,Fauvernier,non
1493,031-08,3,GUIRAUD,Martine,Mme,DXG,Divers extrême gauche,Guiraud,non
1494,031-08,4,LAURENTIES-BARRERE,Céline,Mme,ENS,Ensemble ! (Majorité présidentielle),Laurenties-Barrere,non
1495,031-08,5,DELCHARD,Loic,M.,RN,Rassemblement National,Delchard,non
1496,031-08,6,SERRE,Wilfried,M.,DVD,Divers droite,Serre,non
1497,031-08,7,HARARI,François,M.,DVG,Divers gauche,Harari,non
1498,031-08,8,KARNIKIAN,Vartan,M.,DIV,Divers,Karnikian,non
1499,031-08,9,BAILLY,Amélie,Mme,DSV,Droite souverainiste,Bailly,non
1500,031-08,10,RIERE,Yves,M.,REC,Reconquête !,Riere,non
1501,031-08,11,MONCASI,Simon,M.,ECO,Ecologistes,Moncasi,non
1502,031-09,1,DOROY,Juliette,Mme,ECO,Ecologistes,Doroy,non
1503,031-09,2,COLOMINA,Damien,M.,DVG,Divers gauche,Colomina,non
1504,031-09,3,AUDISIO,Jérôme,M.,REC,Reconquête !,Audisio,non
1505,031-09,4,ARRIGHI,Christine,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Arrighi,non
1506,031-09,5,MÖRCH,Sandrine,Mme,ENS,Ensemble ! (Majorité présidentielle),Mörch,oui
1507,031-09,6,MARTIN,Henri,M.,DXG,Divers extrême gauche,Martin,non
1508,031-09,7,BARKATS,Thomas,M.,RN,Rassemblement National,Barkats,non
1509,031-09,8,BAUD,Robert,M.,ECO,Ecologistes,Baud,non
1510,031-09,9,DUFRAISSE,Cecile,Mme,LR,Les Républicains,Dufraisse,non
1511,031-09,10,BENSLIMANE,Younès,M.,DIV,Parti Pirate,Benslimane,non
1512,031-09,11,SIRUGUE,Chantal,Mme,DXG,Divers extrême gauche,Sirugue,non
1513,031-09,12,RÜMLER,Paul,M.,DVG,Divers gauche,Rümler,non
1514,031-10,1,ASSIER,Alice,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Assier,non
1515,031-10,2,SCHMITT,Eric,M.,DVG,Divers gauche,Schmitt,non
1516,031-10,3,POIRIER,Christelle,Mme,RN,Rassemblement National,Poirier,non
1517,031-10,4,BOURLAND,Ghislaine,Mme,REC,Reconquête !,Bourland,non
1518,031-10,5,CORSO,Gilles,M.,DIV,Divers,Corso,non
1519,031-10,6,GIMENO,Séverine,Mme,ECO,Ecologistes,Gimeno,non
1520,031-10,7,CONTE MARGAIL,Sandrine,Mme,ECO,Ecologistes,Conte Margail,non
1521,031-10,8,RESPAUD,Stéphanie,Mme,LR,Les Républicains,Respaud,non
1522,031-10,9,SOUCHE,Lucile,Mme,DXG,Divers extrême gauche,Souche,non
1523,031-10,10,MARQUIE,Baptiste,M.,DVD,Divers droite,Marquie,non
1524,031-10,11,ZITOUNI,Réda,M.,DVC,Divers centre,Zitouni,non
1525,031-10,12,PALAT,Nadine,Mme,DXG,Divers extrême gauche,Palat,non
1526,031-10,13,FAURE,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle),Faure,non
1527,032-01,1,YELMA,Jean-Luc,M.,RN,Rassemblement National,Yelma,non
1528,032-01,2,CAZES,Aurore,Mme,REC,Reconquête !,Cazes,non
1529,032-01,3,LARRÉ,Nadine,Mme,ECO,Ecologistes,Larré,non
1530,032-01,4,OLIVIER-GOMOLKO,Maggy,Mme,DSV,Droite souverainiste,Olivier-Gomolko,non
1531,032-01,5,LEVIEUX,Pascal,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Levieux,non
1532,032-01,6,DAVEZAC,Jean-Luc,M.,REG,Régionaliste,Davezac,non
1533,032-01,7,CAZENEUVE,Jean-René,M.,ENS,Ensemble ! (Majorité présidentielle),Cazeneuve,oui
1534,032-01,8,DEL CASTILLO,Bernadette,Mme,ECO,Ecologistes,Del Castillo,non
1535,032-01,9,THEYE,Sylvie,Mme,RDG,Parti radical de gauche,Theye,non
1536,032-01,10,CHARETON,Jean-Louis,M.,DXG,Divers extrême gauche,Chareton,non
1537,032-02,1,BOURCIER,Maëva,Mme,ENS,Ensemble ! (Majorité présidentielle),Bourcier,non
1538,032-02,2,CENDRÉ,Alice,Mme,RN,Rassemblement National,Cendré,non
1539,032-02,3,SOCCIO,Christopher,M.,DIV,Divers,Soccio,non
1540,032-02,4,MARTIN,Michèle,Mme,DXG,Divers extrême gauche,Martin,non
1541,032-02,5,GEIGER,Frank,M.,DIV,Divers,Geiger,non
1542,032-02,6,FOURCADE DUTIN,Frédéric,M.,REG,Régionaliste,Fourcade Dutin,non
1543,032-02,7,AGIER,Sylvie,Mme,DSV,Droite souverainiste,Agier,non
1544,032-02,8,MONTEIL,Eric,M.,REC,Reconquête !,Monteil,non
1545,032-02,9,GABAS,Michel,M.,LR,Les Républicains,Gabas,non
1546,032-02,10,GOUDENNE,Angélique,Mme,DXG,Divers extrême gauche,Goudenne,non
1547,032-02,11,HUSEINBASIC,Merima,Mme,ECO,Ecologistes,Huseinbasic,non
1548,032-02,12,DUBOS,Françoise,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Dubos,non
1549,032-02,13,TOUATI,Samira,Mme,DVG,Divers gauche,Touati,non
1550,032-02,14,TAUPIAC,David,M.,SOC,Parti socialiste,Taupiac,non
1551,033-01,1,DUFAURE,Esther,Mme,ECO,Ecologistes,Dufaure,non
1552,033-01,2,LOUSTAUNAU,Xavier,M.,DVD,Divers droite,Loustaunau,non
1553,033-01,3,LARROQUET,Isabelle,Mme,DXG,Divers extrême gauche,Larroquet,non
