epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre,tx_chomage,vote_fn
243400470,CA DU PAYS DE L OR,43170,37260,86.3,243400470.0,Le Pays de l'Or,22200.0,"3,3",34,"8,6","17,0",80.3,10.9,27.3
243400488,CC LA DOMITIENNE,23060,19460,84.4,243400488.0,La Domitienne,19660.0,"3,0",34,"11,9","23,1",77.8,11.6,38.2
243400520,CC DU PAYS DE LUNEL,41110,33920,82.5,243400520.0,Le Pays de Lunel,19320.0,"3,3",34,"16,1","28,0",75.3,11.9,31.1
243400694,CC VALLEE DE L HERAULT,31900,26170,82.0,243400694.0,Vallée de l'Hérault,20380.0,"3,0",34,"11,2","22,0",75.1,10.2,26.7
243400736,CC DES CEVENNES GANGEOISES ET SUMENOISES,10710,8510,79.5,243400736.0,Les Cévennes Gangeoises et Suménoises,18230.0,"3,2",34,"17,3","29,4",72.6,13.5,25.1
243400769,CA DE BEZIERS MEDITERRANEE,106170,85630,80.7,243400769.0,Béziers-Méditerranée,17450.0,"3,6",34,"25,1","37,2",73.3,13.5,33.5
243400819,CA HERAULT MEDITERRANEE,69910,57380,82.1,243400819.0,Hérault-Méditerranée,18650.0,"3,3",34,"17,0","29,4",74.6,15.1,33.3
243500139,RENNES METROPOLE,339510,304060,89.6,243500139.0,Rennes Métropole,22400.0,"3,4",35,"12,1","19,6",83.1,8.9,8.8
243500550,CC MONTFORT COMMUNAUTE,19590,18060,92.2,243500550.0,Montfort Communauté,21970.0,"2,3",35,"5,0","11,3",85.9,6.0,15.0
243500618,CC DE BROCELIANDE,13670,12160,89.0,243500618.0,Brocéliande,21420.0,"2,4",35,"5,1","12,4",82.4,6.1,17.3
243500634,CC ROCHE AUX FEES COMMUNAUTE,19550,17660,90.3,243500634.0,Roche aux Fées Communauté,20480.0,"2,4",35,"6,3","14,9",83.8,6.5,18.5
243500659,CC PAYS DE CHATEAUGIRON COMMUNAUTE,20700,19150,92.5,243500659.0,Pays de Châteaugiron Communauté,23680.0,"2,5",35,"5,0","7,5",87.2,4.9,11.6
243500667,CC DU VAL D ILLE AUBIGNE,27720,25340,91.4,243500667.0,Le Val d'Ille-Aubigné,22540.0,"2,5",35,"5,0","9,9",85.5,5.5,15.1
243500725,CC COTE D EMERAUDE,27720,25170,90.8,243500725.0,Côte d'Émeraude,22810.0,"3,2",35,"6,3","14,1",86.0,8.4,13.7
243500733,CC BRETAGNE ROMANTIQUE,26360,23630,89.6,243500733.0,Bretagne Romantique,20570.0,"2,5",35,"6,5","15,5",83.0,7.0,18.3
243500741,CA REDON AGGLOMERATION,52330,44890,85.8,243500741.0,Redon Agglomération,19580.0,"2,6",56,"9,4","20,5",77.2,8.8,19.6
243500774,CC LIFFRE CORMIER COMMUNAUTE,19540,18120,92.7,243500774.0,Liffré-Cormier Communauté,22240.0,"2,4",35,"5,0","10,0",86.3,5.3,15.6
243500782,CA DU PAYS DE SAINT MALO AGGLOMERATION,70880,63990,90.3,243500782.0,Le Pays de Saint Malo Agglomération,21230.0,"3,0",35,"8,2","16,9",85.0,8.4,15.9
243600202,CC CHABRIS PAYS DE BAZELLE,4800,4210,87.7,243600202.0,Chabris - Pays de Bazelle,19370.0,"2,6",36,"10,0","21,9",81.0,9.1,30.2
243600236,CC DU PAYS D ISSOUDUN,14760,13020,88.2,243600236.0,Le Pays d'Issoudun,20010.0,"2,8",36,"10,5","19,9",82.4,9.1,24.1
243600293,CC DE LA REGION DE LEVROUX,4750,4250,89.5,243600293.0,La Région de Levroux,19960.0,"2,5",36,"8,0","16,9",83.8,8.5,32.2
243600301,CC VAL DE L INDRE BRENNE,10170,9150,90.0,243600301.0,Val de l'Indre - Brenne,19770.0,"2,5",36,"8,6","18,6",84.4,8.8,31.1
243600319,CC BRENNE VAL DE CREUSE,12950,11370,87.8,243600319.0,Brenne - Val de Creuse,18970.0,"2,8",36,"12,1","23,2",82.6,8.6,24.5
243600327,CA CHATEAUROUX METROPOLE,58180,51110,87.8,243600327.0,Châteauroux Métropole,20240.0,"3,0",36,"14,4","24,1",80.4,10.5,21.2
243600343,CC COUR DE BRENNE,3660,3220,88.0,243600343.0,Cœur de Brenne,18550.0,"2,6",36,"9,1","20,8",81.7,7.6,28.0
243600350,CC DE LA CHATRE ET SAINTE SEVERE,12710,11080,87.2,243600350.0,La Châtre et Sainte-Sévère,19250.0,"2,8",36,"10,6","21,5",80.4,9.0,23.2
243700499,CC DU CASTELRENAUDAIS,11990,10640,88.7,243700499.0,Le Castelrenaudais,20480.0,"2,7",37,"7,8","16,7",81.4,9.5,26.8
243700754,TOURS METROPOLE VAL DE LOIRE,226750,200650,88.5,243700754.0,Tours Métropole Val de Loire,21040.0,"3,6",37,"14,4","23,4",82.7,10.8,13.9
243700820,CC DE BLERE VAL DE CHER,17120,15240,89.0,243700820.0,Bléré Val de Cher,22020.0,"2,6",37,"5,0","12,0",83.5,6.8,23.9
243800604,CA PORTE DE L ISERE (C.A.P.I),81750,68650,84.0,243800604.0,Porte de l'Isère (C.A.P.I),20970.0,"3,1",38,"13,1","23,9",76.5,10.3,25.4
243800745,CC DE L OISANS,8210,7210,87.8,243800745.0,L'Oisans,21550.0,"2,8",38,"6,9","15,2",80.1,5.3,20.9
243800935,CC LYON SAINT EXUPERY EN DAUPHINE,21140,18120,85.7,243800935.0,Lyon Saint Exupéry en Dauphiné,21780.0,"2,8",38,"8,4","17,2",79.1,7.8,33.9
243800984,CA DU PAYS VOIRONNAIS,76320,66360,86.9,243800984.0,Le Pays Voironnais,23150.0,"3,0",38,"7,0","14,5",81.5,7.6,19.8
243801024,CC DU MASSIF DU VERCORS,10010,8760,87.5,243801024.0,Le Massif du Vercors,23270.0,"3,0",38,"5,0","11,8",81.7,5.3,13.7
243801073,CC DE BIEVRE EST,17470,15040,86.1,243801073.0,Bièvre Est,22080.0,"2,6",38,"5,3","12,6",80.8,6.9,25.2
243801255,CC DES COLLINES DU NORD DAUPHINE,19590,17260,88.1,243801255.0,Les Collines du Nord Dauphiné,24600.0,"2,6",38,"5,0","8,2",81.8,6.1,31.0
243900354,CC DE LA STATION DES ROUSSES HAUT JURA,5660,4200,74.2,243900354.0,La Station des Rousses-Haut Jura,32620.0,"3,5",39,"5,0","6,4",64.3,6.9,16.8
243900420,CC DU VAL D AMOUR,6730,5780,85.9,243900420.0,Le Val d'Amour,20220.0,"2,7",39,"8,4","18,5",79.5,6.5,25.7
243900479,CC DU HAUT JURA ARCADE,6840,5270,77.0,243900479.0,Le Haut-Jura - ARCADE,23880.0,"3,6",39,"8,3","15,3",67.8,11.5,21.4
243900560,CC JURA NORD,8710,7400,85.0,243900560.0,Jura Nord,21120.0,"2,5",39,"6,1","15,0",78.4,6.4,30.2
243900610,CC LA GRANDVALLIERE,4280,3420,79.9,243900610.0,La Grandvallière,24050.0,"3,1",39,"5,3","12,4",72.4,7.5,22.0
243901089,CC DE LA PLAINE JURASSIENNE,7120,6110,85.8,243901089.0,La Plaine Jurassienne,20100.0,"2,5",39,"7,9","18,2",79.8,7.1,35.1
244000543,CC DE MIMIZAN,10920,9540,87.4,244000543.0,Mimizan,20410.0,"2,9",40,"9,3","19,0",82.7,11.8,17.8
244000659,CC DU SEIGNANX,23340,20510,87.9,244000659.0,Le Seignanx,21860.0,"2,7",40,"6,3","14,0",82.9,8.3,17.1
244000675,CA DU GRAND DAX,46120,39860,86.4,244000675.0,Le Grand Dax,20620.0,"3,0",40,"11,4","20,4",81.7,11.4,16.8
244000691,CC DU PAYS MORCENAIS,7440,6540,87.9,244000691.0,Le Pays Morcenais,19750.0,"2,6",40,"10,0","20,6",83.2,10.2,18.6
244000766,CC DU PAYS TARUSATE,14070,12280,87.3,244000766.0,Le Pays Tarusate,20370.0,"2,6",40,"7,5","17,3",82.9,8.6,20.3
244000774,CC DU PAYS DE VILLENEUVE EN ARMAGNAC LANDAIS,4730,4170,88.2,244000774.0,Le Pays de Villeneuve en Armagnac Landais,19900.0,"2,6",40,"8,7","19,2",82.2,9.0,22.0
244000808,CA MONT DE MARSAN AGGLOMERATION,41880,36590,87.4,244000808.0,Mont-de-Marsan Agglomération,21080.0,"2,9",40,"10,9","19,2",82.7,9.4,18.4
244000824,CC DU PAYS GRENADOIS,5810,5190,89.3,244000824.0,Le Pays Grenadois,20600.0,"2,5",40,"5,7","16,4",85.4,8.0,21.4
244000857,CC COTE LANDES NATURE,10470,9170,87.6,244000857.0,Côte Landes Nature,21140.0,"2,8",40,"7,5","15,6",82.5,11.0,16.0
244000865,CC MAREMNE ADOUR COTE SUD,59630,51110,85.7,244000865.0,Maremne Adour Côte Sud,21680.0,"3,0",40,"6,9","15,4",80.4,10.3,15.5
244000873,CC DES GRANDS LACS,25440,22060,86.7,244000873.0,Les Grands Lacs,21310.0,"2,8",40,"6,8","14,4",81.6,11.4,22.6
244000881,CC COTEAUX ET VALLEES DES LUYS,6030,5300,87.9,244000881.0,Coteaux et Vallées des Luys,20160.0,"2,8",40,"8,5","18,2",83.9,9.2,16.8
