dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime
92,521.0,1292.0,13.0,8.28,2021-06-10
47,54.0,190.0,1.0,2.5,2021-06-10
74,46.0,492.0,1.0,4.0,2021-06-10
63,38.0,363.0,2.0,8.33,2021-06-10
22,33.0,227.0,0.0,0.0,2021-06-10
65,21.0,88.0,1.0,8.33,2021-06-10
42,369.0,738.0,0.0,0.0,2021-06-10
29,294.0,472.0,2.0,1.38,2021-06-10
13,456.0,1622.0,16.0,8.42,2021-06-10
80,143.0,280.0,5.0,4.03,2021-06-10
39,124.0,183.0,3.0,20.0,2021-06-10
34,250.0,655.0,0.0,0.0,2021-06-10
24,38.0,148.0,0.0,0.0,2021-06-10
85,88.0,234.0,0.0,0.0,2021-06-10
62,390.0,938.0,1.0,0.44,2021-06-10
973,345.0,1010.0,1.0,0.32,2021-06-10
974,457.0,1404.0,0.0,0.0,2021-06-10
46,4.0,59.0,0.0,0.0,2021-06-10
75,587.0,1991.0,24.0,8.16,2021-06-10
50,108.0,263.0,0.0,0.0,2021-06-10
84,21.0,270.0,2.0,10.53,2021-06-10
71,139.0,314.0,2.0,2.33,2021-06-10
26,78.0,162.0,0.0,0.0,2021-06-10
35,294.0,573.0,0.0,0.0,2021-06-10
28,26.0,238.0,0.0,0.0,2021-06-10
09,12.0,50.0,0.0,0.0,2021-06-10
38,167.0,619.0,10.0,11.11,2021-06-10
972,17.0,90.0,0.0,0.0,2021-06-10
77,455.0,1095.0,11.0,5.56,2021-06-10
18,87.0,130.0,1.0,6.25,2021-06-10
52,44.0,83.0,0.0,0.0,2021-06-10
67,429.0,843.0,28.0,31.11,2021-06-10
33,177.0,947.0,6.0,5.26,2021-06-10
60,294.0,532.0,0.0,0.0,2021-06-10
27,188.0,419.0,6.0,3.92,2021-06-10
2A,12.0,45.0,0.0,0.0,2021-06-10
55,49.0,59.0,0.0,0.0,2021-06-11
68,272.0,476.0,4.0,44.44,2021-06-11
90,2.0,71.0,0.0,0.0,2021-06-11
35,298.0,542.0,0.0,0.0,2021-06-11
2A,13.0,41.0,0.0,0.0,2021-06-11
71,128.0,274.0,1.0,1.19,2021-06-11
58,35.0,59.0,1.0,4.17,2021-06-11
10,40.0,73.0,0.0,0.0,2021-06-11
13,410.0,1468.0,13.0,7.83,2021-06-11
39,119.0,179.0,3.0,20.0,2021-06-11
29,260.0,437.0,2.0,1.48,2021-06-11
51,136.0,240.0,0.0,0.0,2021-06-11
54,249.0,372.0,0.0,0.0,2021-06-11
52,40.0,65.0,0.0,0.0,2021-06-11
25,162.0,319.0,0.0,0.0,2021-06-11
67,429.0,763.0,30.0,27.03,2021-06-11
70,66.0,105.0,1.0,10.0,2021-06-11
08,91.0,158.0,0.0,0.0,2021-06-11
09,12.0,48.0,0.0,0.0,2021-06-11
2B,5.0,30.0,0.0,0.0,2021-06-11
