dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
58,2020-10-02,7,1,,,,115,28,207182,3.4,0.5
59,2020-10-02,317,75,,,,3047,719,2604361,12.2,2.9
60,2020-10-02,91,14,,,,1323,432,824503,11.0,1.7
61,2020-10-02,18,3,,,,275,46,283372,6.4,1.1
62,2020-10-02,125,22,,,,1629,346,1468018,8.5,1.5
63,2020-10-02,45,6,,,,256,57,653742,6.9,0.9
64,2020-10-02,52,6,,,,280,38,677309,7.7,0.9
65,2020-10-02,11,4,,,,175,27,228530,4.8,1.8
66,2020-10-02,22,2,,,,316,39,474452,4.6,0.4
67,2020-10-02,34,12,,,,2893,708,1125559,3.0,1.1
68,2020-10-02,42,5,,,,3238,843,764030,5.5,0.7
69,2020-10-02,359,71,,,,3861,734,1843319,19.5,3.9
70,2020-10-02,2,0,,,,311,77,236659,0.8,0.0
71,2020-10-02,45,7,,,,855,213,553595,8.1,1.3
72,2020-10-02,43,0,,,,492,95,566506,7.6,0.0
73,2020-10-02,24,5,,,,471,80,431174,5.6,1.2
74,2020-10-02,40,2,,,,990,176,807360,5.0,0.2
75,2020-10-02,429,106,,,,7286,1890,2187526,19.6,4.8
76,2020-10-02,142,21,,,,968,198,1254378,11.3,1.7
77,2020-10-02,140,32,,,,3128,737,1403997,10.0,2.3
78,2020-10-02,199,24,,,,2791,571,1438266,13.8,1.7
79,2020-10-02,7,0,,,,76,24,374351,1.9,0.0
80,2020-10-02,59,12,,,,788,240,572443,10.3,2.1
81,2020-10-02,43,8,,,,154,25,387890,11.1,2.1
82,2020-10-02,19,6,,,,65,8,258349,7.4,2.3
83,2020-10-02,52,13,,,,1189,161,1058740,4.9,1.2
84,2020-10-02,82,12,,,,390,63,559479,14.7,2.1
85,2020-10-02,20,4,,,,305,44,675247,3.0,0.6
86,2020-10-02,8,1,,,,172,42,436876,1.8,0.2
87,2020-10-02,27,2,,,,166,36,374426,7.2,0.5
88,2020-10-02,2,0,,,,769,268,367673,0.5,0.0
89,2020-10-02,13,2,,,,443,95,338291,3.8,0.6
90,2020-10-02,7,2,,,,579,201,142622,4.9,1.4
91,2020-10-02,186,35,,,,3092,653,1296130,14.4,2.7
92,2020-10-02,316,69,,,,5549,1149,1609306,19.6,4.3
93,2020-10-02,419,51,,,,4762,1072,1623111,25.8,3.1
