datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2020-09-24,15,33.6,2.57,22.9
2020-09-24,14,63.3,4.11,12.9
2020-09-25,07,31.5,2.95,23.3
2020-09-25,03,32.3,2.3,23.3
2020-09-25,01,81.3,5.9,23.3
2020-09-25,15,34.3,2.62,23.3
2020-09-25,13,206.0,6.42,36.5
2020-09-25,10,49.4,4.28,7.5
2020-09-25,11,65.5,4.19,20.9
2020-09-25,08,38.8,2.36,7.5
2020-09-25,12,80.5,4.07,20.9
2020-09-25,05,52.2,4.95,36.5
2020-09-25,02,45.2,4.04,19.6
2020-09-25,09,105.6,5.33,20.9
2020-09-25,14,67.4,4.47,12.9
2020-09-25,04,76.3,4.09,36.5
2020-09-25,06,89.6,4.83,36.5
2020-09-26,06,88.9,4.8,37.4
2020-09-26,03,29.9,2.33,22.5
2020-09-26,01,80.7,5.85,22.5
2020-09-26,15,38.5,2.88,22.5
2020-09-26,12,80.1,4.04,21.3
2020-09-26,04,77.5,4.12,37.4
2020-09-26,14,66.4,4.44,13.8
2020-09-26,02,47.0,4.38,21.9
2020-09-26,07,32.4,3.1,22.5
2020-09-26,11,65.7,4.26,21.3
2020-09-26,10,46.8,4.22,7.3
2020-09-26,09,105.0,5.34,21.3
2020-09-26,05,52.2,4.98,37.4
2020-09-26,08,35.8,2.22,7.3
2020-09-26,13,200.4,6.34,37.4
2020-09-27,13,199.3,6.36,37.0
2020-09-27,11,65.7,4.25,22.4
2020-09-27,12,80.5,4.07,22.4
2020-09-27,10,45.5,4.18,7.3
2020-09-27,04,76.3,4.09,37.0
2020-09-27,14,67.5,4.53,14.6
2020-09-27,09,104.3,5.31,22.4
2020-09-27,03,29.3,2.28,23.4
2020-09-27,02,48.3,4.49,22.1
2020-09-27,05,52.9,5.08,37.0
2020-09-27,15,38.5,2.87,23.4
2020-09-27,08,34.3,2.14,7.3
2020-09-27,07,33.0,3.15,23.4
2020-09-27,01,80.2,5.84,23.4
2020-09-27,06,89.3,4.83,37.0
2020-09-28,11,64.1,4.19,22.8
2020-09-28,09,99.1,5.43,22.8
2020-09-28,02,47.0,4.55,23.3
2020-09-28,04,72.6,4.09,37.0
2020-09-28,07,37.9,3.74,25.6
2020-09-28,14,69.3,4.62,15.4
2020-09-28,06,79.5,4.43,37.0
2020-09-28,01,75.2,5.7,25.6
2020-09-28,05,52.2,5.16,37.0
2020-09-28,13,187.2,6.16,37.0
2020-09-28,10,47.8,4.48,7.7
2020-09-28,12,75.1,3.87,22.8
2020-09-28,03,27.8,2.25,25.6
2020-09-28,15,39.2,2.75,25.6
2020-09-28,08,30.5,1.96,7.7
2020-09-29,07,39.2,3.98,25.2
2020-09-29,12,72.2,3.91,25.5
2020-09-29,03,26.9,2.22,25.2
2020-09-29,14,71.9,4.75,17.1
2020-09-29,04,68.4,3.89,36.7
2020-09-29,15,42.0,2.87,25.2
2020-09-29,06,79.5,4.24,36.7
2020-09-29,08,30.1,2.02,7.5
2020-09-29,09,92.5,5.53,25.5
2020-09-29,10,49.7,4.69,7.5
2020-09-29,11,65.5,4.29,25.5
2020-09-29,13,186.0,6.2,36.7
2020-09-29,02,46.6,4.71,24.7
2020-09-29,05,40.2,4.21,36.7
2020-09-29,01,75.5,6.02,25.2
2020-09-30,04,59.9,3.4,37.2
2020-09-30,10,49.7,4.89,8.2
2020-09-30,05,36.7,4.01,37.2
2020-09-30,14,73.9,4.81,17.9
2020-09-30,03,28.4,2.37,26.3
2020-09-30,09,93.8,5.83,27.4
2020-09-30,06,76.0,4.04,37.2
2020-09-30,11,69.5,4.38,27.4
2020-09-30,02,46.2,4.98,24.9
2020-09-30,13,184.9,6.25,37.2
2020-09-30,07,47.7,4.79,26.3
2020-09-30,08,31.3,2.19,8.2
2020-09-30,12,69.0,3.72,27.4
2020-09-30,01,74.6,6.09,26.3
2020-09-30,15,40.6,2.83,26.3
2020-10-01,01,77.8,6.47,25.6
2020-10-01,06,76.2,4.15,35.2
2020-10-01,08,30.9,2.12,9.5
2020-10-01,02,49.6,5.38,28.1
2020-10-01,09,93.2,6.28,26.6
2020-10-01,15,46.9,3.5,25.6
2020-10-01,04,55.7,3.16,35.2
2020-10-01,12,71.5,4.01,26.6
2020-10-01,05,40.2,4.1,35.2
2020-10-01,03,29.3,2.52,25.6
2020-10-01,07,50.8,5.14,25.6
2020-10-01,13,185.4,6.35,35.2
2020-10-01,10,50.0,4.91,9.5
2020-10-01,11,75.9,4.81,26.6
2020-10-01,14,78.5,4.95,17.5
2020-10-02,11,73.2,4.44,26.8
2020-10-02,08,39.9,2.77,9.9
2020-10-02,15,48.3,3.58,26.7
2020-10-02,06,75.7,4.39,35.2
2020-10-02,09,101.0,6.45,26.8
2020-10-02,03,35.6,3.03,26.7
2020-10-02,02,53.0,5.71,29.0
2020-10-02,12,68.3,4.05,26.8
2020-10-02,05,75.5,7.09,35.2
2020-10-02,01,84.8,7.03,26.7
2020-10-02,10,59.0,5.49,9.9
2020-10-02,04,56.3,3.4,35.2
2020-10-02,13,193.9,6.72,35.2
2020-10-02,07,58.4,5.67,26.7
2020-10-02,14,85.6,5.29,20.0
2020-10-03,15,58.1,4.29,27.2
2020-10-03,04,54.5,3.45,36.3
2020-10-03,05,76.2,7.28,36.3
2020-10-03,14,92.1,5.62,19.6
2020-10-03,12,74.0,4.21,27.8
2020-10-03,03,37.7,3.18,27.2
2020-10-03,09,97.1,6.25,27.8
2020-10-03,07,59.4,5.61,27.2
2020-10-03,11,73.8,4.35,27.8
2020-10-03,13,195.4,6.8,36.3
2020-10-03,06,76.5,4.45,36.3
2020-10-03,08,45.6,3.12,9.5
2020-10-03,01,90.3,7.39,27.2
2020-10-03,10,60.7,5.63,9.5
2020-10-03,02,51.9,5.47,29.5
2020-10-04,07,59.4,5.62,28.4
2020-10-04,05,89.6,7.57,37.6
2020-10-04,09,97.1,6.23,28.5
2020-10-04,03,37.4,3.17,28.4
2020-10-04,08,46.0,3.14,9.5
2020-10-04,04,56.3,3.57,37.6
2020-10-04,02,51.1,5.38,29.9
2020-10-04,14,93.0,5.59,22.1
2020-10-04,13,195.6,6.81,37.6
2020-10-04,11,73.5,4.31,28.5
2020-10-04,15,62.3,4.56,28.4
2020-10-04,10,63.6,5.79,9.5
2020-10-04,01,91.5,7.49,28.4
2020-10-04,06,76.8,4.46,37.6
2020-10-04,12,74.0,4.21,28.5
2020-10-05,01,108.5,8.53,30.1
2020-10-05,05,97.4,8.02,40.0
2020-10-05,12,87.7,5.05,28.9
2020-10-05,04,59.3,3.85,40.0
2020-10-05,10,76.5,6.41,9.7
2020-10-05,06,86.0,5.15,40.0
2020-10-05,14,107.3,6.26,22.5
2020-10-05,08,58.8,4.03,9.7
2020-10-05,11,77.5,4.5,28.9
2020-10-05,15,83.3,5.99,30.1
2020-10-05,13,208.5,7.35,40.0
2020-10-05,02,58.4,5.88,31.1
2020-10-05,03,42.3,3.54,30.1
2020-10-05,07,71.0,6.27,30.1
2020-10-05,09,124.7,7.37,28.9
2020-10-06,07,86.6,7.14,30.4
2020-10-06,08,67.0,4.58,9.5
2020-10-06,10,83.2,6.82,9.5
2020-10-06,09,133.9,7.44,28.7
2020-10-06,01,121.5,9.21,30.4
2020-10-06,11,89.9,5.09,28.7
2020-10-06,06,91.2,5.67,38.9
2020-10-06,13,217.6,7.64,38.9
2020-10-06,04,63.0,4.35,38.9
2020-10-06,02,70.0,6.57,31.5
2020-10-06,05,117.1,9.15,38.9
2020-10-06,12,99.2,5.44,28.7
2020-10-06,14,112.4,6.39,21.2
2020-10-06,03,47.4,3.8,30.4
2020-10-06,15,84.7,6.27,30.4
2020-10-07,15,95.2,6.44,31.1
2020-10-07,14,123.9,6.9,22.9
2020-10-07,04,73.8,5.58,39.1
2020-10-07,11,93.6,5.35,27.4
2020-10-07,06,96.4,6.3,39.1
2020-10-07,10,99.7,7.61,9.5
2020-10-07,12,117.5,6.18,27.4
2020-10-07,01,141.7,10.3,31.1
2020-10-07,08,78.3,5.21,9.5
2020-10-07,13,222.8,7.83,39.1
2020-10-07,07,102.2,8.01,31.1
2020-10-07,02,78.5,7.06,29.9
2020-10-07,05,134.7,9.65,39.1
2020-10-07,03,55.5,4.19,31.1
2020-10-07,09,141.1,8.15,27.4
2020-10-08,02,86.5,7.31,29.5
2020-10-08,13,227.2,7.81,40.7
2020-10-08,08,92.3,5.61,8.4
2020-10-08,15,111.3,6.98,31.8
2020-10-08,12,134.4,6.8,28.7
2020-10-08,14,137.0,7.34,25.8
2020-10-08,01,165.0,11.4,31.8
2020-10-08,03,65.2,4.64,31.8
2020-10-08,09,157.5,8.77,28.7
2020-10-08,05,146.0,10.0,40.7
2020-10-08,04,78.1,6.22,40.7
2020-10-08,07,131.8,9.58,31.8
2020-10-08,10,115.5,8.24,8.4
2020-10-08,11,94.7,5.38,28.7
2020-10-08,06,106.4,6.86,40.7
2020-10-09,07,153.0,10.35,32.6
2020-10-09,05,144.6,9.2,40.9
2020-10-09,09,171.9,9.65,31.4
2020-10-09,15,126.7,6.77,32.6
2020-10-09,12,185.4,8.83,31.4
2020-10-09,03,74.0,4.74,32.6
2020-10-09,08,106.2,6.11,8.8
2020-10-09,13,233.8,7.76,40.9
2020-10-09,01,189.8,12.34,32.6
2020-10-09,11,100.1,5.66,31.4
2020-10-09,04,88.4,7.17,40.9
2020-10-09,10,129.1,8.54,8.8
2020-10-09,02,95.2,7.79,30.8
2020-10-09,06,113.7,6.92,40.9
2020-10-09,14,143.8,7.41,22.1
2020-10-10,10,139.4,8.96,8.6
2020-10-10,11,103.8,5.78,31.6
2020-10-10,06,116.6,7.05,40.4
2020-10-10,07,172.8,11.21,33.5
2020-10-10,02,103.0,8.06,31.7
2020-10-10,01,196.2,12.44,33.5
2020-10-10,08,107.7,6.19,8.6
2020-10-10,13,237.3,7.77,40.4
2020-10-10,12,185.0,8.58,31.6
2020-10-10,05,154.5,9.3,40.4
2020-10-10,09,179.1,9.9,31.6
2020-10-10,04,95.0,7.55,40.4
2020-10-10,15,128.8,6.69,33.5
2020-10-10,14,145.1,7.42,23.3
2020-10-10,03,82.4,5.15,33.5
2020-10-11,08,110.3,6.29,9.7
2020-10-11,05,155.9,9.45,40.7
2020-10-11,13,238.0,7.79,40.7
2020-10-11,09,188.3,10.35,30.8
2020-10-11,07,179.3,11.49,35.4
2020-10-11,12,185.0,8.57,30.8
2020-10-11,02,103.2,8.11,31.7
2020-10-11,04,96.8,7.73,40.7
2020-10-11,14,149.8,7.56,24.6
2020-10-11,03,83.0,5.18,35.4
2020-10-11,01,196.7,12.42,35.4
2020-10-11,10,139.1,8.93,9.7
2020-10-11,06,117.2,7.1,40.7
2020-10-11,11,104.1,5.81,30.8
2020-10-11,15,126.0,6.53,35.4
2020-10-12,04,107.1,8.21,42.4
2020-10-12,06,129.6,7.54,42.4
2020-10-12,14,157.2,7.74,25.4
2020-10-12,02,113.7,8.48,33.6
2020-10-12,15,131.6,6.64,36.3
2020-10-12,10,142.0,8.47,10.8
2020-10-12,07,212.3,12.1,36.3
2020-10-12,11,117.8,6.49,32.1
2020-10-12,03,95.7,5.35,36.3
2020-10-12,01,237.5,13.65,36.3
2020-10-12,13,247.6,7.94,42.4
2020-10-12,05,189.1,10.42,42.4
2020-10-12,08,126.5,6.42,10.8
2020-10-12,09,217.8,11.85,32.1
2020-10-12,12,232.4,9.4,32.1
2020-10-13,14,172.4,8.21,27.5
2020-10-13,11,118.6,6.41,33.5
2020-10-13,01,264.1,13.81,40.1
2020-10-13,12,246.4,9.81,33.5
2020-10-13,04,124.1,8.62,43.7
2020-10-13,13,261.0,8.16,43.7
2020-10-13,08,137.5,6.68,11.6
2020-10-13,07,247.8,12.79,40.1
2020-10-13,05,200.3,10.62,43.7
2020-10-13,02,126.6,8.86,34.5
2020-10-13,09,253.9,13.67,33.5
2020-10-13,15,133.7,6.49,40.1
2020-10-13,06,138.0,7.7,43.7
2020-10-13,10,150.7,8.45,11.6
2020-10-13,03,115.9,6.25,40.1
2020-10-14,04,140.4,8.61,42.6
2020-10-14,01,290.4,13.95,42.4
2020-10-14,03,120.1,6.52,42.4
2020-10-14,06,149.5,7.76,42.6
2020-10-14,14,183.0,8.27,26.2
2020-10-14,10,156.8,8.32,12.7
2020-10-14,13,274.1,8.26,42.6
2020-10-14,05,223.6,11.49,42.6
2020-10-14,11,127.2,6.34,34.6
2020-10-14,15,128.1,6.22,42.4
2020-10-14,09,274.3,12.63,34.6
2020-10-14,12,268.4,10.16,34.6
2020-10-14,02,135.4,8.97,35.2
2020-10-14,07,271.0,12.96,42.4
2020-10-14,08,149.5,6.81,12.7
2020-10-15,09,280.2,11.27,33.3
2020-10-15,06,154.4,7.65,44.3
