dep,datetime,tx_incidence,tx_positivite,td
93,2021-09-06,140.51,10.18,1380.32
94,2021-09-06,149.74,9.58,1562.4
95,2021-09-06,163.67,11.28,1450.61
971,2021-09-06,232.85,18.79,1238.96
972,2021-09-06,200.56,15.83,1266.69
973,2021-09-06,178.44,25.0,713.77
974,2021-09-06,247.53,3.1,7997.2
976,2021-09-06,17.3,9.46,182.89
01,2021-09-07,130.99,8.24,1589.66
02,2021-09-07,40.28,6.22,647.28
03,2021-09-07,94.37,10.46,902.44
04,2021-09-07,209.25,8.8,2378.85
05,2021-09-07,182.26,13.64,1336.57
06,2021-09-07,243.26,10.41,2337.02
07,2021-09-07,157.34,8.87,1774.09
08,2021-09-07,148.18,7.52,1971.4
09,2021-09-07,189.9,9.8,1936.95
10,2021-09-07,119.08,6.8,1750.03
11,2021-09-07,149.25,7.85,1901.78
12,2021-09-07,209.07,13.51,1547.15
13,2021-09-07,451.96,11.88,3804.99
14,2021-09-07,61.53,7.2,854.07
15,2021-09-07,102.88,6.67,1543.21
16,2021-09-07,102.42,9.09,1126.62
17,2021-09-07,74.55,6.96,1070.59
18,2021-09-07,185.74,15.79,1176.32
19,2021-09-07,32.53,2.74,1187.28
21,2021-09-07,149.03,11.25,1324.35
22,2021-09-07,160.97,8.49,1896.57
23,2021-09-07,93.02,16.67,558.14
24,2021-09-07,157.83,13.96,1130.23
25,2021-09-07,182.9,10.44,1752.26
26,2021-09-07,155.88,10.43,1494.59
27,2021-09-07,110.26,11.0,1002.11
28,2021-09-07,109.76,9.87,1111.78
29,2021-09-07,61.0,6.86,889.45
2A,2021-09-07,197.31,10.83,1822.19
2B,2021-09-07,122.99,8.11,1516.86
30,2021-09-07,314.53,13.23,2377.21
31,2021-09-07,152.02,7.43,2046.29
32,2021-09-07,80.23,7.69,1043.02
33,2021-09-07,137.12,11.66,1175.9
34,2021-09-07,243.42,10.83,2246.88
35,2021-09-07,154.47,8.23,1877.99
36,2021-09-07,118.81,11.02,1078.41
37,2021-09-07,58.32,6.07,960.87
38,2021-09-07,156.62,10.77,1454.5
39,2021-09-07,114.62,7.8,1469.89
40,2021-09-07,93.02,7.27,1280.12
41,2021-09-07,72.64,7.78,933.9
42,2021-09-07,186.63,11.95,1562.27
43,2021-09-07,204.56,15.48,1321.79
44,2021-09-07,127.53,9.15,1394.31
45,2021-09-07,157.5,10.27,1532.86
46,2021-09-07,182.3,11.81,1543.51
47,2021-09-07,162.58,10.56,1539.05
48,2021-09-07,50.34,11.11,453.06
49,2021-09-07,101.97,9.36,1088.96
50,2021-09-07,102.25,8.64,1183.13
51,2021-09-07,119.76,11.29,1060.35
52,2021-09-07,177.07,10.06,1759.63
53,2021-09-07,60.86,11.11,547.7
54,2021-09-07,149.7,10.37,1443.21
55,2021-09-07,103.74,8.21,1263.79
56,2021-09-07,146.08,9.35,1562.83
57,2021-09-07,233.57,8.8,2653.34
58,2021-09-07,61.95,9.38,660.82
59,2021-09-07,154.66,4.5,3437.29
60,2021-09-07,120.17,9.78,1228.22
61,2021-09-07,140.72,8.66,1624.66
62,2021-09-07,88.15,2.88,3064.37
63,2021-09-07,106.76,9.7,1100.5
64,2021-09-07,170.32,10.05,1695.1
65,2021-09-07,250.34,14.58,1716.58
66,2021-09-07,190.5,9.26,2058.12
67,2021-09-07,201.12,8.77,2293.35
68,2021-09-07,257.1,9.36,2747.46
69,2021-09-07,207.61,12.87,1612.98
70,2021-09-07,213.49,11.74,1818.32
71,2021-09-07,90.82,9.12,995.78
72,2021-09-07,165.2,9.54,1731.8
73,2021-09-07,126.01,10.39,1212.88
74,2021-09-07,198.97,11.57,1719.51
75,2021-09-07,129.07,5.03,2565.31
76,2021-09-07,96.41,6.87,1403.73
77,2021-09-07,119.07,9.43,1263.29
78,2021-09-07,130.67,9.22,1416.58
79,2021-09-07,163.64,10.98,1490.43
80,2021-09-07,34.64,3.19,1085.42
81,2021-09-07,125.53,9.93,1264.23
82,2021-09-07,94.15,6.99,1347.46
83,2021-09-07,228.09,10.37,2199.68
84,2021-09-07,264.21,12.87,2052.73
85,2021-09-07,109.52,9.43,1160.95
86,2021-09-07,159.51,12.78,1248.16
87,2021-09-07,61.3,8.57,715.12
88,2021-09-07,86.95,6.67,1304.28
89,2021-09-07,107.66,8.61,1250.9
90,2021-09-07,261.1,9.05,2883.93
91,2021-09-07,164.7,10.45,1575.45
92,2021-09-07,173.09,9.03,1917.08
93,2021-09-07,128.53,9.34,1376.33
94,2021-09-07,149.74,9.17,1632.86
95,2021-09-07,158.33,9.63,1644.24
971,2021-09-07,224.07,20.48,1093.98
972,2021-09-07,205.84,16.6,1240.3
973,2021-09-07,171.83,25.0,687.33
974,2021-09-07,203.94,2.64,7729.43
