,1,10,2,3,4,5,6,7,8,9,abstentions,code_insee,exprimes,inscrits,ville,votants,popTotale,taux65Plus,TauxOuvriers,TauxAgricuteurs,TauxCadres,TauxRetraites,TauxChomage
174,7,347,85,144,36,7,6,1,27,6,1137,973312,666,1844,Sinnamary,707,3011.0,7.5,13.1,2.4,2.8,9.2,33.9
175,21,144,68,121,54,4,2,1,25,11,577,973313,451,1040,Montsinéry-Tonnegrande,463,2480.0,7.8,12.2,5.0,5.9,7.6,21.5
176,0,11,2,2,0,1,0,0,2,0,41,973314,18,59,Ouanary,18,135.0,3.0,22.8,0.0,0.0,6.7,24.1
177,4,18,7,7,3,1,0,0,2,0,83,973352,42,128,Saül,45,150.0,7.3,7.2,0.0,3.6,10.7,38.6
178,11,237,15,114,22,3,1,5,20,7,1044,973353,435,1500,Maripasoula,456,10477.0,1.6,2.5,0.2,0.6,0.6,74.1
179,11,102,21,248,8,2,2,5,10,7,371,973356,416,790,Camopi,419,1707.0,1.5,10.3,0.0,1.8,0.5,28.4
180,4,64,5,53,7,0,1,0,3,2,443,973357,139,584,Grand-Santi,141,6343.0,2.2,3.1,0.0,1.1,0.0,61.4
181,0,7,2,0,0,0,0,0,0,0,28,973358,9,38,Saint-Elie,10,150.0,2.0,44.4,0.0,2.8,0.0,0.7
182,9,201,7,91,15,7,0,1,7,0,766,973360,338,1108,Apatou,342,7649.0,2.7,1.1,0.1,0.5,0.5,85.1
183,5,129,14,66,20,1,0,0,9,1,281,973361,245,528,Awala-Yalimapo,247,1350.0,5.0,12.4,0.5,0.9,1.9,73.5
184,1,31,0,128,6,0,0,1,6,2,785,973362,175,963,Papaichton,178,6335.0,1.6,2.5,0.0,0.6,1.4,40.3
185,143,2707,534,961,455,59,21,12,571,58,2103,974401,5521,7804,Les Avirons,5701,11203.0,9.9,12.9,1.3,6.7,13.1,29.3
186,74,2976,544,971,357,42,38,9,351,55,3220,974402,5417,8840,Bras-Panon,5620,12616.0,8.0,16.5,1.7,4.3,10.2,34.6
187,80,1778,380,475,252,38,18,9,387,50,1428,974403,3467,5014,Entre-Deux,3586,6519.0,12.8,15.2,1.1,3.1,15.4,32.4
188,212,3580,784,1601,679,64,35,17,566,98,2515,974404,7636,10505,L'Etang-Salé,7990,13581.0,10.0,14.3,1.2,9.1,12.3,27.0
189,125,3404,722,1054,453,50,47,19,392,57,3003,974405,6323,9568,Petite-Ile,6565,11633.0,12.9,13.6,3.2,2.7,15.7,33.5
190,48,1169,350,549,171,23,14,5,159,30,1253,974406,2518,3877,La Plaine-des-Palmistes,2624,5741.0,10.3,15.6,1.7,1.6,13.0,33.0
191,248,9066,1249,1705,1321,149,108,47,571,137,8182,974407,14601,23512,Le Port,15330,35881.0,8.9,19.2,0.1,1.0,9.9,48.5
192,306,6717,1252,2193,1140,123,72,43,826,154,5862,974408,12826,19146,La Possession,13284,31439.0,7.1,13.6,0.4,8.4,9.4,25.0
193,299,10229,2278,3038,1258,162,112,42,1016,150,12918,974409,18584,32261,Saint-André,19343,56156.0,7.5,14.1,0.7,2.7,8.6,38.8
194,204,9459,1580,2144,856,123,147,50,618,117,9683,974410,15298,25568,Saint-Benoît,15885,36131.0,8.7,14.7,1.7,2.6,10.4,39.9
195,1307,28901,6160,12625,3698,461,327,188,4833,581,31891,974411,59081,92985,Saint-Denis,61094,142442.0,10.4,11.3,0.2,7.4,12.2,29.2
196,315,13180,2140,2536,1009,154,95,54,711,152,6319,974412,20346,27381,Saint-Joseph,21062,37550.0,11.0,15.7,1.9,2.3,14.1,44.1
197,413,7631,1155,2053,1165,133,71,40,2316,127,7297,974413,15104,22993,Saint-Leu,15696,33154.0,9.2,16.9,1.2,4.9,11.3,39.4
198,306,11794,2931,3291,1226,152,95,49,1083,205,15805,974414,21132,37895,Saint-Louis,22090,52656.0,9.4,16.4,0.7,2.1,11.0,45.4
199,1291,23023,3684,8516,3309,420,266,143,3841,497,25970,974415,44990,73179,Saint-Paul,47209,104332.0,9.4,14.8,0.7,6.0,10.8,34.2
200,904,18144,3310,8325,2574,358,230,145,1978,347,19815,974416,36315,57859,Saint-Pierre,38044,81415.0,9.5,13.8,1.0,4.7,11.1,37.5
201,26,1736,313,382,113,17,11,5,80,18,1659,974417,2701,4479,Saint-Philippe,2820,5088.0,11.0,17.5,2.9,2.0,13.6,42.5
202,266,6947,1492,2520,762,123,75,30,791,117,7723,974418,13123,21311,Sainte-Marie,13588,32605.0,8.0,14.5,0.6,5.8,9.4,29.4
203,42,2163,341,469,192,28,26,6,129,32,2302,974419,3428,5845,Sainte-Rose,3543,6782.0,10.7,18.2,2.1,0.8,13.2,44.0
204,168,5466,1031,1295,688,73,64,28,517,75,6575,974420,9405,16302,Sainte-Suzanne,9727,22209.0,7.5,15.0,1.0,3.6,9.1,35.5
205,46,2210,335,575,128,23,44,13,140,29,1991,974421,3543,5653,Salazie,3662,7226.0,10.4,21.1,4.4,1.2,12.3,43.6
206,809,18395,4487,7087,2329,355,233,105,2542,486,17188,974422,36828,55976,Le Tampon,38788,76090.0,10.0,13.8,1.9,3.4,12.6,37.2
207,55,1850,276,520,196,24,26,3,287,37,2179,974423,3274,5594,Les Trois-Bassins,3415,7268.0,10.2,20.3,1.8,1.9,11.0,38.6
208,50,1484,221,492,172,16,15,4,148,22,2140,974424,2624,4862,Cilaos,2722,5386.0,11.6,21.5,0.6,0.8,11.8,46.6
226,41495,345635,61503,319482,110101,6644,2719,2272,92664,9959,248755,75056,992474,1253322,Paris,1004567,2229621.0,15.3,4.7,0.0,28.3,15.7,11.9
227,364,2546,491,3278,660,39,10,22,853,76,2068,75056AR01,8339,10490,Paris 1er arrondissement,8422,17022.0,17.0,2.8,0.0,34.7,15.9,9.7
228,509,3595,444,3015,993,38,17,27,995,70,2551,75056AR02,9703,12364,Paris 2eme arrondissement,9813,21741.0,9.9,5.4,0.0,37.9,10.2,11.1
229,947,6748,708,4793,1710,89,35,29,1641,125,4084,75056AR03,16825,21101,Paris 3eme arrondissement,17017,35666.0,12.7,3.5,0.0,36.9,12.7,11.0
230,675,4887,800,4511,1350,81,41,31,1341,162,3347,75056AR04,13879,17384,Paris 4eme arrondissement,14037,27335.0,16.8,2.6,0.0,32.4,15.9,10.5
231,1403,10357,1561,9164,3001,177,83,73,3123,295,6493,75056AR05,29237,36051,Paris 5eme arrondissement,29558,60273.0,17.7,2.3,0.0,32.2,17.0,10.1
232,746,5831,985,9358,1249,90,33,47,2420,196,4718,75056AR06,20955,25916,Paris 6eme arrondissement,21198,43479.0,21.5,2.0,0.1,29.5,19.2,9.2
233,579,4623,1338,14644,875,81,19,49,2729,233,5680,75056AR07,25170,31093,Paris 7eme arrondissement,25413,56325.0,20.3,2.5,0.1,30.9,17.5,9.5
234,449,3307,1106,10975,772,73,15,49,1905,179,4596,75056AR08,18830,23630,Paris 8eme arrondissement,19034,39175.0,15.4,3.0,0.1,31.5,13.8,8.7
235,1347,10048,1396,9496,2667,149,65,52,3101,262,6903,75056AR09,28583,35826,Paris 9eme arrondissement,28923,59427.0,12.3,3.6,0.0,36.4,12.4,10.1
236,2324,16892,2099,8234,5901,304,126,80,3353,319,9744,75056AR10,39632,49812,Paris 10eme arrondissement,40068,92494.0,10.5,5.9,0.0,32.1,11.1,12.4
