CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeDepartement,code_dep_min,code_dep,votes,entete,id_circo,elu_T1
02,62032,30329,31703,1912,1183,28608,009,09,09,"[{""NomPsn"":""PANIFOUS"",""PrenomPsn"":""Laurent"",""CivilitePsn"":""M."",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""5"",""NbVoix"":16225,""score"":56.7},{""NomPsn"":""LARIVE"",""PrenomPsn"":""Michel"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""7"",""NbVoix"":12383,""score"":43.3}]",DVG,09002,0
02,92652,48947,43705,3102,1160,39443,011,11,11,"[{""NomPsn"":""FALCON"",""PrenomPsn"":""Fr\u00e9d\u00e9ric"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""2"",""NbVoix"":20719,""score"":52.5},{""NomPsn"":""PEREA"",""PrenomPsn"":""Alain"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""12"",""NbVoix"":18724,""score"":47.5}]",RN,11002,0
01,78139,38450,39689,2323,1116,36250,012,12,12,"[{""NomPsn"":""MAZARS"",""PrenomPsn"":""St\u00e9phane"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""3"",""NbVoix"":23137,""score"":63.8},{""NomPsn"":""THEBAULT"",""PrenomPsn"":""L\u00e9on"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""8"",""NbVoix"":13113,""score"":36.2}]",ENS,12001,0
02,69154,31447,37707,2290,1390,34027,012,12,12,"[{""NomPsn"":""ALEXANDRE"",""PrenomPsn"":""Laurent"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""2"",""NbVoix"":17352,""score"":51.0},{""NomPsn"":""DEGUARA"",""PrenomPsn"":""Samuel"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""1"",""NbVoix"":16675,""score"":49.0}]",NUP,12002,0
03,72518,33137,39381,2727,1585,35069,012,12,12,"[{""NomPsn"":""ROUSSET"",""PrenomPsn"":""Jean-Fran\u00e7ois"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":18835,""score"":53.7},{""NomPsn"":""RHIN"",""PrenomPsn"":""Michel"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""4"",""NbVoix"":16234,""score"":46.3}]",ENS,12003,0
08,102850,56801,46049,2364,758,42927,013,13,13,"[{""NomPsn"":""ZULESI"",""PrenomPsn"":""Jean-Marc"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""8"",""NbVoix"":22823,""score"":53.2},{""NomPsn"":""TONUSSI"",""PrenomPsn"":""Romain"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""9"",""NbVoix"":20104,""score"":46.8}]",ENS,13008,0
13,94398,52724,41674,2261,760,38653,013,13,13,"[{""NomPsn"":""DHARR\u00c9VILLE"",""PrenomPsn"":""Pierre"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""2"",""NbVoix"":20105,""score"":52.0},{""NomPsn"":""FOUQUART"",""PrenomPsn"":""Emmanuel"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""5"",""NbVoix"":18548,""score"":48.0}]",NUP,13013,0
15,109281,57379,51902,3079,1208,47615,013,13,13,"[{""NomPsn"":""BAUBRY"",""PrenomPsn"":""Romain"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""11"",""NbVoix"":25640,""score"":53.8},{""NomPsn"":""ANZALONE"",""PrenomPsn"":""Marie-Laurence"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""6"",""NbVoix"":21975,""score"":46.2}]",RN,13015,0
02,68628,35094,33534,1190,665,31679,014,14,14,"[{""NomPsn"":""DELAPORTE"",""PrenomPsn"":""Arthur"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""10"",""NbVoix"":18963,""score"":59.9},{""NomPsn"":""DUMONT PRIEUX"",""PrenomPsn"":""Sylvie"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""7"",""NbVoix"":12716,""score"":40.1}]",NUP,14002,0
03,79782,41796,37986,2450,871,34665,014,14,14,"[{""NomPsn"":""PATRIER-LEITUS"",""PrenomPsn"":""J\u00e9r\u00e9mie"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""3"",""NbVoix"":18545,""score"":53.5},{""NomPsn"":""VILMET"",""PrenomPsn"":""Martine"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""6"",""NbVoix"":16120,""score"":46.5}]",ENS,14003,0
