ville,inscrits,score,revenu_median,circle,color
Le Sourd,120.0,18.0,19580.0,5.5,grey
Taillefontaine,209.0,22.6,21150.0,7.2,grey
Tartiers,140.0,21.6,18830.0,5.9,grey
Tavaux-et-Pontséricourt,428.0,19.5,19360.0,10.3,grey
Tergnier,9905.0,17.5,17640.0,49.8,grey
Terny-Sorny,247.0,16.5,23640.0,7.9,grey
Thenailles,199.0,21.6,20100.0,7.1,grey
Thenelles,387.0,21.0,17290.0,9.8,grey
Thiernu,83.0,8.3,15910.0,4.6,grey
Le Thuel,126.0,23.6,20110.0,5.6,grey
Toulis-et-Attencourt,84.0,17.6,19400.0,4.6,grey
Travecy,521.0,18.5,20100.0,11.4,grey
Trélou-sur-Marne,726.0,26.9,22810.0,13.5,grey
Troësnes,163.0,19.2,22800.0,6.4,grey
Trosly-Loire,414.0,14.8,19040.0,10.2,grey
Trucy,116.0,18.3,21060.0,5.4,grey
Tugny-et-Pont,233.0,14.6,18870.0,7.6,grey
Tupigny,254.0,16.8,17110.0,8.0,grey
Ugny-le-Gay,142.0,22.5,22180.0,6.0,grey
Urcel,430.0,24.4,20740.0,10.4,grey
Urvillers,519.0,30.5,23100.0,11.4,grey
Vadencourt,370.0,15.9,16890.0,9.6,grey
Vailly-sur-Aisne,1445.0,23.5,19510.0,19.0,grey
La Vallée-au-Blé,230.0,21.5,17940.0,7.6,grey
La Vallée-Mulâtre,132.0,9.3,17680.0,5.7,grey
Variscourt,143.0,28.1,23780.0,6.0,grey
Vassens,110.0,16.2,18460.0,5.2,grey
Vasseny,149.0,21.5,20740.0,6.1,grey
Vaucelles-et-Beffecourt,201.0,35.1,24260.0,7.1,grey
Vaudesson,180.0,17.7,19460.0,6.7,grey
Vauxrezis,275.0,24.4,24110.0,8.3,grey
Vauxaillon,398.0,21.0,20880.0,10.0,grey
Vaux-Andigny,655.0,14.0,19060.0,12.8,grey
Vauxbuin,671.0,26.6,23710.0,13.0,grey
Vaux-en-Vermandois,109.0,20.0,23440.0,5.2,grey
Vendelles,89.0,18.4,21790.0,4.7,grey
Vendeuil,686.0,26.0,22220.0,13.1,grey
Vendhuile,457.0,22.7,19470.0,10.7,grey
Vendières,141.0,25.2,24510.0,5.9,grey
Vénérolles,154.0,14.7,15620.0,6.2,grey
Venizel,901.0,22.1,19680.0,15.0,grey
Verdilly,359.0,17.2,22480.0,9.5,grey
Le Verguier,157.0,11.2,19850.0,6.3,grey
Grand-Verly,112.0,19.4,16250.0,5.3,grey
Petit-Verly,129.0,17.3,18580.0,5.7,grey
Vermand,870.0,24.5,21800.0,14.7,grey
Verneuil-sous-Coucy,112.0,23.5,24590.0,5.3,grey
Verneuil-sur-Serre,197.0,15.4,22190.0,7.0,grey
Versigny,325.0,18.3,20830.0,9.0,grey
Vervins,1592.0,24.7,17790.0,19.9,grey
Vesles-et-Caumont,177.0,15.3,20030.0,6.7,grey
Veslud,196.0,22.9,22180.0,7.0,grey
Veuilly-la-Poterie,112.0,24.2,19170.0,5.3,grey
Vézaponin,96.0,12.0,23120.0,4.9,grey
Vézilly,153.0,29.1,26210.0,6.2,grey
Vic-sur-Aisne,1065.0,21.7,20870.0,16.3,grey
Viel-Arcy,123.0,18.7,18960.0,5.5,grey
Viels-Maisons,829.0,14.3,20870.0,14.4,grey
Vierzy,257.0,16.0,19320.0,8.0,grey
Viffort,216.0,14.0,22220.0,7.3,grey
Vigneux-Hocquet,193.0,23.9,19530.0,6.9,grey
La Ville-aux-Bois-lès-Dizy,150.0,31.1,18600.0,6.1,grey
La Ville-aux-Bois-lès-Pontavert,104.0,26.2,22890.0,5.1,grey
Villemontoire,164.0,26.0,21160.0,6.4,grey
Villeneuve-Saint-Germain,1792.0,19.9,19060.0,21.2,grey
Villeneuve-sur-Fère,208.0,12.8,18960.0,7.2,grey
Villequier-Aumont,519.0,22.8,22540.0,11.4,grey
Villeret,206.0,9.9,18730.0,7.2,grey
Villers-Cotterêts,7047.0,21.2,19370.0,42.0,grey
Villers-Hélon,141.0,23.3,25010.0,5.9,grey
Villers-le-Sec,182.0,16.9,19750.0,6.7,grey
Villers-lès-Guise,134.0,26.2,20730.0,5.8,grey
Villers-Saint-Christophe,369.0,23.4,22010.0,9.6,grey
Villers-sur-Fère,345.0,23.2,21330.0,9.3,grey
Villiers-Saint-Denis,601.0,23.6,22860.0,12.3,grey
Vincy-Reuil-et-Magny,85.0,14.7,18450.0,4.6,grey
Viry-Noureuil,1432.0,24.0,22280.0,18.9,grey
Vivaise,526.0,26.3,22040.0,11.5,grey
Vivières,323.0,22.1,24240.0,9.0,grey
Vorges,313.0,35.3,25380.0,8.8,grey
Voulpaix,302.0,24.7,20200.0,8.7,grey
Voyenne,210.0,24.0,20200.0,7.2,grey
Wassigny,647.0,19.6,18180.0,12.7,grey
Watigny,252.0,16.8,20180.0,7.9,grey
Wiège-Faty,145.0,21.8,18920.0,6.0,grey
Wimy,365.0,23.7,19180.0,9.6,grey
Wissignicourt,117.0,20.0,21630.0,5.4,grey
Abrest,2316.0,29.3,21670.0,24.1,grey
Agonges,239.0,17.8,20970.0,7.7,grey
Ainay-le-Château,915.0,29.2,19470.0,15.1,grey
Andelaroche,176.0,25.7,18080.0,6.6,grey
Archignat,236.0,17.2,17440.0,7.7,grey
Arfeuilles,525.0,16.4,16230.0,11.5,grey
Arpheuilles-Saint-Priest,279.0,27.9,22120.0,8.4,grey
Arronnes,325.0,27.7,18480.0,9.0,grey
Aubigny,80.0,11.1,18770.0,4.5,grey
Audes,334.0,24.9,21160.0,9.1,grey
Aurouër,286.0,21.0,20290.0,8.5,grey
Autry-Issards,271.0,16.7,21930.0,8.2,grey
Avermes,3187.0,32.3,22430.0,28.2,grey
Avrilly,126.0,26.8,20070.0,5.6,grey
Bagneux,270.0,22.4,21690.0,8.2,grey
Barberier,116.0,21.1,20480.0,5.4,grey
Barrais-Bussolles,167.0,14.4,18520.0,6.5,grey
Bayet,516.0,26.6,20450.0,11.4,grey
Beaulon,1299.0,21.2,20580.0,18.0,grey
Beaune-d'Allier,242.0,18.3,20070.0,7.8,grey
Bègues,192.0,29.9,21160.0,6.9,grey
Bellenaves,744.0,21.0,19530.0,13.6,grey
Bellerive-sur-Allier,6320.0,32.1,22060.0,39.7,grey
Bert,197.0,17.5,16300.0,7.0,grey
Bessay-sur-Allier,1030.0,26.6,21020.0,16.0,grey
Besson,650.0,26.2,22670.0,12.7,grey
Bézenet,672.0,27.0,18700.0,13.0,grey
Billezois,303.0,23.9,19380.0,8.7,grey
Billy,617.0,23.5,21270.0,12.4,grey
Biozat,696.0,21.7,21380.0,13.2,grey
Bizeneuille,230.0,26.3,21240.0,7.6,grey
Blomard,172.0,17.6,17780.0,6.6,grey
Bost,131.0,21.4,20930.0,5.7,grey
Boucé,387.0,18.4,20500.0,9.8,grey
Le Bouchaud,172.0,20.5,15690.0,6.6,grey
Bourbon-l'Archambault,1822.0,21.6,20580.0,21.3,grey
Braize,185.0,19.3,19230.0,6.8,grey
Bransat,405.0,23.9,22450.0,10.1,grey
Bresnay,319.0,29.8,19930.0,8.9,grey
Bressolles,976.0,27.7,24540.0,15.6,grey
Le Brethon,278.0,34.0,17870.0,8.3,grey
Le Breuil,445.0,28.4,17510.0,10.5,grey
Broût-Vernet,960.0,25.1,20100.0,15.5,grey
Brugheas,1189.0,27.7,22340.0,17.2,grey
Busset,710.0,24.8,22230.0,13.3,grey
Buxières-les-Mines,773.0,16.5,17570.0,13.9,grey
La Celle,342.0,24.2,20700.0,9.2,grey
Cérilly,993.0,25.7,19260.0,15.8,grey
Cesset,341.0,23.4,22690.0,9.2,grey
La Chabanne,179.0,22.7,16070.0,6.7,grey
Chambérat,266.0,16.0,18020.0,8.2,grey
Chamblet,804.0,24.8,22390.0,14.2,grey
Chantelle,845.0,30.4,20020.0,14.5,grey
Chapeau,187.0,25.7,21180.0,6.8,grey
La Chapelaude,717.0,23.6,21580.0,13.4,grey
La Chapelle,344.0,26.4,20000.0,9.3,grey
La Chapelle-aux-Chasses,157.0,24.8,20440.0,6.3,grey
Chappes,163.0,18.5,19770.0,6.4,grey
Chareil-Cintrat,263.0,19.7,20360.0,8.1,grey
Charmeil,763.0,29.4,21750.0,13.8,grey
Charmes,328.0,23.6,21380.0,9.1,grey
Charroux,332.0,23.2,22920.0,9.1,grey
Chassenard,735.0,27.4,20470.0,13.6,grey
Château-sur-Allier,140.0,23.6,20660.0,5.9,grey
Châtel-de-Neuvre,424.0,26.4,19880.0,10.3,grey
Châtel-Montagne,282.0,25.5,17690.0,8.4,grey
Châtelperron,124.0,24.8,19440.0,5.6,grey
Châtelus,109.0,34.2,18900.0,5.2,grey
Châtillon,220.0,18.8,17870.0,7.4,grey
Chavenon,117.0,30.6,20110.0,5.4,grey
Chavroches,209.0,24.4,18020.0,7.2,grey
Chazemais,379.0,25.8,20770.0,9.7,grey
Chemilly,472.0,24.4,22450.0,10.9,grey
Chevagnes,522.0,30.7,20680.0,11.4,grey
Chezelle,114.0,14.0,21280.0,5.3,grey
Chézy,188.0,27.6,23300.0,6.9,grey
Chirat-l'Eglise,97.0,27.6,17140.0,4.9,grey
Chouvigny,234.0,18.7,19990.0,7.6,grey
Cindré,233.0,18.5,18710.0,7.6,grey
Cognat-Lyonne,546.0,29.3,21700.0,11.7,grey
Colombier,273.0,23.6,20150.0,8.3,grey
Commentry,4657.0,23.8,19540.0,34.1,grey
Contigny,530.0,26.9,22630.0,11.5,grey
Cosne-d'Allier,1511.0,27.6,19670.0,19.4,grey
Coulandon,575.0,28.7,23650.0,12.0,grey
Coulanges,225.0,26.6,19810.0,7.5,grey
Couleuvre,413.0,19.6,18370.0,10.2,grey
Courçais,273.0,13.9,18000.0,8.3,grey
Coutansouze,124.0,22.4,19670.0,5.6,grey
Couzon,228.0,22.9,19450.0,7.5,grey
Créchy,349.0,21.6,20340.0,9.3,grey
Cressanges,492.0,20.9,20410.0,11.1,grey
Creuzier-le-Neuf,882.0,31.3,22830.0,14.8,grey
Creuzier-le-Vieux,2873.0,31.5,23920.0,26.8,grey
Cusset,8572.0,29.8,19610.0,46.3,grey
Deneuille-les-Mines,262.0,21.6,20330.0,8.1,grey
Désertines,3336.0,23.6,20640.0,28.9,grey
Deux-Chaises,299.0,24.7,20290.0,8.6,grey
Diou,1053.0,25.1,20150.0,16.2,grey
Domérat,7040.0,26.0,21620.0,42.0,grey
Dompierre-sur-Besbre,2348.0,26.8,19870.0,24.2,grey
Le Donjon,757.0,24.4,18500.0,13.8,grey
Doyet,821.0,21.6,19900.0,14.3,grey
Droiturier,277.0,23.7,19030.0,8.3,grey
Durdat-Larequille,980.0,21.0,21690.0,15.7,grey
Ebreuil,893.0,31.2,21250.0,14.9,grey
Echassières,268.0,26.0,18830.0,8.2,grey
Escurolles,565.0,24.5,20290.0,11.9,grey
Espinasse-Vozelle,725.0,27.7,23460.0,13.5,grey
Estivareilles,902.0,25.6,21690.0,15.0,grey
Etroussat,539.0,25.6,19930.0,11.6,grey
Ferrières-sur-Sichon,402.0,26.9,18800.0,10.0,grey
La Ferté-Hauterive,226.0,27.9,20250.0,7.5,grey
Fleuriel,263.0,26.4,20220.0,8.1,grey
Fourilles,180.0,27.3,20200.0,6.7,grey
Franchesse,341.0,12.8,17780.0,9.2,grey
Gannat,4225.0,25.9,19430.0,32.5,grey
Gannay-sur-Loire,339.0,32.3,21370.0,9.2,grey
Garnat-sur-Engièvre,527.0,22.5,20560.0,11.5,grey
Gennetines,516.0,17.0,22800.0,11.4,grey
Gipcy,177.0,19.0,20240.0,6.7,grey
Gouise,171.0,20.4,21250.0,6.5,grey
La Guillermie,116.0,20.0,13550.0,5.4,grey
Hauterive,939.0,29.1,20900.0,15.3,grey
Hérisson,435.0,27.5,19760.0,10.4,grey
Huriel,2109.0,23.0,21480.0,23.0,grey
Hyds,281.0,22.2,18950.0,8.4,grey
Isle-et-Bardais,217.0,20.1,20360.0,7.4,grey
Isserpent,420.0,21.7,19400.0,10.2,grey
Jaligny-sur-Besbre,454.0,23.3,19880.0,10.7,grey
Jenzat,418.0,27.2,20720.0,10.2,grey
Laféline,150.0,28.6,20340.0,6.1,grey
Lalizolle,275.0,22.5,18310.0,8.3,grey
Lamaids,157.0,13.5,18600.0,6.3,grey
Langy,207.0,19.4,20950.0,7.2,grey
Lapalisse,2140.0,28.7,19530.0,23.1,grey
Laprugne,267.0,23.9,18130.0,8.2,grey
Lavault-Sainte-Anne,849.0,26.7,22320.0,14.6,grey
Lavoine,180.0,30.4,18890.0,6.7,grey
Lenax,215.0,23.3,16760.0,7.3,grey
Liernolles,165.0,25.0,18300.0,6.4,grey
Lignerolles,593.0,23.2,23180.0,12.2,grey
Limoise,125.0,24.7,19040.0,5.6,grey
Loddes,139.0,18.4,17300.0,5.9,grey
Loriges,288.0,18.7,20020.0,8.5,grey
Louchy-Montfand,377.0,30.0,22780.0,9.7,grey
Louroux-Bourbonnais,189.0,17.6,20780.0,6.9,grey
Louroux-de-Beaune,157.0,29.8,21270.0,6.3,grey
Louroux-de-Bouble,196.0,21.2,18770.0,7.0,grey
Luneau,224.0,23.8,18190.0,7.5,grey
Lurcy-Lévis,1431.0,24.8,18960.0,18.9,grey
Lusigny,1218.0,32.3,21460.0,17.4,grey
Magnet,722.0,18.5,21400.0,13.4,grey
Haut-Bocage,651.0,22.6,19810.0,12.8,grey
Malicorne,628.0,20.0,20170.0,12.5,grey
Marcenat,289.0,27.8,20750.0,8.5,grey
Marcillat-en-Combraille,723.0,33.8,20620.0,13.4,grey
Marigny,166.0,26.9,23840.0,6.4,grey
Mariol,619.0,20.0,20920.0,12.4,grey
Le Mayet-d'Ecole,232.0,27.5,20930.0,7.6,grey
Le Mayet-de-Montagne,1024.0,28.4,18320.0,16.0,grey
Mazerier,248.0,31.8,22360.0,7.9,grey
Mazirat,247.0,24.4,20120.0,7.9,grey
Meaulne-Vitray,755.0,21.7,20380.0,13.7,grey
Meillard,225.0,24.6,20780.0,7.5,grey
Meillers,106.0,32.6,21550.0,5.1,grey
Mercy,170.0,26.4,20910.0,6.5,grey
Mesples,97.0,21.9,17080.0,4.9,grey
Molinet,857.0,28.9,19470.0,14.6,grey
Molles,752.0,27.0,20910.0,13.7,grey
Monestier,227.0,21.5,18090.0,7.5,grey
Monétay-sur-Allier,440.0,29.6,20790.0,10.5,grey
Monétay-sur-Loire,244.0,21.8,16520.0,7.8,grey
Montaiguët-en-Forez,224.0,24.0,17070.0,7.5,grey
Montaigu-le-Blin,271.0,28.8,19690.0,8.2,grey
Montbeugny,509.0,28.4,20490.0,11.3,grey
Montcombroux-les-Mines,256.0,26.1,19030.0,8.0,grey
Monteignet-sur-l'Andelot,192.0,16.2,21880.0,6.9,grey
Le Montet,271.0,32.2,19940.0,8.2,grey
Montilly,392.0,26.1,22550.0,9.9,grey
Montluçon,21448.0,25.8,18650.0,73.2,grey
Montmarault,952.0,22.8,18380.0,15.4,grey
Montoldre,372.0,22.5,20770.0,9.6,grey
Montord,172.0,32.1,20250.0,6.6,grey
Montvicq,572.0,21.7,20250.0,12.0,grey
Moulins,12875.0,29.9,18780.0,56.7,grey
Murat,203.0,22.6,19070.0,7.1,grey
Nades,91.0,28.4,20830.0,4.8,grey
Nassigny,138.0,20.7,18830.0,5.9,grey
Naves,114.0,22.1,21590.0,5.3,grey
Néris-les-Bains,1945.0,31.4,23050.0,22.1,grey
Neuilly-en-Donjon,176.0,24.2,17910.0,6.6,grey
Neuilly-le-Réal,1209.0,29.4,21730.0,17.4,grey
Neure,145.0,12.6,20570.0,6.0,grey
Neuvy,1223.0,35.0,24390.0,17.5,grey
Nizerolles,251.0,25.0,17500.0,7.9,grey
Noyant-d'Allier,475.0,26.3,17880.0,10.9,grey
Paray-le-Frésil,299.0,18.0,19080.0,8.6,grey
Paray-sous-Briailles,492.0,20.2,20210.0,11.1,grey
Périgny,351.0,12.5,19720.0,9.4,grey
La Petite-Marche,148.0,20.7,18350.0,6.1,grey
Pierrefitte-sur-Loire,367.0,20.6,19140.0,9.6,grey
Le Pin,289.0,27.9,18070.0,8.5,grey
Poëzat,126.0,28.3,22820.0,5.6,grey
Pouzy-Mésangy,301.0,14.3,19370.0,8.7,grey
Prémilhat,1902.0,29.0,23190.0,21.8,grey
Quinssaines,1172.0,26.0,22750.0,17.1,grey
Reugny,221.0,30.9,21270.0,7.4,grey
Rocles,223.0,25.1,19200.0,7.5,grey
Rongères,438.0,30.6,21580.0,10.5,grey
Ronnet,130.0,23.1,18370.0,5.7,grey
Saint-Angel,623.0,24.3,23700.0,12.5,grey
Saint-Aubin-le-Monial,222.0,23.4,22610.0,7.4,grey
Saint-Bonnet-de-Four,155.0,28.7,20830.0,6.2,grey
Saint-Bonnet-de-Rochefort,542.0,28.9,20900.0,11.6,grey
Saint-Bonnet-Tronçais,558.0,28.0,19800.0,11.8,grey
Saint-Christophe,397.0,20.5,20630.0,10.0,grey
Saint-Clément,284.0,29.2,17650.0,8.4,grey
Saint-Désiré,373.0,19.8,17640.0,9.7,grey
Saint-Didier-en-Donjon,195.0,18.3,16880.0,7.0,grey
Saint-Didier-la-Forêt,271.0,25.2,21780.0,8.2,grey
Saint-Ennemond,482.0,27.4,19780.0,11.0,grey
Saint-Etienne-de-Vicq,387.0,23.2,21430.0,9.8,grey
Saint-Fargeol,161.0,33.9,21720.0,6.3,grey
Saint-Félix,242.0,25.1,21310.0,7.8,grey
Saint-Genest,289.0,24.7,22590.0,8.5,grey
Saint-Gérand-de-Vaux,314.0,17.6,19180.0,8.9,grey
Saint-Gérand-le-Puy,627.0,22.9,19770.0,12.5,grey
Saint-Germain-des-Fossés,2605.0,26.0,19030.0,25.5,grey
Saint-Germain-de-Salles,345.0,22.7,20120.0,9.3,grey
Saint-Hilaire,356.0,16.2,19160.0,9.4,grey
Saint-Léger-sur-Vouzance,216.0,32.2,18810.0,7.3,grey
Saint-Léon,463.0,19.5,19050.0,10.8,grey
Saint-Léopardin-d'Augy,277.0,20.4,19470.0,8.3,grey
Saint-Loup,466.0,25.8,20700.0,10.8,grey
Saint-Marcel-en-Murat,118.0,18.4,21420.0,5.4,grey
Saint-Marcel-en-Marcillat,125.0,26.5,21910.0,5.6,grey
Saint-Martin-des-Lais,104.0,24.4,19920.0,5.1,grey
Saint-Martinien,465.0,20.2,20510.0,10.8,grey
Saint-Menoux,800.0,17.1,20160.0,14.1,grey
Saint-Nicolas-des-Biefs,155.0,27.0,16780.0,6.2,grey
Saint-Palais,157.0,17.2,19670.0,6.3,grey
Saint-Pierre-Laval,303.0,27.9,20430.0,8.7,grey
Saint-Plaisir,309.0,15.4,20520.0,8.8,grey
Saint-Pont,505.0,26.1,21760.0,11.2,grey
Saint-Pourçain-sur-Besbre,314.0,28.9,21450.0,8.9,grey
Saint-Pourçain-sur-Sioule,3801.0,32.1,19730.0,30.8,grey
Saint-Priest-d'Andelot,115.0,15.5,19040.0,5.4,grey
Saint-Priest-en-Murat,172.0,22.6,19410.0,6.6,grey
Saint-Prix,646.0,23.8,20650.0,12.7,grey
Saint-Rémy-en-Rollat,1376.0,30.1,22380.0,18.5,grey
Saint-Sauvier,283.0,22.1,19800.0,8.4,grey
Saint-Sornin,175.0,13.5,18030.0,6.6,grey
Sainte-Thérence,158.0,25.0,21780.0,6.3,grey
Saint-Victor,1694.0,28.6,23300.0,20.6,grey
Saint-Voir,126.0,15.3,20540.0,5.6,grey
Saint-Yorre,1920.0,25.1,20140.0,21.9,grey
Saligny-sur-Roudon,550.0,28.1,18670.0,11.7,grey
Sanssat,202.0,15.4,20120.0,7.1,grey
Saulcet,590.0,28.5,22760.0,12.1,grey
Saulzet,326.0,34.0,21600.0,9.0,grey
Sazeret,114.0,21.6,18370.0,5.3,grey
Serbannes,727.0,31.2,23690.0,13.5,grey
Servilly,230.0,18.1,18030.0,7.6,grey
Seuillet,364.0,26.4,21480.0,9.5,grey
Sorbier,231.0,23.7,17450.0,7.6,grey
Souvigny,1361.0,21.8,20200.0,18.4,grey
Sussat,91.0,32.9,19740.0,4.8,grey
Target,245.0,23.9,18260.0,7.8,grey
Taxat-Senat,168.0,34.6,21880.0,6.5,grey
Teillet-Argenty,430.0,25.0,20460.0,10.4,grey
Terjat,180.0,16.8,19110.0,6.7,grey
Le Theil,301.0,29.0,19220.0,8.7,grey
Theneuille,298.0,22.4,18030.0,8.6,grey
Thiel-sur-Acolin,822.0,28.6,20600.0,14.3,grey
Thionne,255.0,24.9,19490.0,8.0,grey
Tortezais,149.0,17.2,22580.0,6.1,grey
Toulon-sur-Allier,937.0,32.7,23230.0,15.3,grey
Treban,283.0,25.1,19640.0,8.4,grey
Treignat,375.0,20.8,18910.0,9.7,grey
Treteau,412.0,23.0,20260.0,10.1,grey
Trévol,1239.0,28.9,23630.0,17.6,grey
Trézelles,309.0,17.2,20210.0,8.8,grey
Tronget,640.0,21.4,21270.0,12.6,grey
Urçay,220.0,17.2,19980.0,7.4,grey
Ussel-d'Allier,138.0,30.9,23180.0,5.9,grey
Valigny,294.0,23.8,18810.0,8.6,grey
Vallon-en-Sully,1241.0,23.3,19490.0,17.6,grey
Varennes-sur-Allier,2658.0,26.9,19310.0,25.8,grey
Varennes-sur-Tèche,162.0,32.9,16240.0,6.4,grey
Vaumas,401.0,26.1,18270.0,10.0,grey
Vaux,877.0,20.9,21370.0,14.8,grey
Venas,201.0,20.6,20650.0,7.1,grey
Vendat,1899.0,31.5,23700.0,21.8,grey
Verneix,465.0,25.2,21490.0,10.8,grey
Le Vernet,1512.0,31.2,23810.0,19.4,grey
Verneuil-en-Bourbonnais,205.0,26.4,21160.0,7.2,grey
Vernusse,119.0,14.4,17230.0,5.5,grey
Le Veurdre,380.0,22.9,18230.0,9.7,grey
Vichy,17683.0,31.9,19130.0,66.5,grey
Vicq,282.0,28.6,22590.0,8.4,grey
Vieure,208.0,19.6,19910.0,7.2,grey
Le Vilhain,211.0,23.6,19580.0,7.3,grey
Villebret,1011.0,27.8,23410.0,15.9,grey
Villefranche-d'Allier,914.0,21.0,19650.0,15.1,grey
Villeneuve-sur-Allier,724.0,23.8,20690.0,13.5,grey
Viplaix,237.0,22.2,18650.0,7.7,grey
Voussac,398.0,23.4,19750.0,10.0,grey
Ygrande,556.0,13.8,19010.0,11.8,grey
Yzeure,9664.0,29.8,22180.0,49.2,grey
Aiglun,905.0,16.2,23470.0,15.0,grey
Allemagne-en-Provence,429.0,17.1,19390.0,10.4,grey
Allos,622.0,16.6,20320.0,12.5,grey
Annot,845.0,24.5,19230.0,14.5,grey
Aubignosc,462.0,22.3,22470.0,10.7,grey
Banon,789.0,21.1,20070.0,14.0,grey
Barcelonnette,1867.0,27.1,19500.0,21.6,grey
Barras,122.0,17.7,21780.0,5.5,grey
Barrême,378.0,23.2,17840.0,9.7,grey
Bayons,186.0,23.3,17850.0,6.8,grey
Beaujeu,129.0,13.9,20610.0,5.7,grey
Beauvezer,384.0,19.2,19900.0,9.8,grey
Bellaffaire,145.0,16.7,19960.0,6.0,grey
Bevons,201.0,24.3,22900.0,7.1,grey
Beynes,111.0,15.2,18190.0,5.3,grey
Bras-d'Asse,429.0,18.2,19960.0,10.4,grey
Braux,180.0,23.6,19120.0,6.7,grey
Ubaye-Serre-Ponçon,621.0,13.5,19460.0,12.5,grey
La Brillanne,750.0,14.8,18950.0,13.7,grey
Brunet,224.0,15.4,21450.0,7.5,grey
Le Brusquet,775.0,21.6,22780.0,13.9,grey
Castellane,1113.0,20.3,19900.0,16.7,grey
Le Castellet,208.0,27.3,20060.0,7.2,grey
Castellet-lès-Sausses,146.0,24.2,19400.0,6.0,grey
Céreste,1118.0,19.9,19010.0,16.7,grey
Le Chaffaut-Saint-Jurson,578.0,17.1,22520.0,12.0,grey
Champtercier,564.0,19.6,22940.0,11.9,grey
Château-Arnoux-Saint-Auban,3909.0,18.8,19570.0,31.3,grey
Châteauneuf-Val-Saint-Donat,436.0,17.4,22720.0,10.4,grey
Chaudon-Norante,150.0,13.2,19380.0,6.1,grey
Clamensane,175.0,19.1,16940.0,6.6,grey
Claret,199.0,19.3,19960.0,7.1,grey
Clumanc,199.0,11.5,18020.0,7.1,grey
Colmars,346.0,28.5,20350.0,9.3,grey
La Condamine-Châtelard,143.0,20.8,17930.0,6.0,grey
Corbières,954.0,16.0,23420.0,15.4,grey
Cruis,555.0,20.4,20120.0,11.8,grey
Curbans,476.0,19.6,23720.0,10.9,grey
Dauphin,653.0,18.6,23820.0,12.8,grey
Digne-les-Bains,10980.0,21.8,20230.0,52.4,grey
Draix,101.0,12.7,17580.0,5.0,grey
Enchastrayes,438.0,31.0,22320.0,10.5,grey
Entrages,86.0,12.2,19650.0,4.6,grey
Entrepierres,335.0,19.0,22170.0,9.2,grey
Entrevaux,660.0,17.2,19390.0,12.8,grey
Entrevennes,136.0,7.5,20290.0,5.8,grey
L'Escale,991.0,20.5,21350.0,15.7,grey
Esparron-de-Verdon,337.0,25.2,20780.0,9.2,grey
Estoublon,400.0,15.0,20880.0,10.0,grey
Faucon-de-Barcelonnette,266.0,28.4,22340.0,8.2,grey
Fontienne,142.0,17.2,19370.0,6.0,grey
Forcalquier,4058.0,21.5,19520.0,31.9,grey
Le Fugeret,205.0,17.4,17640.0,7.2,grey
Gréoux-les-Bains,2447.0,26.4,21010.0,24.7,grey
Jausiers,849.0,18.9,19560.0,14.6,grey
La Javie,329.0,15.4,20430.0,9.1,grey
Lambruisse,108.0,22.9,17310.0,5.2,grey
Lardiers,148.0,35.0,17380.0,6.1,grey
Le Lauzet-Ubaye,253.0,20.5,19120.0,8.0,grey
Limans,234.0,16.4,18400.0,7.6,grey
Lurs,303.0,23.0,20060.0,8.7,grey
Malijai,1360.0,20.7,19490.0,18.4,grey
Mallefougasse-Augès,289.0,17.8,21680.0,8.5,grey
Mallemoisson,846.0,23.0,22480.0,14.5,grey
Mane,1052.0,23.2,20270.0,16.2,grey
Manosque,15533.0,26.0,20160.0,62.3,grey
Marcoux,398.0,20.0,23590.0,10.0,grey
Méailles,170.0,14.6,18810.0,6.5,grey
Les Mées,2693.0,18.8,19870.0,25.9,grey
Melve,122.0,19.6,19230.0,5.5,grey
Mézel,494.0,19.3,20270.0,11.1,grey
Mirabeau,433.0,20.3,22600.0,10.4,grey
Mison,927.0,20.9,21650.0,15.2,grey
Montagnac-Montpezat,440.0,18.8,19600.0,10.5,grey
Montclar,464.0,25.1,20890.0,10.8,grey
Montfort,263.0,19.1,20850.0,8.1,grey
Montfuron,184.0,23.0,19210.0,6.8,grey
Montlaux,165.0,14.1,20580.0,6.4,grey
Montsalier,131.0,12.2,20180.0,5.7,grey
Moriez,205.0,21.1,19990.0,7.2,grey
La Motte-du-Caire,411.0,20.2,18940.0,10.1,grey
Moustiers-Sainte-Marie,566.0,28.0,19450.0,11.9,grey
La Mure-Argens,291.0,24.3,22020.0,8.5,grey
Niozelles,217.0,13.3,20950.0,7.4,grey
Noyers-sur-Jabron,428.0,18.0,21160.0,10.3,grey
Les Omergues,128.0,20.4,21210.0,5.7,grey
Ongles,327.0,21.4,20480.0,9.0,grey
Oraison,4582.0,23.1,21710.0,33.8,grey
La Palud-sur-Verdon,303.0,18.1,17810.0,8.7,grey
Peipin,1030.0,21.7,21250.0,16.0,grey
Peyroules,246.0,16.0,20710.0,7.8,grey
Peyruis,2207.0,19.7,20620.0,23.5,grey
Piégut,135.0,15.6,17000.0,5.8,grey
Pierrerue,467.0,19.0,21190.0,10.8,grey
Pierrevert,3246.0,27.0,26400.0,28.5,grey
Prads-Haute-Bléone,196.0,14.6,17540.0,7.0,grey
Puimichel,224.0,21.1,20340.0,7.5,grey
Puimoisson,602.0,24.3,21030.0,12.3,grey
Quinson,370.0,23.7,18800.0,9.6,grey
