ville,inscrits,score,revenu_median,circle,color
Saint-Etienne-sur-Reyssouze,418.0,26.4,20650.0,10.2,grey
Sainte-Euphémie,1164.0,33.3,26160.0,17.1,grey
Saint-Genis-Pouilly,5149.0,32.6,29460.0,35.9,grey
Saint-Genis-sur-Menthon,382.0,26.2,22510.0,9.8,grey
Saint-Georges-sur-Renon,180.0,27.2,24240.0,6.7,grey
Saint-Germain-de-Joux,266.0,26.2,20570.0,8.2,grey
Saint-Germain-les-Paroisses,338.0,17.1,22370.0,9.2,grey
Saint-Germain-sur-Renon,215.0,26.7,26320.0,7.3,grey
Saint-Jean-de-Gonville,1076.0,32.5,37260.0,16.4,grey
Saint-Jean-de-Niost,1324.0,28.2,27250.0,18.2,grey
Saint-Jean-de-Thurigneux,581.0,31.8,27310.0,12.1,grey
Saint-Jean-le-Vieux,1419.0,25.4,22970.0,18.8,grey
Saint-Jean-sur-Reyssouze,569.0,23.9,22080.0,11.9,grey
Saint-Jean-sur-Veyle,875.0,31.1,23810.0,14.8,grey
Sainte-Julie,732.0,21.5,24410.0,13.5,grey
Saint-Julien-sur-Reyssouze,460.0,20.6,20360.0,10.7,grey
Saint-Julien-sur-Veyle,595.0,26.9,22290.0,12.2,grey
Saint-Just,761.0,29.2,25310.0,13.8,grey
Saint-Laurent-sur-Saône,1009.0,26.9,18780.0,15.9,grey
Saint-Marcel,956.0,26.6,24180.0,15.5,grey
Saint-Martin-de-Bavel,356.0,23.7,23700.0,9.4,grey
Saint-Martin-du-Frêne,736.0,28.2,23730.0,13.6,grey
Saint-Martin-du-Mont,1443.0,26.4,24280.0,19.0,grey
Saint-Martin-le-Châtel,639.0,26.9,23470.0,12.6,grey
Saint-Maurice-de-Beynost,2479.0,27.1,22620.0,24.9,grey
Saint-Maurice-de-Gourdans,2166.0,27.0,26050.0,23.3,grey
Saint-Maurice-de-Rémens,536.0,17.5,21890.0,11.6,grey
Saint-Nizier-le-Bouchoux,519.0,29.1,21440.0,11.4,grey
Saint-Nizier-le-Désert,656.0,25.2,22280.0,12.8,grey
Sainte-Olive,250.0,32.0,25900.0,7.9,grey
Saint-Paul-de-Varax,1137.0,25.1,21820.0,16.9,grey
Saint-Rambert-en-Bugey,1305.0,18.8,18690.0,18.1,grey
Saint-Rémy,783.0,32.5,25650.0,14.0,grey
Saint-Sorlin-en-Bugey,869.0,28.1,25180.0,14.7,grey
Saint-Sulpice,173.0,24.6,21840.0,6.6,grey
Saint-Trivier-de-Courtes,715.0,28.1,20640.0,13.4,grey
Saint-Trivier-sur-Moignans,1319.0,24.3,22710.0,18.2,grey
Saint-Vulbas,862.0,21.6,23520.0,14.7,grey
Salavre,258.0,24.6,22130.0,8.0,grey
Samognat,502.0,24.1,24900.0,11.2,grey
Sandrans,447.0,29.6,23440.0,10.6,grey
Sault-Brénaz,588.0,25.6,19920.0,12.1,grey
Sauverny,611.0,40.7,39800.0,12.4,grey
Savigneux,1039.0,28.2,24700.0,16.1,grey
Ségny,1198.0,36.7,41650.0,17.3,grey
Seillonnaz,130.0,22.2,22750.0,5.7,grey
Sergy,1050.0,35.1,42980.0,16.2,grey
Sermoyer,505.0,22.4,21380.0,11.2,grey
Serrières-de-Briord,967.0,18.9,21380.0,15.5,grey
Serrières-sur-Ain,125.0,23.8,24210.0,5.6,grey
Servas,897.0,25.8,21050.0,15.0,grey
Servignat,138.0,27.0,22120.0,5.9,grey
Seyssel,668.0,25.9,22560.0,12.9,grey
Simandre-sur-Suran,541.0,20.3,22620.0,11.6,grey
Sonthonnax-la-Montagne,243.0,18.6,25920.0,7.8,grey
Souclin,198.0,21.7,23730.0,7.0,grey
Sulignat,438.0,34.2,22660.0,10.5,grey
Talissieu,302.0,21.2,23280.0,8.7,grey
Tenay,606.0,21.4,19100.0,12.3,grey
Thil,916.0,34.3,29650.0,15.1,grey
Thoiry,3307.0,37.2,36310.0,28.8,grey
Thoissey,1069.0,24.0,19130.0,16.3,grey
Torcieu,537.0,19.5,21800.0,11.6,grey
Tossiat,1116.0,29.1,24790.0,16.7,grey
Toussieux,810.0,30.9,25380.0,14.2,grey
Tramoyes,1438.0,34.0,29470.0,19.0,grey
La Tranclière,238.0,26.5,23850.0,7.7,grey
Val-Revermont,1872.0,25.5,23170.0,21.6,grey
Trévoux,4079.0,29.2,22030.0,31.9,grey
Valeins,107.0,40.0,23180.0,5.2,grey
Vandeins,506.0,22.0,23630.0,11.2,grey
Varambon,425.0,22.5,22100.0,10.3,grey
Vaux-en-Bugey,911.0,21.3,24020.0,15.1,grey
Verjon,263.0,25.7,23220.0,8.1,grey
Vernoux,193.0,15.9,19270.0,6.9,grey
Versailleux,331.0,27.6,23580.0,9.1,grey
Versonnex,1262.0,30.3,37520.0,17.8,grey
Vesancy,352.0,45.8,38920.0,9.4,grey
Vescours,155.0,22.5,20370.0,6.2,grey
Vieu-d'Izenave,483.0,19.4,22060.0,11.0,grey
Villars-les-Dombes,3443.0,29.2,23450.0,29.3,grey
Villebois,932.0,17.2,21500.0,15.3,grey
Villemotier,461.0,28.4,22000.0,10.7,grey
Villeneuve,1165.0,24.1,24510.0,17.1,grey
Villereversure,924.0,21.2,21320.0,15.2,grey
Villes,278.0,26.3,30470.0,8.3,grey
Villette-sur-Ain,577.0,23.5,24960.0,12.0,grey
Villieu-Loyes-Mollon,2891.0,25.8,25580.0,26.9,grey
Viriat,4806.0,32.3,23890.0,34.7,grey
Virieu-le-Grand,780.0,18.0,19440.0,14.0,grey
Virieu-le-Petit,584.0,20.4,21970.0,12.1,grey
Virignin,733.0,19.5,21900.0,13.5,grey
Vonnas,2238.0,30.8,21220.0,23.7,grey
Abbécourt,388.0,13.6,19460.0,9.8,grey
Achery,437.0,17.7,20960.0,10.5,grey
Acy,825.0,20.3,21730.0,14.4,grey
Agnicourt-et-Séchelles,146.0,23.5,18930.0,6.0,grey
Aguilcourt,319.0,23.3,23480.0,8.9,grey
Aisonville-et-Bernoville,216.0,23.2,21760.0,7.3,grey
Aizelles,101.0,30.1,24630.0,5.0,grey
Aizy-Jouy,222.0,17.0,19890.0,7.4,grey
Alaincourt,401.0,19.9,20990.0,10.0,grey
Allemant,126.0,21.0,21940.0,5.6,grey
Ambleny,1020.0,24.4,22910.0,16.0,grey
Amifontaine,303.0,22.1,21210.0,8.7,grey
Amigny-Rouy,553.0,22.5,22020.0,11.8,grey
Andelain,167.0,20.3,19980.0,6.5,grey
Anguilcourt-le-Sart,206.0,24.0,20490.0,7.2,grey
Anizy-le-Château,1869.0,20.2,19790.0,21.6,grey
Annois,284.0,24.9,20350.0,8.4,grey
Any-Martin-Rieux,367.0,22.2,19360.0,9.6,grey
Arcy-Sainte-Restitue,327.0,26.1,20730.0,9.0,grey
Artemps,286.0,21.1,22090.0,8.5,grey
Assis-sur-Serre,189.0,22.9,20430.0,6.9,grey
Athies-sous-Laon,1920.0,20.6,21650.0,21.9,grey
Attilly,249.0,14.7,22580.0,7.9,grey
Aubencheul-aux-Bois,216.0,22.1,20100.0,7.3,grey
Aubenton,428.0,14.7,16870.0,10.3,grey
Aubigny-aux-Kaisnes,191.0,12.9,19060.0,6.9,grey
Audignicourt,87.0,21.7,21610.0,4.7,grey
Audigny,197.0,16.4,17060.0,7.0,grey
Aulnois-sous-Laon,1032.0,19.0,21160.0,16.1,grey
Autremencourt,121.0,25.5,18210.0,5.5,grey
Autreppes,143.0,24.8,18660.0,6.0,grey
Autreville,680.0,23.1,22330.0,13.0,grey
Azy-sur-Marne,295.0,18.8,22610.0,8.6,grey
Barenton-Bugny,421.0,19.5,21190.0,10.3,grey
Barenton-Cel,114.0,11.0,21520.0,5.3,grey
Barenton-sur-Serre,87.0,14.7,22370.0,4.7,grey
Barisis-aux-Bois,539.0,22.1,21980.0,11.6,grey
Barzy-en-Thiérache,260.0,19.5,18990.0,8.1,grey
Barzy-sur-Marne,287.0,24.2,23820.0,8.5,grey
Bassoles-Aulers,116.0,18.3,20780.0,5.4,grey
Vallées en Champagne,463.0,26.3,25190.0,10.8,grey
Bazoches-sur-Vesles,394.0,24.3,21410.0,9.9,grey
Beaumont-en-Beine,136.0,21.0,20650.0,5.8,grey
Beaurevoir,974.0,21.9,17830.0,15.6,grey
Beaurieux,552.0,17.5,19870.0,11.7,grey
Beautor,1847.0,15.7,16310.0,21.5,grey
Beauvois-en-Vermandois,211.0,23.3,21330.0,7.3,grey
Becquigny,210.0,9.3,18940.0,7.2,grey
Belleau,108.0,10.7,23890.0,5.2,grey
Bellenglise,272.0,21.6,20250.0,8.2,grey
Belleu,2507.0,24.2,19200.0,25.0,grey
Bellicourt,458.0,17.1,19730.0,10.7,grey
Benay,167.0,16.4,21420.0,6.5,grey
Bergues-sur-Sambre,172.0,25.2,20640.0,6.6,grey
Berlise,94.0,15.3,15790.0,4.8,grey
Bernot,342.0,22.4,20150.0,9.2,grey
Berny-Rivière,490.0,23.0,23090.0,11.1,grey
Berrieux,139.0,30.0,24790.0,5.9,grey
Berry-au-Bac,434.0,18.6,21690.0,10.4,grey
Bertaucourt-Epourdon,431.0,17.7,20780.0,10.4,grey
Berthenicourt,155.0,20.1,23820.0,6.2,grey
Bertricourt,115.0,28.3,24040.0,5.4,grey
Berzy-le-Sec,312.0,22.4,22860.0,8.8,grey
Besmé,113.0,17.2,18310.0,5.3,grey
Besmont,117.0,17.6,18760.0,5.4,grey
Besny-et-Loizy,258.0,32.7,24750.0,8.0,grey
Béthancourt-en-Vaux,348.0,19.6,21280.0,9.3,grey
Beugneux,93.0,14.5,22990.0,4.8,grey
Beuvardes,546.0,17.5,21820.0,11.7,grey
Bézu-le-Guéry,178.0,23.8,24770.0,6.7,grey
Bézu-Saint-Germain,710.0,23.1,21800.0,13.3,grey
Bichancourt,778.0,22.0,20870.0,13.9,grey
Billy-sur-Aisne,800.0,27.5,21230.0,14.1,grey
Billy-sur-Ourcq,148.0,20.5,22820.0,6.1,grey
Blérancourt,867.0,19.9,18960.0,14.7,grey
Blesmes,359.0,20.4,23290.0,9.5,grey
Bohain-en-Vermandois,3410.0,20.0,15160.0,29.2,grey
Bois-lès-Pargny,137.0,21.9,22610.0,5.9,grey
Boncourt,195.0,19.2,19350.0,7.0,grey
Bonneil,276.0,30.0,26100.0,8.3,grey
