Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS_2022,Ecart-type de l'IPS_2022,IPS_2017,Ecart-type de l'IPS_2017,Ecart-type de l'IPS_2020,latitude,longitude
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,106.1,43.0,122.0,,42.5,48.106629422819154,-1.6731696810760333
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351799R,COLLEGE DES FONTAINES,35125,LA GUERCHE DE BRETAGNE,public,87.8,28.9,93.6,,31.1,47.93838483274646,-1.2342302484611762
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351909K,COLLEGE GERARD DE NERVAL,35360,VITRE,public,98.3,35.9,98.7,,36.1,48.11896604642633,-1.2148796543812153
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352030S,COLLEGE MORVAN LEBESQUE,35196,MORDELLES,public,112.3,37.3,112.8,,34.8,48.07273530878959,-1.840130398044565
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352860U,COLLEGE SIMONE VEIL,35090,CREVIN,public,115.1,33.1,110.7,,33.4,47.936436597389175,-1.6681504358840873
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352972R,COLLEGE PRIVE SAINT MICHEL,35051,CESSON SEVIGNE,privé sous contrat,99.8,32.8,,,,48.1178507231933,-1.6165857137560533
2021-2022,RENNES,035,ILLE-ET-VILAINE,0353006C,COLLEGE PRIVE LEONTINE DOLIVET,35051,CESSON SEVIGNE,privé sous contrat,139.2,27.6,,,,48.12960422275401,-1.5973038324695294
2021-2022,ORLEANS-TOURS,036,INDRE,0360016X,COLLEGE LES CAPUCINS,36044,CHATEAUROUX,public,100.0,38.3,108.4,,37.6,46.80942263744407,1.694899863065792
2021-2022,ORLEANS-TOURS,036,INDRE,0360023E,COLLEGE SAINT EXUPERY,36070,EGUZON CHANTOME,public,96.6,30.1,94.1,,34.1,46.44386430787315,1.5758802402201568
2021-2022,ORLEANS-TOURS,036,INDRE,0360030M,COLLEGE VINCENT ROTINAT,36141,NEUVY SAINT SEPULCHRE,public,105.8,30.0,98.8,,33.1,46.595975060295565,1.8028294881306972
2021-2022,ORLEANS-TOURS,036,INDRE,0360048G,COLLEGE LA FAYETTE,36044,CHATEAUROUX,public,100.1,34.0,100.8,,32.3,46.79133263118877,1.6926395321174306
2021-2022,ORLEANS-TOURS,036,INDRE,0360498W,COLLEGE LES SABLONS,36031,BUZANCAIS,public,97.6,32.8,95.6,,32.0,46.88981917598098,1.435190552289639
2021-2022,ORLEANS-TOURS,036,INDRE,0360573C,COLLEGE STANISLAS LIMOUSIN,36005,ARDENTES,public,106.8,31.5,106.2,,31.3,46.7391728677249,1.822440442093552
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370013N,COLLEGE ANDRE DUCHESNE,37119,L ILE BOUCHARD,public,102.2,30.8,98.8,,32.3,47.11555908193363,0.4298263395853154
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370026C,RESEAU DES COLLEGES DE PREUILLY SUR CLAISE ET DU GRAND PRESSIGNY,37189,PREUILLY SUR CLAISE,public,94.8,27.9,100.8,,28.8,46.85785744978883,0.9269202810017808
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370034L,COLLEGE BERNARD DE FONTENELLE,37241,SAVIGNE SUR LATHAN,public,99.6,28.9,96.8,,29.5,47.44472798507813,0.3165094772207522
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370041U,COLLEGE MICHELET,37261,TOURS,public,92.8,40.9,89.9,,42.1,47.38429543035467,0.694659408190326
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370071B,COLLEGE LA RABIERE,37122,JOUE LES TOURS,public,67.5,21.9,69.0,,23.0,47.3463353760834,0.6683205684355672
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370746K,COLLEGE PRIVE INSTITUTION SAINTE THERESE,37281,VOUVRAY,privé sous contrat,103.4,34.1,106.0,,33.6,47.41244727378087,0.8075195112460647
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370768J,COLLEGE GEORGES BESSE,37132,LOCHES,public,98.5,35.0,96.0,,34.6,47.12797565902744,0.9821006220178128
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370791J,COLLEGE ARCHE DU LUDE,37122,JOUE LES TOURS,public,76.6,27.7,78.4,,26.5,47.346168623440334,0.6506603450186224
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370885L,COLLEGE LE CHAMP DE LA MOTTE,37123,LANGEAIS,public,108.0,33.3,106.5,,34.0,47.33086061587348,0.4056202982027383
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0370991B,COLLEGE PIERRE CORNEILLE,37261,TOURS,public,91.0,35.2,99.1,,36.9,47.37611461336685,0.7311393583111294
2021-2022,ORLEANS-TOURS,037,INDRE-ET-LOIRE,0371248F,COLLEGE ANDRE MALRAUX,37003,AMBOISE,public,104.2,35.8,104.0,,35.8,47.39745126789944,0.9843105117978692
2021-2022,GRENOBLE,038,ISERE,0380025W,COLLEGE LE CHAMANDIER,38179,GIERES,public,134.6,35.7,133.0,,36.5,45.18321787995585,5.781129355095292
2021-2022,GRENOBLE,038,ISERE,0380045T,COLLEGE LES PIERRES PLANTES,38247,MONTALIEU VERCIEU,public,103.9,32.0,101.9,,33.5,45.8063114059165,5.399224086726931
2021-2022,GRENOBLE,038,ISERE,0380046U,COLLEGE FRANCOIS AUGUSTE RAVIER,38261,MORESTEL,public,102.2,34.6,98.1,,33.9,45.67970147049935,5.465239885359515
2021-2022,GRENOBLE,038,ISERE,0380055D,COLLEGE RAYMOND GUELEN,38319,PONT EN ROYANS,public,108.1,32.4,105.3,,32.9,45.06421889040524,5.342230496927908
2021-2022,GRENOBLE,038,ISERE,0380062L,COLLEGE LE GRAND SOM,38412,SAINT LAURENT DU PONT,public,115.5,36.3,118.0,,36.3,45.39292523616701,5.733059828432784
2021-2022,GRENOBLE,038,ISERE,0380072X,COLLEGE PIERRE DUBOIS,38485,SEYSSINET PARISET,public,106.9,35.3,111.8,,35.5,45.1761197483732,5.689690556617727
2021-2022,GRENOBLE,038,ISERE,0381696M,COLLEGE PRIVE BAYARD,38185,GRENOBLE,privé sous contrat,139.8,30.0,127.0,,31.2,45.19161492208519,5.732870382765122
2021-2022,GRENOBLE,038,ISERE,0381703V,COLLEGE PRIVE JEANNE D ARC,38315,LE PONT DE BEAUVOISIN,privé sous contrat,113.8,33.6,112.8,,35.2,45.539590605414034,5.669170215278076
2021-2022,GRENOBLE,038,ISERE,0381704W,COLLEGE PRIVE SACRE COEUR,38400,SAINT JEAN DE MOIRANS,privé sous contrat,127.9,31.4,123.9,,32.3,45.341773685070486,5.585109769932664
2021-2022,GRENOBLE,038,ISERE,0381706Y,COLLEGE PRIVE SAINT BRUNO,38509,LA TOUR DU PIN,privé sous contrat,111.3,36.2,110.4,,35.4,45.5640779706244,5.448080191148385
2021-2022,GRENOBLE,038,ISERE,0381812N,COLLEGE FERNAND LEGER,38421,SAINT MARTIN D HERES,public,98.9,35.5,98.6,,36.9,45.168316764362544,5.764993729293553
2021-2022,GRENOBLE,038,ISERE,0381905P,COLLEGE MARCEL CHENE,38314,PONTCHARRA,public,117.7,38.4,115.7,,39.7,45.43214527180018,6.009170239471321
2021-2022,GRENOBLE,038,ISERE,0382100B,COLLEGE DU GRESIVAUDAN,38397,SAINT ISMIER,public,142.8,30.8,141.0,,30.8,45.24123080853526,5.820960342609566
2021-2022,GRENOBLE,038,ISERE,0382101C,COLLEGE JACQUES BREL,38034,BEAUREPAIRE,public,99.1,33.2,96.6,,33.0,45.338581612659375,5.064329547899554
2021-2022,GRENOBLE,038,ISERE,0382110M,COLLEGE LE GRAND CHAMP,38316,PONT DE CHERUY,public,92.4,31.7,89.2,,33.4,45.75803078916312,5.1746701072346015
2021-2022,GRENOBLE,038,ISERE,0382115T,COLLEGE CLAUDE ET GERMAIN GRANGE,38487,SEYSSUEL,public,100.0,36.3,99.7,,35.2,45.54676988827735,4.863600229079565
2021-2022,GRENOBLE,038,ISERE,0382504R,COLLEGE GEORGES BRASSENS,38318,PONT EVEQUE,public,91.7,31.5,96.6,,32.6,45.53069286816266,4.92644189871169
2021-2022,GRENOBLE,038,ISERE,0382506T,COLLEGE SONIA DELAUNAY,38553,VILLEFONTAINE,public,107.0,39.6,105.3,,38.1,45.604113321632326,5.148080389690271
2021-2022,GRENOBLE,038,ISERE,0382581Z,COLLEGE PRIVE EXTERNAT NOTRE DAME,38185,GRENOBLE,privé sous contrat,117.2,37.0,113.5,,37.7,45.174951862898034,5.733049529873264
2021-2022,GRENOBLE,038,ISERE,0382582A,COLLEGE PRIVE JEANNE D ARC,38298,LE PEAGE DE ROUSSILLON,privé sous contrat,101.4,30.0,104.5,,29.3,45.36918647137218,4.797629573235557
2021-2022,GRENOBLE,038,ISERE,0382786X,COLLEGE FRANCOIS TRUFFAUT,38193,L ISLE D ABEAU,public,82.6,32.6,89.3,,31.9,45.62265433995975,5.226270317781658
2021-2022,GRENOBLE,038,ISERE,0382864G,COLLEGE RENE CASSIN,38553,VILLEFONTAINE,public,95.3,34.7,95.8,,33.1,45.60199242872388,5.169779776156803
2021-2022,GRENOBLE,038,ISERE,0383056R,COLLEGE ROBERT DOISNEAU,38193,L ISLE D ABEAU,public,89.6,30.6,91.9,,32.0,45.62077232607827,5.210609704464847
2021-2022,GRENOBLE,038,ISERE,0383300F,COLLEGE ICARE,38181,GONCELIN,public,128.3,34.6,122.2,,34.9,45.34447201153273,5.978689747298473
2021-2022,GRENOBLE,038,ISERE,0383494S,COLLEGE LES SAULES,38158,EYBENS,public,95.6,36.6,102.0,,34.9,45.14770685369583,5.750140411189965
2021-2022,GRENOBLE,038,ISERE,0383542U,COLLEGE DE CHAMPIER,38069,CHAMPIER,public,106.2,33.9,,,,45.45695728961314,5.2903597214107645
2021-2022,BESANCON,039,JURA,0390031X,COLLEGE MICHEL BREZILLON,39397,ORGELET,public,106.7,31.7,105.5,,32.3,46.52268589979346,5.614600254500371
2021-2022,BESANCON,039,JURA,0390073T,COLLEGE PRIVE NOTRE DAME DE LA SALETTE,39582,VOITEUR,privé sous contrat,104.8,28.3,113.7,,31.1,46.75085418898804,5.612639508017415
2021-2022,BESANCON,039,JURA,0390785S,COLLEGE LUCIEN FEBVRE,39475,SAINT AMOUR,public,93.9,30.1,96.1,,30.3,46.43887463703944,5.342547602703235
2021-2022,BESANCON,039,JURA,0390800H,COLLEGE CLAUDE NICOLAS LEDOUX,39198,DOLE,public,113.7,33.4,107.1,,34.7,47.070834943498696,5.502720541150207
2021-2022,BESANCON,039,JURA,0390906Y,COLLEGE ROUGET DE L ISLE,39300,LONS LE SAUNIER,public,108.6,36.9,110.0,,37.2,46.67222898532074,5.547599819745884
2021-2022,BESANCON,039,JURA,0390916J,COLLEGE LOUIS BOUVIER,39487,SAINT LAURENT EN GRANDVAUX,public,104.7,30.7,101.1,,32.3,46.57817581752256,5.953989894486795
2021-2022,BESANCON,039,JURA,0390960G,COLLEGE PASTEUR,39013,ARBOIS,public,113.5,32.8,110.1,,35.0,46.90343265763138,5.774440348000051
2021-2022,BORDEAUX,040,LANDES,0400023H,COLLEGE SERGE BARRANX,40194,MONTFORT EN CHALOSSE,public,105.2,30.8,99.2,,30.0,43.70987867827824,-0.8416681967067063
2021-2022,BORDEAUX,040,LANDES,0400026L,COLLEGE SAINT EXUPERY,40217,PARENTIS EN BORN,public,104.0,31.1,96.5,,30.9,44.35713498308802,-1.0688211737808484
2021-2022,BORDEAUX,040,LANDES,0400028N,COLLEGE PAYS D ORTHE,40224,PEYREHORADE,public,104.6,32.4,101.6,,33.4,43.5487889880779,-1.0922605595816703
2021-2022,BORDEAUX,040,LANDES,0400033U,COLLEGE MARIE CURIE,40243,RION DES LANDES,public,99.5,31.0,97.2,,30.9,43.936169956156434,-0.923247001463269
2021-2022,BORDEAUX,040,LANDES,0400039A,COLLEGE JEAN CLAUDE SESCOUSSE,40284,SAINT VINCENT DE TYROSSE,public,108.8,33.6,107.8,,34.4,43.65815296495225,-1.3085031686106314
2021-2022,BORDEAUX,040,LANDES,0400042D,COLLEGE JEAN ROSTAND,40313,TARTAS,public,103.1,33.8,98.0,,33.9,43.835613796083706,-0.8112290667403639
2021-2022,BORDEAUX,040,LANDES,0400727Y,COLLEGE JEAN MARIE LONNE,40119,HAGETMAU,public,96.6,34.2,94.8,,31.2,43.65467028534577,-0.5903718857251267
2021-2022,BORDEAUX,040,LANDES,0400740M,COLLEGE D ALBRET,40088,DAX,public,97.5,33.2,100.3,,32.6,43.70269955711285,-1.0327358474483954
2021-2022,BORDEAUX,040,LANDES,0401077D,COLLEGE DE LABRIT,40135,LABRIT,public,99.0,31.3,103.5,,29.5,44.09654166575604,-0.5481411370790018
2021-2022,ORLEANS-TOURS,041,LOIR-ET-CHER,0410024D,COLLEGE HONORE DE BALZAC,41199,SAINT AMAND LONGPRE,public,107.7,31.9,107.6,,32.3,47.688530952776,1.0146305278550545
2021-2022,ORLEANS-TOURS,041,LOIR-ET-CHER,0410686Y,COLLEGE PRIVE SAINT GEORGES,41232,SALBRIS,privé sous contrat,100.0,28.1,105.9,,29.2,47.4272686268142,2.054390408882798
2021-2022,ORLEANS-TOURS,041,LOIR-ET-CHER,0410688A,COLLEGE PRIVE SAINT JOSEPH,41269,VENDOME,privé sous contrat,121.7,33.9,113.2,,35.7,47.795155978562384,1.0721798382146035
2021-2022,ORLEANS-TOURS,041,LOIR-ET-CHER,0410715E,COLLEGE MARCEL CARNE,41295,VINEUIL,public,117.3,35.6,114.1,,34.9,47.58472384985411,1.382971719477044
2021-2022,ORLEANS-TOURS,041,LOIR-ET-CHER,0410792N,COLLEGE ROBERT LASNEAU,41269,VENDOME,public,113.8,38.0,108.4,,35.8,47.78496185759776,1.078199749607903
2021-2022,LYON,042,LOIRE,0420011J,COLLEGE JACQUES BREL,42059,CHAZELLES SUR LYON,public,111.2,33.5,110.0,,33.5,45.63274593958744,4.390030347092784
2021-2022,LYON,042,LOIRE,0420035K,COLLEGE JEAN DE LA FONTAINE,42187,ROANNE,public,90.9,34.3,90.4,,35.5,46.02819681803356,4.0530801064527004
2021-2022,LYON,042,LOIRE,0420058K,COLLEGE LES CHAMPS,42218,SAINT ETIENNE,public,102.1,35.4,102.7,,35.7,45.46410448054007,4.3757195772214725
2021-2022,LYON,042,LOIRE,0420968Z,COLLEGE ENNEMOND RICHARD,42207,SAINT CHAMOND,public,89.8,36.8,89.6,,35.4,45.4686622230944,4.518410407073416
2021-2022,LYON,042,LOIRE,0421032U,COLLEGE PRIVE VICTOR DE LAPRADE,42147,MONTBRISON,privé sous contrat,105.5,36.3,104.0,,36.6,45.60880638189259,4.066080382424795
2021-2022,LYON,042,LOIRE,0421086C,COLLEGE CHARLES EXBRAYAT,42103,LA GRAND CROIX,public,106.8,36.3,101.9,,35.2,45.49838174714388,4.573189781031106
2021-2022,LYON,042,LOIRE,0421452A,COLLEGE GAMBETTA,42218,SAINT ETIENNE,public,90.5,38.3,89.0,,38.1,45.43407784755134,4.389219814473432
2021-2022,LYON,042,LOIRE,0421454C,COLLEGE MARIO MEUNIER,42147,MONTBRISON,public,111.1,37.2,110.7,,38.0,45.60668739544545,4.056339733664518
2021-2022,LYON,042,LOIRE,0421689H,COLLEGE JULES VALLES,42183,LA RICAMARIE,public,65.4,26.2,68.9,,19.8,45.39926867858585,4.366679864046602
2021-2022,LYON,042,LOIRE,0421797A,COLLEGE PRIVE SAINT PAUL,42187,ROANNE,privé sous contrat,114.6,37.0,112.3,,36.4,46.04266634493964,4.074100597991484
2021-2022,LYON,042,LOIRE,0421852K,COLLEGE LOUIS ARAGON,42127,MABLY,public,88.6,33.7,86.0,,34.5,46.08143045710371,4.073359762134991
2021-2022,LYON,042,LOIRE,0422293P,COLLEGE ANTOINE GUICHARD,42323,VEAUCHE,public,119.7,30.7,114.2,,31.4,45.56494419727149,4.307520298868505
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430012E,COLLEGE ROBERT LOUIS STEVENSON,43111,LANDOS,public,103.3,24.4,99.1,,26.5,44.83981825329537,3.8328704000998792
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430013F,COLLEGE DU HAUT ALLIER,43112,LANGEAC,public,101.8,36.4,97.9,,34.7,45.10778115793619,3.490039881548362
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430017K,COLLEGE LAURENT EYNAC,43135,LE MONASTIER SUR GAZEILLE,public,111.3,31.6,109.9,,29.4,44.93677698157897,3.997410138311567
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430027W,COLLEGE ROGER RUEL,43177,SAINT DIDIER EN VELAY,public,111.1,31.6,111.5,,34.3,45.30195236715203,4.273840375253978
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430052Y,COLLEGE PRIVE NOTRE DAME DE LA FAYE,43012,AUREC SUR LOIRE,privé sous contrat,102.7,31.1,103.9,,34.0,45.36740321065919,4.199040095302163
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430068R,COLLEGE PRIVE NOTRE DAME,43080,CRAPONNE SUR ARZON,privé sous contrat,104.0,25.4,97.3,,30.4,45.329667704213975,3.8468204498090746
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430072V,COLLEGE PRIVE SAINT JOSEPH,43112,LANGEAC,privé sous contrat,94.6,30.3,95.5,,28.3,45.10197146323053,3.493149632945497
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430085J,COLLEGE PRIVE SAINTE BERNADETTE,43185,SAINTE FLORINE,privé sous contrat,90.5,29.7,89.5,,30.7,45.40479145692687,3.3204902905399702
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430086K,COLLEGE PRIVE SAINT JOSEPH,43200,SAINT JULIEN CHAPTEUIL,privé sous contrat,115.3,31.2,99.8,,28.3,45.03502329608919,4.061700308035965
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430135N,COLLEGE JEAN MONNET,43268,YSSINGEAUX,public,104.7,35.2,101.2,,35.7,45.12995664407197,4.121530045054418
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430906B,COLLEGE PRIVE NOTRE DAME DU CHATEAU,43137,MONISTROL SUR LOIRE,privé sous contrat,106.0,33.9,102.6,,33.8,45.29262017341616,4.169248844244565
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430917N,COLLEGE ANNE FRANK,43041,BRIVES CHARENSAC,public,90.3,32.5,98.7,,37.3,45.05144847070056,3.9149796450398
2021-2022,CLERMONT-FERRAND,043,HAUTE-LOIRE,0430987P,COLLEGE DES GORGES DE LA LOIRE,43012,AUREC SUR LOIRE,public,110.6,33.3,108.0,,31.7,45.36844793160416,4.18830016277392
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440008V,COLLEGE CACAULT,44043,CLISSON,public,116.2,36.5,111.1,,37.0,47.09121219300653,-1.2887394850220637
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440028S,COLLEGE LA COLINIERE,44109,NANTES,public,104.3,41.2,110.4,,41.6,47.23634282190417,-1.511819901828716
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440045K,COLLEGE VICTOR HUGO,44109,NANTES,public,131.9,39.1,138.0,,35.5,47.223570482598525,-1.5589001194055196
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440049P,COLLEGE ARISTIDE BRIAND,44109,NANTES,public,108.4,43.4,113.3,,43.0,47.20591128464898,-1.5541299357865803
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440066H,COLLEGE HELENE ET RENE GUY CADOU,44154,SAINT BREVIN LES PINS,public,113.8,34.4,114.1,,34.8,47.24269867304218,-2.161130454844308
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440080Y,COLLEGE JEAN MONNET,44215,VERTOU,public,128.4,33.4,125.7,,34.1,47.16474067218998,-1.466023406196622
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440153C,COLLEGE PRIVE SAINT GABRIEL,44071,HAUTE GOULAINE,privé sous contrat,125.7,34.7,126.3,,33.6,47.19858787077371,-1.4452700920378905
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440192V,COLLEGE PRIVE SAINT MICHEL,44067,GUEMENE PENFAO,privé sous contrat,97.0,30.4,93.9,,31.7,47.630474581835664,-1.832050374345156
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440199C,COLLEGE PRIVE SAINT JOSEPH,44082,LIGNE,privé sous contrat,112.0,30.7,116.1,,29.7,47.409494175843385,-1.373940614749704
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440200D,COLLEGE PRIVE NOTRE DAME,44084,LE LOROUX BOTTEREAU,privé sous contrat,116.9,30.2,111.2,,30.4,47.238481118511146,-1.3545704767763718
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440206K,COLLEGE PRIVE NOTRE DAME DU BON CONSEIL,44109,NANTES,privé sous contrat,115.5,35.7,105.8,,34.7,47.23244279366247,-1.5605995988080972
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440223D,COLLEGE PRIVE SAINT JOSEPH,44113,NOZAY,privé sous contrat,105.3,27.3,109.1,,25.4,47.56491701789851,-1.6290494757603486
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440224E,COLLEGE PRIVE SAINT MARTIN,44129,PONTCHATEAU,privé sous contrat,105.3,30.2,101.3,,28.8,47.43460664851417,-2.085160151887481
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440231M,COLLEGE PRIVE SAINTE ANNE,44143,REZE,privé sous contrat,108.7,35.7,103.2,,33.1,47.19178325673684,-1.5671003730055475
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440241Y,COLLEGE PRIVE SAINT JOSEPH,44195,SAVENAY,privé sous contrat,119.3,32.8,117.3,,32.4,47.363358817364514,-1.945120252646561
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440284V,COLLEGE STENDHAL,44109,NANTES,public,79.6,36.1,82.9,,35.4,47.26145073794815,-1.569730300413915
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440285W,COLLEGE GASTON SERPETTE,44109,NANTES,public,127.6,39.3,131.3,,37.3,47.22738710438993,-1.5764704324721976
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440289A,COLLEGE JEAN MOUNES,44131,PORNIC,public,110.8,35.9,114.4,,35.5,47.11691314596976,-2.0963203684025578
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440293E,COLLEGE ROBERT SCHUMAN,44036,CHATEAUBRIANT,public,93.6,31.0,96.0,,31.5,47.72609335526899,-1.370830536447499
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440347N,COLLEGE SAINT EXUPERY,44101,LA MONTAGNE,public,118.8,34.2,117.8,,34.9,47.18445572834288,-1.683639834407343
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0440423W,COLLEGE PRIVE SAINT JOSEPH,44051,DERVAL,privé sous contrat,101.3,31.1,100.9,,31.9,47.66848382616571,-1.6726294845921506
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441547T,COLLEGE LE GRAND BEAUREGARD,44035,LA CHAPELLE SUR ERDRE,public,134.2,35.0,133.3,,35.5,47.29752595195593,-1.5572793682489792
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441548U,COLLEGE RENE BERNIER,44190,SAINT SEBASTIEN SUR LOIRE,public,119.4,40.3,115.8,,39.9,47.193604906014826,-1.5009098121907771
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441612N,COLLEGE PIERRE DE COUBERTIN,44081,LEGE,public,99.8,32.3,101.6,,34.9,46.88666511259006,-1.591739959454936
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441820P,COLLEGE GABRIEL GUIST HAU,44109,NANTES,public,143.4,31.4,142.5,,32.4,47.21599714386803,-1.5671199268938
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441929H,COLLEGE PRIVE SAINT JOSEPH,44036,CHATEAUBRIANT,privé sous contrat,106.8,32.1,105.6,,30.8,47.71537064127728,-1.377120374434589
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0441934N,COLLEGE PRIVE CHAVAGNES,44109,NANTES,privé sous contrat,144.4,27.9,147.5,,28.7,47.21760532928408,-1.5698997519538338
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442011X,COLLEGE LA COUTANCIERE,44035,LA CHAPELLE SUR ERDRE,public,129.4,37.4,132.9,,37.7,47.308350050740856,-1.5622199856527337
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442277L,COLLEGE DE GOULAINE,44009,BASSE GOULAINE,public,129.5,33.1,130.1,,33.4,47.21736860800736,-1.4629391173272013
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442542Z,COLLEGE ANDREE CHEDID,44002,AIGREFEUILLE SUR MAINE,public,113.3,33.2,104.1,,33.0,47.07488375971623,-1.4140100197012675
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442728B,COLLEGE MARCELLE BARON,44073,HERIC,public,116.9,32.0,113.0,,32.5,47.40774070851513,-1.64866049389028
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442782K,COLLEGE JULIE VICTOIRE DAUBIE,44188,SAINT PHILBERT DE GRAND LIEU,public,112.7,32.8,107.2,,33.1,47.03138703557713,-1.6284604437273575
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442806L,COLLEGE MONA OZOUF,44195,SAVENAY,public,116.1,33.5,113.2,,34.6,47.36722184074046,-1.928710231322852
2021-2022,NANTES,044,LOIRE-ATLANTIQUE,0442921L,COLLEGE DE LOIREAUXENCE,44213,LOIREAUXENCE,public,104.5,32.6,,,,47.39016348391933,-1.0310503758696998
2021-2022,ORLEANS-TOURS,045,LOIRET,0450006M,COLLEGE FREDERIC BAZILLE,45030,BEAUNE LA ROLANDE,public,91.7,29.5,92.3,,28.6,48.07002238439621,2.4386699101899554
2021-2022,ORLEANS-TOURS,045,LOIRET,0450061X,COLLEGE ALFRED DE MUSSET,45248,PATAY,public,102.6,31.0,106.0,,30.1,48.05220892306943,1.6950705314194623
2021-2022,ORLEANS-TOURS,045,LOIRET,0450069F,COLLEGE MAX JACOB,45285,SAINT JEAN DE LA RUELLE,public,84.5,30.7,76.8,,29.3,47.91834539320126,1.8783696125234337
2021-2022,ORLEANS-TOURS,045,LOIRET,0450784H,COLLEGE CONDORCET,45147,FLEURY LES AUBRAIS,public,89.4,34.7,98.2,,35.7,47.93026713284334,1.9262196139750525
2021-2022,ORLEANS-TOURS,045,LOIRET,0450785J,COLLEGE JEANNE D ARC,45234,ORLEANS,public,102.3,42.3,100.0,,42.6,47.90325190819803,1.9121800184937567
2021-2022,ORLEANS-TOURS,045,LOIRET,0450839T,COLLEGE SAINT EXUPERY,45284,SAINT JEAN DE BRAYE,public,84.4,34.6,89.5,,31.5,47.91231359537454,1.962820184322168
2021-2022,ORLEANS-TOURS,045,LOIRET,0450936Y,COLLEGE JEAN ROSTAND,45234,ORLEANS,public,79.4,31.4,78.9,,27.9,47.92103480258824,1.9270330428671327
2021-2022,ORLEANS-TOURS,045,LOIRET,0450937Z,COLLEGE ROBERT SCHUMAN,45004,AMILLY,public,103.9,35.7,102.9,,37.5,47.98892963010754,2.7664094621333004
