id_circo,nom,groupe_sigle,parti_ratt_financier
02005,Jacques Krabal,LREM,La République en Marche
08001,Bérengère Poletti,LR,Les Républicains
78005,Yaël Braun-Pivet,LREM,La République en Marche
56002,Jimmy Pahun,MODEM,Mouvement Démocrate
68005,Olivier Becht,AE,Mouvement Démocrate
ZP001,Maina Sage,AE,Tapura Huiraatira
27005,Claire O'Petit,LREM,La République en Marche
38002,Jean-Charles Colas-Roy,LREM,La République en Marche
37005,Sabine Thillaye,MODEM,Mouvement Démocrate
06006,Laurence Trastour-Isnart,LR,Les Républicains
45003,Claude de Ganay,LR,Les Républicains
67009,Vincent Thiébaut,LREM,La République en Marche
62005,Jean-Pierre Pont,LREM,La République en Marche
69007,Anissa Khedher,LREM,La République en Marche
15002,Jean-Yves Bony,LR,Les Républicains
67008,Frédéric Reiss,LR,Les Républicains
17004,Raphaël Gérard,LREM,La République en Marche
62012,Bruno Bilde,NI,Rassemblement national
93009,Sabine Rubin,LFI,La France Insoumise
93001,Éric Coquerel,LFI,La France Insoumise
56006,Jean-Michel Jacques,LREM,La République en Marche
79001,Guillaume Chiche,NI,Europe Écologie Les Verts
69001,Thomas Rudigoz,LREM,La République en Marche
38007,Monique Limon,LREM,La République en Marche
53001,Guillaume Garot,SOC,Parti socialiste
29002,Jean-Charles Larsonneur,AE,La République en Marche
29008,Erwan Balanant,MODEM,Mouvement Démocrate
80003,Emmanuel Maquet,LR,Les Républicains
93002,Stéphane Peu,GDR,Parti communiste français
57008,Brahim Hammouche,MODEM,Mouvement Démocrate
90002,Michel Zumkeller,UDI,"Union des démocrates, radicaux et libéraux"
25001,Fannette Charvier,LREM,La République en Marche
57004,Fabien Di Filippo,LR,Les Républicains
84005,Julien Aubert,LR,Les Républicains
51002,Aina Kuric,AE,Mouvement Démocrate
75018,Pierre-Yves Bournazel,AE,Mouvement Démocrate
82001,Valérie Rabault,SOC,Parti socialiste
44003,Anne-France Brunet,LREM,La République en Marche
2A002,Paul-André Colombani,LT,Régions et peuples solidaires
26003,Célia de Lavergne,LREM,La République en Marche
59020,Fabien Roussel,GDR,Parti communiste français
33005,Benoit Simian,LT,Régions et peuples solidaires
75002,Gilles Le Gendre,LREM,La République en Marche
35005,Christine Cloarec-Le Nabour,LREM,La République en Marche
ZZ009,M'jid El Guerrab,AE,"Union des démocrates, radicaux et libéraux"
86003,Jean-Michel Clément,LT,Régions et peuples solidaires
94010,Mathilde Panot,LFI,La France Insoumise
63002,Christine Pires Beaune,SOC,Parti socialiste
ZZ003,Alexandre Holroyd,LREM,La République en Marche
38010,Marjolaine Meynier-Millefert,LREM,La République en Marche
84002,Jean-Claude Bouchet,LR,Les Républicains
44009,Yannick Haury,LREM,La République en Marche
35004,Gaël Le Bohec,LREM,La République en Marche
25004,Frédéric Barbier,LREM,La République en Marche
64001,Josy Poueyto,MODEM,Mouvement Démocrate
49007,Philippe Bolo,MODEM,Mouvement Démocrate
13012,Éric Diard,LR,Les Républicains
89001,Guillaume Larrivé,LR,Les Républicains
58002,Patrice Perrot,LREM,La République en Marche
33002,Catherine Fabre,LREM,La République en Marche
ZD006,Nadia Ramassamy,LR,Les Républicains
13013,Pierre Dharréville,GDR,Parti communiste français
45001,Stéphanie Rist,LREM,La République en Marche
75013,Hugues Renson,LREM,La République en Marche
37002,Daniel Labaronne,LREM,La République en Marche
40002,Lionel Causse,LREM,La République en Marche
67001,Thierry Michels,LREM,La République en Marche
78012,Florence Granjus,LREM,La République en Marche
46001,Aurélien Pradié,LR,Les Républicains
92008,Jacques Maire,LREM,La République en Marche
91008,Nicolas Dupont-Aignan,NI,Debout la France
57009,Isabelle Rauch,LREM,La République en Marche
62008,Benoit Potterie,AE,La République en Marche
59014,Paul Christophe,AE,Mouvement Démocrate
27003,Marie Tamarelle-Verhaeghe,LREM,La République en Marche
93003,Patrice Anato,LREM,La République en Marche
31010,Sébastien Nadot,LT,Régions et peuples solidaires
34008,Nicolas Démoulin,LREM,La République en Marche
42006,Julien Borowczyk,LREM,La République en Marche
47002,Alexandre Freschi,LREM,La République en Marche
95004,Naïma Moutchou,LREM,La République en Marche
33007,Bérangère Couillard,LREM,La République en Marche
83002,Cécile Muschotti,LREM,La République en Marche
56001,Hervé Pellois,LREM,La République en Marche
