id_circo,Exprimes,nom,voix
31002,80693,ARTHAUD,313
31003,64296,ARTHAUD,185
31004,50396,ARTHAUD,150
31005,84229,ARTHAUD,353
31006,92132,ARTHAUD,401
31007,82486,ARTHAUD,421
31008,65598,ARTHAUD,340
31009,61260,ARTHAUD,287
31010,84762,ARTHAUD,349
32001,58057,ARTHAUD,260
32002,58342,ARTHAUD,269
33001,78315,ARTHAUD,217
33002,54782,ARTHAUD,129
33003,66328,ARTHAUD,270
33004,71773,ARTHAUD,293
33005,93319,ARTHAUD,451
33006,84880,ARTHAUD,301
33007,61250,ARTHAUD,247
33008,91926,ARTHAUD,298
33009,80961,ARTHAUD,398
33010,64157,ARTHAUD,296
33011,74719,ARTHAUD,462
33012,69610,ARTHAUD,317
34001,66559,ARTHAUD,262
34002,45852,ARTHAUD,137
34003,72126,ARTHAUD,226
34004,93416,ARTHAUD,384
34005,75720,ARTHAUD,375
34006,68394,ARTHAUD,301
34007,80173,ARTHAUD,351
34008,70342,ARTHAUD,294
34009,66146,ARTHAUD,250
35001,70645,ARTHAUD,394
35002,77136,ARTHAUD,415
35003,71242,ARTHAUD,536
35004,74266,ARTHAUD,539
35005,85061,ARTHAUD,626
35006,69474,ARTHAUD,520
35007,79331,ARTHAUD,462
35008,69677,ARTHAUD,291
36001,55143,ARTHAUD,456
36002,65854,ARTHAUD,629
37001,49284,ARTHAUD,230
37002,69653,ARTHAUD,498
37003,74699,ARTHAUD,563
37004,68234,ARTHAUD,531
37005,65620,ARTHAUD,421
38001,66452,ARTHAUD,200
38002,58033,ARTHAUD,318
38003,43376,ARTHAUD,205
38004,70673,ARTHAUD,402
38005,82639,ARTHAUD,399
38006,66793,ARTHAUD,348
38007,72857,ARTHAUD,449
38008,62334,ARTHAUD,306
38009,76527,ARTHAUD,461
38010,72612,ARTHAUD,391
39001,49671,ARTHAUD,351
39002,41820,ARTHAUD,284
39003,53736,ARTHAUD,418
40001,83343,ARTHAUD,417
40002,95690,ARTHAUD,366
40003,79017,ARTHAUD,332
41001,60068,ARTHAUD,386
41002,59252,ARTHAUD,391
41003,61490,ARTHAUD,469
42001,46671,ARTHAUD,245
42002,35520,ARTHAUD,227
42003,61957,ARTHAUD,335
42004,78514,ARTHAUD,520
42005,77418,ARTHAUD,468
42006,85858,ARTHAUD,595
43001,78658,ARTHAUD,574
43002,60997,ARTHAUD,446
44001,57757,ARTHAUD,192
44002,68858,ARTHAUD,255
44003,70491,ARTHAUD,391
44004,70063,ARTHAUD,386
44005,97442,ARTHAUD,510
44006,86410,ARTHAUD,648
44007,90037,ARTHAUD,551
44008,64821,ARTHAUD,543
44009,99578,ARTHAUD,678
44010,96965,ARTHAUD,558
45001,57120,ARTHAUD,278
45002,62937,ARTHAUD,355
45003,52704,ARTHAUD,330
45004,53093,ARTHAUD,329
45005,54054,ARTHAUD,359
45006,55514,ARTHAUD,308
46001,56838,ARTHAUD,308
46002,52552,ARTHAUD,310
47001,68038,ARTHAUD,347
47002,58737,ARTHAUD,297
47003,57327,ARTHAUD,245
48001,46996,ARTHAUD,235
49001,65099,ARTHAUD,367
49002,70611,ARTHAUD,520
49003,53427,ARTHAUD,418
49004,57220,ARTHAUD,402
49005,58728,ARTHAUD,408
49006,74474,ARTHAUD,550
49007,61783,ARTHAUD,406
50001,65037,ARTHAUD,531
50002,72428,ARTHAUD,524
50003,83151,ARTHAUD,681
50004,63842,ARTHAUD,513
51001,52055,ARTHAUD,320
51002,53207,ARTHAUD,314
51003,57020,ARTHAUD,392
51004,55179,ARTHAUD,360
51005,56645,ARTHAUD,392
52001,51309,ARTHAUD,381
52002,42499,ARTHAUD,315
53001,54407,ARTHAUD,430
53002,58933,ARTHAUD,404
53003,53568,ARTHAUD,439
54001,59232,ARTHAUD,313
54002,48730,ARTHAUD,231
54003,54463,ARTHAUD,374
54004,71161,ARTHAUD,571
54005,58454,ARTHAUD,416
54006,61760,ARTHAUD,468
55001,55829,ARTHAUD,396
55002,42684,ARTHAUD,306
56001,88794,ARTHAUD,399
56002,87469,ARTHAUD,547
56003,74271,ARTHAUD,543
56004,86504,ARTHAUD,606
56005,58966,ARTHAUD,337
56006,71370,ARTHAUD,520
57001,64583,ARTHAUD,372
57002,53932,ARTHAUD,309
57003,53147,ARTHAUD,311
57004,60164,ARTHAUD,482
57005,51511,ARTHAUD,429
57006,45015,ARTHAUD,309
57007,64070,ARTHAUD,458
57008,60211,ARTHAUD,402
57009,71686,ARTHAUD,427
58001,53240,ARTHAUD,348
58002,59201,ARTHAUD,485
59001,44244,ARTHAUD,210
59002,60671,ARTHAUD,368
59003,61951,ARTHAUD,440
59004,73163,ARTHAUD,316
59005,75028,ARTHAUD,442
59006,71894,ARTHAUD,342
59007,51307,ARTHAUD,216
59008,41887,ARTHAUD,285
59009,64701,ARTHAUD,222
59010,53700,ARTHAUD,271
59011,65072,ARTHAUD,410
59012,66331,ARTHAUD,440
59013,58456,ARTHAUD,539
59014,72869,ARTHAUD,594
59015,72305,ARTHAUD,545
59016,58586,ARTHAUD,361
59017,51739,ARTHAUD,291
59018,63773,ARTHAUD,451
59019,55822,ARTHAUD,370
59020,55197,ARTHAUD,259
59021,56085,ARTHAUD,301
60001,60526,ARTHAUD,499
60002,65144,ARTHAUD,475
60003,52295,ARTHAUD,328
60004,68776,ARTHAUD,325
60005,53365,ARTHAUD,369
60006,55942,ARTHAUD,433
60007,55666,ARTHAUD,430
61001,50042,ARTHAUD,399
61002,48813,ARTHAUD,330
61003,52095,ARTHAUD,474
62001,80061,ARTHAUD,661
62002,64660,ARTHAUD,435
62003,56643,ARTHAUD,388
62004,67104,ARTHAUD,498
62005,63425,ARTHAUD,428
62006,71851,ARTHAUD,618
62007,64599,ARTHAUD,457
62008,66943,ARTHAUD,574
62009,58669,ARTHAUD,363
62010,62905,ARTHAUD,490
62011,65767,ARTHAUD,451
62012,68026,ARTHAUD,524
63001,61032,ARTHAUD,406
63002,69588,ARTHAUD,561
63003,69422,ARTHAUD,380
63004,78177,ARTHAUD,575
63005,79368,ARTHAUD,634
64001,52954,ARTHAUD,194
64002,65571,ARTHAUD,227
64003,65217,ARTHAUD,253
64004,62708,ARTHAUD,359
64005,75242,ARTHAUD,299
64006,79798,ARTHAUD,345
65001,66551,ARTHAUD,329
65002,68337,ARTHAUD,307
66001,52503,ARTHAUD,232
66002,77144,ARTHAUD,357
66003,62294,ARTHAUD,348
66004,76627,ARTHAUD,375
67001,45491,ARTHAUD,154
67002,51733,ARTHAUD,265
67003,50648,ARTHAUD,235
67004,74057,ARTHAUD,322
67005,79159,ARTHAUD,629
67006,72943,ARTHAUD,508
67007,63442,ARTHAUD,554
67008,69268,ARTHAUD,572
67009,69978,ARTHAUD,448
68001,55825,ARTHAUD,343
