code_commune,code_dep_min,MACRON,LE PEN
52007,52,19,20
01007,01,725,762
71007,71,55,23
88007,88,17,10
69007,69,784,755
17007,17,76,85
76007,76,229,197
68007,68,754,611
65007,65,397,372
89007,89,128,120
28007,28,688,692
49007,49,45065,13842
04007,04,20,26
59007,59,144,335
58007,58,63,114
15007,15,51,38
86007,86,351,292
63007,63,62,51
18007,18,29,12
43007,43,173,238
33007,33,407,344
66007,66,50,30
46007,46,304,237
42007,42,63,60
10007,10,21,34
72007,72,106,180
32007,32,64,63
40007,40,47,49
77007,77,107,105
53007,53,1033,589
36007,36,165,169
03007,03,117,80
23007,23,67,52
05007,05,150,88
48007,48,12,29
37007,37,65,45
61007,61,1397,1015
35007,35,161,90
83007,83,542,687
56007,56,4862,2130
06007,06,825,1120
13007,13,2895,4083
41007,41,174,221
82007,82,47,50
44007,44,739,555
84007,84,20484,12391
92007,92,10082,3007
87007,87,55,54
90007,90,111,65
29007,29,228,206
93007,93,9153,4450
62008,62,187,256
57008,57,54,78
64008,64,105,43
25008,25,97,154
80008,80,199,305
95008,95,195,211
70008,70,34,74
60008,60,95,135
73008,73,9549,5899
02008,02,54,100
2A008,2A,315,567
11008,11,80,94
21008,21,134,79
07008,07,428,452
27008,27,405,437
54008,54,92,144
30008,30,195,315
81008,81,97,75
09008,09,44,37
67008,67,437,432
08008,08,136,250
79008,79,210,194
39008,39,106,115
38008,38,16,10
74008,74,1298,657
51008,51,57,86
19008,19,92,36
47008,47,26,35
01008,01,198,212
16008,16,75,89
55008,55,38,42
31008,31,72,79
76008,76,190,193
50008,50,182,113
69008,69,207,179
26008,26,276,443
52008,52,146,266
17008,17,658,554
89008,89,40,47
12008,12,265,184
88008,88,32,57
71008,71,53,47
24008,24,170,194
49008,49,319,187
59008,59,1276,2997
04008,04,278,330
58008,58,56,44
15008,15,77,85
68008,68,147,204
42008,42,38,39
63008,63,196,144
28008,28,44,55
10008,10,28,30
40008,40,20,16
66008,66,3192,3905
43008,43,48,62
32008,32,26,25
77008,77,235,247
72008,72,1694,1190
53008,53,666,375
36008,36,54,97
03008,03,124,101
45008,45,440,428
48008,48,63,72
86008,86,77,133
18008,18,135,152
05008,05,85,145
37008,37,764,745
61008,61,249,290
85008,85,2592,1331
23008,23,839,593
13008,13,193,149
06008,06,4,17
82008,82,269,230
35008,35,172,172
41008,41,197,176
56008,56,2465,961
83008,83,689,985
90008,90,1124,855
29008,29,418,199
93008,93,8421,2743
22008,22,411,323
87008,87,35,37
84008,84,207,244
34008,34,145,190
46008,46,85,40
33008,33,172,125
62009,62,65,94
64009,64,788,372
80009,80,288,294
70009,70,19,47
57009,57,27,37
02009,02,86,206
34009,34,413,551
78009,78,79,89
54009,54,34,47
21009,21,66,47
60009,60,492,448
67009,67,117,114
09009,09,64,13
30009,30,70,71
11009,11,356,419
2B009,2B,299,614
81009,81,11,18
27009,27,121,164
16009,16,93,80
14009,14,511,303
79009,79,135,114
55009,55,103,155
76009,76,99,73
07009,07,266,274
26009,26,290,336
39009,39,174,153
01009,01,102,80
74009,74,328,142
52009,52,23,43
47009,47,92,82
17009,17,333,308
51009,51,180,267
38009,38,254,259
24009,24,102,68
89009,89,104,104
71009,71,227,154
88009,88,696,1200
69009,69,2218,1245
31009,31,30,25
49009,49,129,142
65009,65,82,33
15009,15,87,47
58009,58,44,40
33009,33,5178,2464
04009,04,15,6
86009,86,254,306
18009,18,64,92
28009,28,17,22
63009,63,125,137
66009,66,562,748
43009,43,7,12
32009,32,19,32
12009,12,10,55
53009,53,254,115
10009,10,23,32
72009,72,96,91
36009,36,329,363
42009,42,137,173
68009,68,226,258
77009,77,33,53
45009,45,282,337
05009,05,52,52
46009,46,235,89
03009,03,27,39
85009,85,347,267
23009,23,29,37
37009,37,119,111
41009,41,238,208
25009,25,35,64
35009,35,508,415
06009,06,26,34
82009,82,6,14
83009,83,3098,2867
56009,56,506,154
44009,44,4536,1408
90009,90,1016,1197
87009,87,33,39
92009,92,10870,2328
13009,13,253,322
84009,84,394,526
22009,22,46,48
19009,19,45,30
48009,48,693,696
59009,59,18526,6907
62010,62,72,96
80010,80,826,712
70010,70,28,50
57010,57,30,81
2B010,2B,125,82
54010,54,106,139
02010,02,35,67
21010,21,52,33
81010,81,110,127
60010,60,338,498
08010,08,24,60
27010,27,44,56
55010,55,527,923
76010,76,123,155
39010,39,23,35
67010,67,472,472
30010,30,906,701
01010,01,227,341
51010,51,34,46
65010,65,80,59
17010,17,1660,727
34010,34,696,826
89010,89,76,64
74010,74,40179,16942
24010,24,359,419
59010,59,69,69
26010,26,1172,1011
38010,38,209,205
07010,07,3841,2677
47010,47,55,74
31010,31,41,29
11010,11,69,99
71010,71,174,302
88010,88,38,99
15010,15,55,59
33010,33,122,180
18010,18,53,53
19010,19,882,668
28010,28,97,120
63010,63,386,479
58010,58,142,217
49010,49,100,69
12010,12,48,32
10010,10,11,20
32010,32,24,32
43010,43,384,302
79010,79,221,152
45010,45,278,274
86010,86,353,277
72010,72,129,82
68010,68,302,321
05010,05,195,244
53010,53,76,132
77010,77,196,283
61010,61,40,34
03010,03,104,127
23010,23,36,29
46010,46,116,88
48010,48,84,94
37010,37,518,500
42010,42,519,401
85010,85,423,431
66010,66,14,29
36010,36,224,238
41010,41,262,266
64010,64,299,142
35010,35,485,456
13010,13,1048,1353
82010,82,70,74
83010,83,38,55
44010,44,1386,721
56010,56,2050,1522
90010,90,8725,5620
29010,29,537,309
93010,93,10144,3678
73010,73,1940,1669
69010,69,1735,1003
84010,84,281,224
06010,06,787,665
78010,78,547,236
62011,62,260,187
80011,80,790,968
64011,64,43,33
73011,73,3815,3021
57011,57,140,176
25011,25,174,263
54011,54,115,140
2A011,2A,21,26
70011,70,85,108
02011,02,297,388
95011,95,108,113
81011,81,337,303
27011,27,333,350
21011,21,29,16
60011,60,68,131
16011,16,161,127
08011,08,27,75
76011,76,50,69
55011,55,43,85
17011,17,101,101
59011,59,2644,2499
39011,39,103,138
89011,89,42,33
52011,52,30,31
38011,38,319,334
47011,47,49,58
24011,24,286,309
09011,09,19,16
71011,71,168,107
26011,26,727,512
01011,01,101,113
11011,11,139,133
31011,31,103,65
34011,34,46,10
88011,88,369,476
18011,18,570,541
58011,58,75,58
15011,15,68,65
19011,19,369,253
10011,10,47,73
63011,63,61,73
40011,40,110,112
49011,49,145,127
67011,67,266,398
12011,12,348,177
33011,33,2336,1609
86011,86,44,47
68011,68,372,385
72011,72,256,252
53011,53,270,170
45011,45,45,62
43011,43,51,63
61011,61,149,111
77011,77,107,157
23011,23,44,46
03011,03,93,125
14011,14,488,491
46011,46,134,94
05011,05,105,157
37011,37,514,470
66011,66,935,1423
36011,36,46,60
42011,42,673,751
85011,85,726,457
83011,83,311,440
82011,82,207,280
06011,06,957,1050
87011,87,895,748
90011,90,155,45
29011,29,1562,519
94011,94,3566,1517
22011,22,327,225
56011,56,528,321
84011,84,112,81
65011,65,37,41
30011,30,2683,2072
13011,13,145,93
07011,07,220,245
62012,62,76,50
64012,64,40,24
73012,73,41,47
57012,57,1034,1302
2B012,2B,37,7
54012,54,126,70
70012,70,149,215
02012,02,16,22
95012,95,40,70
27012,27,124,165
21012,21,94,113
60012,60,648,886
81012,81,36,34
16012,16,148,151
14012,14,32,55
76012,76,48,65
65012,65,22,27
74012,74,6196,3172
17012,17,52,52
52012,52,9,6
89012,89,32,28
59012,59,511,947
51012,51,24,19
47012,47,87,85
38012,38,557,730
09012,09,9,5
55012,55,94,141
30012,30,993,1255
01012,01,92,81
31012,31,37,24
07012,07,100,112
88012,88,314,340
24012,24,141,97
79012,79,412,269
11012,11,428,758
34012,34,321,261
18012,18,74,139
26012,26,15,7
15012,15,2107,1470
58012,58,118,170
33012,33,1271,909
10012,10,71,95
71012,71,73,132
40012,40,76,67
63012,63,282,249
67012,67,223,184
86012,86,27,40
68012,68,593,506
12012,12,152,188
72012,72,132,117
19012,19,72,73
53012,53,188,75
04012,04,28,14
32012,32,348,276
49012,49,110,86
45012,45,40,60
77012,77,67,86
61012,61,38,66
43012,43,1448,1674
23012,23,26,33
03012,03,90,93
37012,37,167,117
46012,46,157,160
66012,66,766,1209
41012,41,62,67
35012,35,2600,1330
36012,36,88,96
05012,05,192,158
42012,42,233,147
83012,83,649,1014
84012,84,697,698
13012,13,213,127
06012,06,1943,1962
56012,56,570,402
87012,87,76,115
90012,90,391,292
29012,29,43,38
92012,92,44061,8844
28012,28,818,1132
85012,85,768,639
44012,44,1508,713
22012,22,266,238
25012,25,65,43
69012,69,173,160
82012,82,126,166
48012,48,98,106
62013,62,606,563
64013,64,48,41
80013,80,440,705
73013,73,169,137
25013,25,60,76
57013,57,453,538
70013,70,16,23
54013,54,17,40
27013,27,146,166
02013,02,89,133
21013,21,153,58
78013,78,199,102
81013,81,153,86
16013,16,121,81
08013,08,74,143
76013,76,240,329
60013,60,325,419
50013,50,114,117
52013,52,39,23
65013,65,13,26
59013,59,609,270
17013,17,63,104
74013,74,896,439
51013,51,29,39
89013,89,862,840
38013,38,983,754
09013,09,33,8
01013,01,29,57
39013,39,1037,587
31013,31,108,131
07013,07,319,393
11013,11,89,128
47013,47,76,130
79013,79,996,647
30013,30,124,140
69013,69,1125,897
88013,88,27,31
26013,26,34,12
18013,18,96,87
55013,55,110,145
58013,58,36,20
40013,40,31,33
33013,33,2592,1530
34013,34,320,458
10013,10,45,67
67013,67,44,111
68013,68,250,271
19013,19,295,215
63013,63,305,307
04013,04,160,182
72013,72,459,725
12013,12,812,938
32013,32,6102,2948
45013,45,70,54
86013,86,34,28
77013,77,114,87
61013,61,50,47
28013,28,309,426
15013,15,68,65
71013,71,65,88
23013,23,320,251
03013,03,1309,882
53013,53,135,170
37013,37,133,137
46013,46,63,64
48013,48,301,242
66013,66,22,15
35013,35,1337,702
05013,05,54,34
36013,36,112,150
41013,41,100,103
85013,85,554,226
84013,84,87,95
82013,82,870,929
13013,13,567,517
42013,42,493,470
06013,06,178,321
56013,56,1474,902
87013,87,216,143
44013,44,871,773
90013,90,40,110
29013,29,53,30
22013,22,617,504
83013,83,60,91
93013,93,2587,1052
43013,43,110,127
64014,64,239,158
62014,62,2413,2789
80014,80,7,29
73014,73,75,76
57014,57,108,142
25014,25,230,212
2A014,2A,7,30
70014,70,84,138
27014,27,261,248
02014,02,159,243
54014,54,76,79
95014,95,754,317
16014,16,31,44
76014,76,441,384
60014,60,45,54
81014,81,173,187
08014,08,61,37
21014,21,27,28
65014,65,11,13
59014,59,1884,3241
52014,52,62,64
01014,01,891,578
89014,89,107,185
39014,39,71,69
51014,51,108,69
09014,09,74,59
31014,31,28,25
07014,07,140,90
47014,47,44,60
11014,11,410,432
30014,30,341,298
88014,88,41,78
26014,26,167,174
40014,40,113,90
58014,58,18,24
74014,74,715,327
34014,34,664,277
10014,10,37,69
18014,18,58,44
24014,24,190,189
63014,63,3024,1361
55014,55,96,167
68014,68,103,82
32014,32,42,42
45014,45,142,150
28014,28,145,174
61014,61,96,68
19014,19,80,62
15014,15,7288,3530
43014,43,27,16
71014,71,3293,2622
86014,86,557,420
69014,69,355,255
77014,77,3659,1836
03014,03,50,31
23014,23,45,27
37014,37,1167,647
35014,35,750,492
66014,66,634,922
05014,05,60,52
83014,83,83,64
36014,36,63,73
85014,85,323,288
41014,41,43,53
84014,84,275,365
82014,82,86,76
42014,42,91,79
06014,06,170,343
56014,56,367,449
13014,13,2586,3621
87014,87,787,670
90014,90,77,178
29014,29,137,124
92014,92,8129,1631
22014,22,355,301
93014,93,3920,1371
14014,14,608,198
44014,44,1521,724
33014,33,294,310
79014,79,596,715
62015,62,81,67
80015,80,21,25
57015,57,125,191
64015,64,98,32
25015,25,239,162
70015,70,51,99
2B015,2B,6,7
02015,02,22,35
54015,54,38,88
78015,78,4429,1668
27015,27,327,378
76015,76,155,149
16015,16,10639,4553
60015,60,250,387
14015,14,366,111
